ID,Name_lang,Shortcut_lang,Flags,FactionGroup,Ruleset
1,General: %s,General,1572875,0,0
2,Comercio: %s,Comercio,1048635,0,0
22,Defensa local: %s,DefensaLocal,1114123,0,0
26,BuscarGrupo,BuscarGrupo,262152,0,0
27,Canal general de monstruos,CanalGeneralDeMonstruos,8,0,0
28,Roca de encuentro,RocaDeEncuentro,8,0,0
32,Chat de recién llegados,ChatDeReciénLlegados,14680072,0,1
33,zzOLD Shadowlands Beta Discussion,DiscusionbetaShadowlands,2097160,0,0
34,zzOLD Shadowlands PTR Discussion,DiscusionRPPShadowlands,2097160,0,2
35,War Within Test Discussion,WarWithinTestDiscussion,6291465,0,0
36,Tiempo de Cromi: Cataclysm,TiempoDeCromi,2097160,0,2
37,Tiempo de Cromi: Burning Crusade,TiempoDeCromi,2097160,0,2
38,Tiempo de Cromi: Wrath of the Lich King,TiempoDeCromi,2097160,0,2
39,Tiempo de Cromi: Mists of Pandaria,TiempoDeCromi,2097160,0,2
40,Tiempo de Cromi: Warlords of Draenor,TiempoDeCromi,2097160,0,2
41,Tiempo de Cromi: Legion,TiempoDeCromi,2097160,0,2
42,Comercio (servicios) - %s,Servicios,1048635,0,0
