ID,Name_lang,Description_lang,Cooldown,Duration,Flags,SchoolMask,IconFileDataID
1,DNT JasonTest Envirospell,,2,1,0,0,0
2,DNT JasonTest Ability Spell,"DNT Test test  Effect 0 Attack points $s0, Effect 1 Attack points % $s1, Effect 2 Flat points $s2, Effect 3 Flat points % $s3",4,2,1,0,461809
3,DNT Owen Test Double Effect,,3,0,0,0,0
4,Golpe doble,"Nadjia golpea dos veces al enemigo más cercano, lo que inflige $s1 p. de daño físico primero y $s2 p. de daño físico después.",3,0,0,1,333546
5,Barrido con ala,"Draven bate las alas, lo que inflige $s1 p. de daño físico a todos los enemigos.",1,0,0,1,2103875
6,Explosión de sangre,Theotar emite pulsos de sombras que infligen $s1 p. de daño de las Sombras a todos los enemigos a su alcance.,2,0,0,32,136118
7,Machaque de esqueleto,Inflige $s1 p. de daño físico al enemigo más cercano.,2,1,0,32,3386321
8,Puñetazo de halcón,"Eli golpea con la rapidez de un halcón, lo que inflige daño al enemigo más cercano.",1,0,0,8,132188
9,Aullido de sanación,Sana a todos los aliados un $s1% de su salud máxima.,4,0,0,64,1033494
10,Machaque de Ramaestrella,"Machaca al enemigo más cercano y le inflige un daño equivalente al $s1% su salud máxima. Cada turno, se sana un $s3% de su salud máxima e inflige un $s2% de la salud máxima de cada enemigo como daño de Escarcha a todos los enemigos.",3,3,0,16,514019
11,Ataque automático,Inflige daño de ataque al enemigo más cercano.,0,0,0,1,1064261
12,Reconstrucción de hueso,Sana $s1 p. a todos los aliados.,1,1,0,32,136230
13,Caricia suave,,0,0,0,8,132125
14,Caricia de espíritu,Anjali sana $s1 p. a todos los aliados.,3,0,0,32,132993
15,Ataque automático,Inflige daño a un enemigo a distancia.,0,0,0,1,135490
16,Quebrar alma,"Thela arranca un recuerdo del enemigo más lejano, lo que le inflige $s1 p. de daño de las Sombras.",1,0,0,32,2065625
17,Tierra de tumba especial,"Dug lanza una pala de tierra de tumba a todos los enemigos, lo que inflige $s1 p. de daño de Escarcha y se sana $s2 p.",0,0,0,16,134436
18,Alas de furia,Nerith golpea 3 veces a todos los enemigos al alcance cuerpo a cuerpo. Cada ataque inflige $s1 p. de daño de las Sombras.,4,0,0,32,2103919
