ID,Name_lang,TotemCategoryType,TotemCategoryMask
1,Cuchillo de desuello,1,1
2,Tótem de tierra,2,1
3,Tótem de aire,2,2
4,Tótem de fuego,2,4
5,Tótem de agua,2,8
6,Vara encantadora con runas,24,65536
7,Vara encantadora con runas,24,65536
8,Vara encantadora con runas,24,65536
9,Vara encantadora con runas,24,65536
10,Vara encantadora con runas,24,65536
11,Pico de minero,21,1
12,Piedra filosofal,22,1
13,Martillo de herrero,23,1
14,Llave de tuerca arcoluz,24,1
15,Microajustador giromático,24,2
21,Tótem maestro,2,15
41,Vara encantadora con runas,24,65536
62,Vara encantadora con runas,24,65536
63,Vara encantadora con runas,24,65536
81,Pluma hueca,22,4
101,Vara encantadora con runas,24,69631
121,Juego de caligrafía de virtuoso,24,-2147483648
141,Tambores,24,1073741824
161,Navaja gnómica,24,127
162,Martillo de herrero,24,4
165,Pico de minero,24,8
166,Cuchillo de desuello,24,16
167,Martillo pico,24,12
168,Piqueta afilada,24,24
169,Sílex y yesca,24,32
189,Vara encantadora con runas,24,65536
190,Vara encantadora con runas,24,65536
209,Vara encantadora con runas,24,65536
210,Pistola de descarga de gran potencia,24,64
230,Vara encantadora con runas,24,65536
238,Herramientas de joyero,24,64
250,Navaja gnómica definitiva,24,-2147417985
253,Cálamo de pluma sanguino de Lana'thel,61,1
354,Sup3rllave,24,1
355,Enfoque del Vacío,162,1
356,Enfoque del Vacío potenciado,162,3
357,Enfoque del Vacío desatado,162,7
358,Maestría total,24,-2147483553
359,Juego de grabado profesional,24,-2147483648
362,Multiherramienta de ingeniería,24,71
369,Navaja gnómica multiusos,164,-1
