Name_lang,Description_lang,ID,FiledataID
Rebosante,La sanación que excede la salud máxima de un objetivo se convierte en un efecto de absorción de sanación.,1,463570
Inquieta,Los enemigos prestan menos atención a la amenaza generada por los tanques.,2,135994
Volcánica,"Mientras están en combate, los enemigos provocan de forma periódica que surjan llamas bajo los pies de los jugadores distantes.",3,451169
Necrótica,"Todos los ataques cuerpo a cuerpo de los enemigos aplican un añublo que se acumula, inflige daño en el tiempo y reduce la sanación recibida.",4,1029009
Bullente,Hay enemigos (no jefes) adicionales por toda la mazmorra.,5,136054
Furibunda,"Los enemigos que no son jefes se enfurecen cuando les queda un 30% de salud, lo que les otorga inmunidad a los efectos de control de masas de manera temporal.",6,132345
Potenciante,"When any non-boss enemy dies, its death cry empowers nearby allies, temporarily increasing their health by 10%.",7,132333
Sanguina,"Al morir, los enemigos que no son jefes dejan atrás un charco persistente de icor que sana a sus aliados e inflige daño a los jugadores.",8,136124
Tiránica,Los jefes tienen un 25% más de salud. Los jefes y sus esbirros infligen hasta un 15% más de daño.,9,236401
Reforzada,Los enemigos que no son jefes tienen un 20% más de salud e infligen hasta un 20% más de daño.,10,463829
Detonante,"Al morir, los enemigos que no son jefes explotan, por lo que todos los jugadores reciben daño durante 4 s. Este efecto se acumula.",11,1035055
Dolorosa,Los jugadores heridos reciben daño creciente en el tiempo hasta que se sanan.,12,132090
Explosiva,"Mientras están en combate, los enemigos invocan de forma periódica orbes explosivos que se detonan si nadie los destruye.",13,2175503
Sísmica,"Los jugadores emiten una ola de choque de forma periódica, lo que inflige daño e interrumpe a los aliados cercanos.",14,136025
Infestada,Un engendro de G'huun ha infestado a algunos enemigos que no son jefes.,16,2032223
Segadora,Los enemigos que no son jefes están potenciados por Bwonsamdi y buscan venganza periódicamente desde el más allá.,117,2446016
Cautivadora,Hay emisarios de Azshara por toda la mazmorra.,119,237565
Despierta,Los obeliscos repartidos por la mazmorra permiten a los jugadores entrar en Ny'alotha y enfrentarse a poderosos sirvientes de N'Zoth. Durante el enfrentamiento con el jefe final habrá que ocuparse de los sirvientes que no hayan sido eliminados previamente.,120,442737
Orgulloso,"Los jugadores se llenan de orgullo al derrotar a enemigos que no sean jefes y acaban formando una manifestación del orgullo. Si derrotan a esta manifestación, se potencian de manera considerable.",121,3528307
Inspiradora,Algunos enemigos que no son jefes tienen una presencia inspiradora que refuerza a sus aliados.,122,135946
Rencorosa,De los cadáveres de enemigos que no son jefes surgen malignos que persiguen a jugadores al azar.,123,135945
Tormentosa,"Mientras están en combate, los enemigos invocan de forma periódica torbellinos dañinos.",124,136018
Atormentado,Hay sirvientes del Carcelero que otorgan poderosas ventajas cuando son derrotados por toda la mazmorra. Los que no mueran potenciarán al jefe final.,128,3528304
Infernal,"Puedes encontrar balizas infernales cerca de algunos jefes. Al activar una baliza o atacar a un jefe cercano, se activará una invasión de la Legión.",129,1394959
Encriptada,Los enemigos de la mazmorra poseen reliquias de los Primeros. Destruye las reliquias para invocar a los Automa de los Primeros y obtener potentes bonus en función del orden en el que se hayan destruido.,130,4038106
Velada,Hay infiltrados Nathrezim disfrazados de enemigos por toda la mazmorra. El Cártel Ta te recompensará generosamente por ayudarnos a capturarlos.,131,136177
Atronadora,"Los enemigos tienen un 5% más de salud. Durante el combate, los jugadores se sobrecargan periódicamente con el poder primigenio de la tormenta interminable de Raszageth. Este poder conlleva un gran riesgo y, si no se descarga rápidamente, puede tener graves consecuencias.",132,1385910
Enfocada,"Los enemigos que tienen maná y no son jefes tienen un 30% más de celeridad, pero reciben un 10% más de daño de Escarcha y Fuego.",133,458224
Enredadera,"Durante el combate, aparecen periódicamente unas parras enredadoras que frenan a los jugadores.",134,134412
Aflicción,"Durante el combate, aparecen periódicamente unas almas afligidas que buscan la ayuda de los jugadores.",135,0
Incorpóreo,"Durante el combate, aparecen periódicamente unos seres incorpóreos que intentan debilitar a los jugadores.",136,298642
Protectora,"Durante el combate, los enemigos invocan periódicamente unos orbes de escudo que protegen a los enemigos cercanos si no se destruyen.",137,535593
Espinada,"Los enemigos que no tienen maná y no son jefes infligen daño físico a sus atacantes cuando reciben un ataque, pero reciben un 10% más de daño Sagrado y de las Sombras.",144,1418495
Temeraria,"Los enemigos que no tienen maná y no son jefes ignoran un 20% de armadura con sus ataques, pero su armadura se reduce un 30% y reciben un 10% más de daño Arcano.",145,132363
Armonizada,"Los enemigos que tienen maná y no son jefes infligen un 20% de daño mágico aumentado, pero reciben un 10% más de daño de Naturaleza y un 30% más de daño de los efectos de sangrado.",146,1391778
Argucia de Xal'atath,"Xal'atath traiciona a los jugadores, lo que anula sus tratos y provoca que, al morir, se reduzca en 15 s tiempo restante.",147,1723989
Trato de Xal'atath: Ascendiente,"Durante el combate, Xal'atath lanza orbes de energía Cósmica que potencian a los enemigos o a los jugadores.",148,5976939
Temeridad de contendiente,"El temporizador aumenta 90 s, pero, al morir, se quitan 15 s al tiempo restante.",152,1052642
Trato de Xal'atath: Enloquecida,"Los enemigos que no son jefes enloquecen cuando les queda el 30% de salud, lo que aumenta un 40% su celeridad y un 20% el daño recibido.",153,136224
Trato de Xal'atath: Ligada al Vacío,"Mientras está en combate, Xal'atath invoca una Emisaria del Vacío que potencia a los enemigos cercanos.",158,4913234
Trato de Xal'atath: Olvido,"Mientras está en combate, Xal'atath manifiesta unos cristales del Vacío que pueden ser absorbidos tanto por enemigos como por jugadores.",159,1386548
