ID,Name_lang,Description_lang,CategoryID,InventoryIconFileID,SpellWeight,SpellCategory,MaxQty,MaxEarnablePerWeek,Quality,FactionID,ItemGroupSoundsID,XpQuestDifficulty,AwardConditionID,MaxQtyWorldStateID,RechargingAmountPerCycle,RechargingCycleDurationMS,WarbondTransferPercentage,Field_11_1_0_58221_017,Flags[0],Flags[1]
42,Distintivo de justicia,,1,135884,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
61,Muestra de joyero de Dalaran,La tienda de Tiffany Cartier en Dalaran cambiará gustosamente estos talismanes por recetas de joyería.,21,134138,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
81,Premio epicúreo,"Visita a los vendedores de cocina especiales de las capitales y de Dalaran (en Rasganorte) para comprar recetas de cocina poco frecuentes, especias, ¡e incluso un bonito gorro!",1,134411,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,Emblema de heroísmo,,22,135947,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
102,Emblema de valor,,22,237547,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
103,Puntos de arena,,2,135884,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
121,Marca de Honor del Valle de Alterac,,2,133308,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122,Marca de Honor de la Cuenca de Arathi,,2,133282,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
123,Marca de Honor del Ojo de la Tormenta,,2,136032,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
124,Marca de Honor de la Playa de los Ancestros,,2,133276,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
125,Marca de Honor de la Garganta Grito de Guerra,,2,134420,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
126,Marca de Honor de Conquista del Invierno,,2,133408,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
161,Fragmento de vigilante de piedra,,2,134375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
201,Moneda de Ventura,,2,133799,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
221,Emblema de conquista,,22,135885,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
241,Sello de campeón,Otorgado por las hazañas en el Coliseo de los Cruzados.,21,236246,0,0,0,0,1,0,0,0,0,0,0,0,100,0,2,0
301,Emblema de triunfo,,22,135979,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
321,Marca de Honor de la Isla de la Conquista,,2,133314,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
341,Emblema de escarcha,,22,334365,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
361,Muestra de ilustre joyero,"Otorgado por demostrar gran habilidad en joyería, estos talismanes se pueden usar para comprar diseños de joyería únicos y el fabuloso ojo de quimera.",81,134501,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
384,Fragmento de arqueología enana,,82,441144,1,5,200,0,1,0,0,0,0,0,0,0,0,0,34,0
385,Fragmento de arqueología trol,,82,441149,1,4,200,0,1,0,0,0,0,0,0,0,0,0,34,0
391,Mención de honor de Tol Barad,Otorgado por las valientes hazañas llevadas a cabo en Tol Barad.,2,409548,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
393,Fragmento de arqueología fósil,,82,442734,1,8,200,0,1,0,0,0,0,0,0,0,0,0,34,0
394,Fragmento de arqueología elfa de la noche,,82,441146,1,9,200,0,1,0,0,0,0,0,0,0,0,0,34,0
395,Puntos de justicia,Se utilizan para comprar armas y armaduras menos poderosas.,142,463446,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8280,0
396,Puntos de valor,Se utilizan para comprar armas y armaduras de JcE poderosas.,142,463447,0,0,300099,100000,4,0,0,0,0,0,0,0,0,0,8264,0
397,Fragmento de arqueología orca,,82,442738,1,10,200,0,1,0,0,0,0,0,0,0,0,0,34,0
398,Fragmento de arqueología draenei,,82,442731,1,11,200,0,1,0,0,0,0,0,0,0,0,0,34,0
399,Fragmento de arqueología vrykul,,82,442742,1,12,200,0,1,0,0,0,0,0,0,0,0,0,34,0
400,Fragmento de arqueología nerubiana,,82,442736,1,13,200,0,1,0,0,0,0,0,0,0,0,0,34,0
401,Fragmento de arqueología tol'vir,,82,442739,1,14,200,0,1,0,0,0,0,0,0,0,0,0,34,0
