ID,Name_lang,CreatureID,PortraitFileDataID,UiTextureKitID,UiAnimScale,UiAnimHeight,Flags,AutoCombatantID
1,Gronnito de la Cresta Fuego Glacial,80693,1067373,0,0.75,0.55,0,0
2,Explorador Señor del Trueno,87430,1067284,0,1.4,0.5,0,0
4,Encuentro de ogros 1,78009,1067281,0,1.5,0.5,0,0
5,Encuentro de orcos 2,79359,1067297,0,1.5,0.5,0,0
7,Encuentro de ogros 2,79378,1067321,0,1.5,0.55,0,0
29,Chris' Mission Set Test Encounter,0,0,0,1,0.4,0,0
30,Gronnito de la Cresta Fuego Glacial,80704,1067391,0,0.75,0.55,0,0
31,Gronnito de la Cresta Fuego Glacial,80693,1067373,0,0.75,0.55,0,0
32,Rylak Faucehielo,80705,1067265,0,0.55,0.45,0,0
33,Explorador Señor del Trueno,80192,1067335,0,0.6,0.9,0,0
34,Explorador Señor del Trueno,80172,1067334,0,1.2,0.5,0,0
35,Encuentro de ogros 2,79380,1067230,0,0.9,0.55,0,0
36,Encuentro de no-muertos 1,79380,1067230,0,1,0.5,0,0
37,Encuentro de aberraciones 1,79383,1067191,0,0.8,0.5,0,0
38,Encuentro de arakkoa 1,79387,1067348,0,0.5,0.5,0,0
39,Encuentro de arakkoa 2,81338,1067462,0,0.9,0.5,0,0
40,Encuentro de bestias 1,79384,1067296,0,1.1,0.5,0,0
41,Encuentro de bestias 2,79386,1067246,0,1.4,0.5,0,0
42,Encuentro de demonios 1,79381,1067240,0,1.1,0.6,0,0
43,Encuentro de demonios 2,81339,1067193,0,0.6,0.6,0,0
44,Encuentro de rompedores 1,79382,1067290,0,1,0.5,0,0
45,Encuentro de rompedores 2,79385,1067311,0,1.5,0.6,0,0
46,Encuentro de Furias 1,81340,1067223,0,1.2,0.5,0,0
47,Encuentro de Furias 2,81341,2395691,0,1,0.5,0,0
48,Encuentro de primigenios 1,81342,1067224,0,1,0.5,0,0
49,Encuentro de primigenios 2,81343,1067208,0,1,0.5,0,0
50,Orugas desdichadas,19787,0,0,1,0.4,0,0
51,Devastador husmeador,81538,1067344,0,0.9,0.45,0,0
52,Saltador de riscos Señor del Trueno,81562,1067236,0,1.55,0.5,0,0
53,Leevientos Señor del Trueno,81565,1067286,0,1.55,0.5,0,0
54,Lobo maldito,81568,1067253,0,1.5,0.5,0,0
55,Bracero Siniescarcha,81580,1067268,0,1.2,0.55,0,0
56,Carroñero Picoescarcha,81583,1067178,0,1.3,0.9,0,0
57,Asaltante Aguja del Filo,81587,1067336,0,1.2,0.5,0,0
58,Devorador pálido,82405,1067305,0,1,0.45,0,0
59,Sapo corrupto,82410,1067273,0,1,0.45,0,0
60,Cuervo de Bajaluna,82409,1067466,0,0.8,0.5,0,0
61,Necrólito Sombraluna,82413,1067287,0,1.55,0.5,0,0
62,Taumaturgo oscuro Sombraluna,82414,1067282,0,1.55,0.5,0,0
63,Caminallanuras tronador,83059,1067312,0,0.75,0.55,0,0
64,Arcanista goriano,83067,1067413,0,1.2,0.5,0,0
65,Cohorte goriana,83071,1067409,0,1.2,0.5,0,0
66,Vidente de llamas de la Horda de Hierro,83128,1067339,0,1.4,0.5,0,0
67,Vidente de llamas de la Horda de Hierro,83126,1067270,0,1.4,0.5,0,0
68,Beremus el Sobrestante,83236,1067399,0,0.9,0.53,0,0
69,Tarlna el Anciano,83236,1067399,0,0.9,0.53,0,0
70,Clamatormentas del Trecho Celestial,83357,1067403,0,0.9,0.55,0,0
71,Adepto rapaz,83363,1067405,0,0.9,0.55,0,0
72,Aniquilador Vilforjado,83379,1067240,0,0.75,0.55,0,0
73,Matriarca Sangremelena,83074,1067433,0,0.8,0.55,0,0
74,Merodeador de la sombra,83347,1067465,0,1.2,0.5,0,0
75,Infernal llama vil,83170,1067195,0,0.75,0.55,0,0
76,Saqueador flamígero,83382,1067237,0,0.9,0.55,0,0
77,Esencia de oscuridad,83256,1067191,0,1.4,0.55,0,0
78,Esencia del Vacío,83251,1416404,0,1.4,0.55,0,0
79,Gor,83098,1067407,0,0.75,0.55,0,0
80,Masticahierro voraz,83193,1067290,0,0.75,0.55,0,0
81,Tosco Aguja del Filo,83043,1067419,0,1.2,0.5,0,0
82,Aplastador Aguja del Filo,83042,1067420,0,1.2,0.5,0,0
83,Geomántico Aguja del Filo,83045,1067422,0,1.2,0.5,0,0
84,Leevientos Señor del Trueno,83120,1067286,0,1.5,0.5,0,0
85,Yggdrel,83225,1067302,0,0.55,0.55,0,0
86,Garfa Señor del Trueno,83118,1067285,0,1.5,0.5,0,0
87,Jinete de bestias Señor del Trueno,83122,1067284,0,1.5,0.5,0,0
88,Anciano Cortezaluna,83226,1067303,0,0.55,0.55,0,0
89,Asaltante de Nagrand,83135,1067388,0,1.5,0.5,0,0
90,Clamatierras Grito de Guerra,83140,1067358,0,1.5,0.5,0,0
91,Místico Faucesable,83084,1067432,0,0.8,0.55,0,0
92,Dientescara Faucesable,83074,1067433,0,0.8,0.55,0,0
93,Aplastador Faucesable,83081,1067431,0,0.8,0.55,0,0
94,Adepto Clamavuelo,83353,1067381,0,0.9,0.55,0,0
95,Adepto Alacuchilla,83354,1067401,0,0.9,0.55,0,0
96,Adepto sacerdote del Sol,83356,1067404,0,0.9,0.55,0,0
97,Vigilante Sargerei,83241,1067367,0,1.3,0.5,0,0
98,Canalizador Sargerei,83242,1067368,0,1.3,0.5,0,0
99,Torturaalmas Sargerei,83243,1067366,0,1.3,0.5,0,0
100,Esclavista Quebrantarrocas,83045,1067422,0,1.2,0.5,0,0
101,Maestro de esclavos Ok'mok,83062,1067418,0,1.2,0.5,0,0
102,Machacasuelos arcanista,83070,1067414,0,1.2,0.5,0,0
103,Maestro de guerra goriano,83072,1067410,0,1.2,0.5,0,0
104,Maestro de guerra goriano,83072,1067410,0,1.2,0.5,0,0
105,Genosaurio Lunafilo,83233,1067400,0,0.9,0.53,0,0
106,Cultivador botani,83217,1067380,0,0.9,0.55,0,0
107,Depositario botani,83217,1067380,0,0.9,0.55,0,0
108,Devastador Lomosombra,83103,1067345,0,0.9,0.45,0,0
109,Devastador Lomosombra,83106,1067346,0,0.9,0.45,0,0
110,Devastador Lomosombra,83107,1067343,0,0.9,0.45,0,0
111,Infernal llameante,83170,1067195,0,0.75,0.55,0,0
112,Petrodrilo,83214,1067187,0,1.45,0.4,0,0
113,Vigía Sangrepiel,83213,1067186,0,1.45,0.4,0,0
114,Rondador de las nieves,84858,1087727,0,1.45,0.4,0,0
115,Elemental de magma,83147,1067228,0,1.2,0.4,0,0
116,Furia de hielo,83152,1067233,0,1.2,0.4,0,0
118,Mandrágora turquesa,83301,1067341,0,1,0.4,0,0
119,Garra del Vacío Sombraluna,83129,1067347,0,1.5,0.5,0,0
120,Vainete piltrafa,83292,1067330,0,1.9,0.45,0,0
121,Furia de Escarcha,83151,1067221,0,1.2,0.4,0,0
122,Masticahierro voraz,83192,1067288,0,1.4,0.45,0,0
123,Déspota Tiznado,83041,1067421,0,1.2,0.5,0,0
124,Anciano Cortezaluna,83225,1067302,0,0.55,0.55,0,0
125,Hacha del Vacío Sombraluna,83133,1067294,0,1.5,0.5,0,0
126,Esencia de oscuridad,83386,1067428,0,1.4,0.55,0,0
127,Garfa Señor del Trueno,83117,1067306,0,1.5,0.5,0,0
128,Guerrero Ata'gar,83179,1067318,0,1.55,0.5,0,0
129,Matriarca Faucehielo,83038,1067266,0,0.55,0.45,0,0
130,Vigía silencioso,83228,1067301,0,0.55,0.45,0,0
131,Bruto de la Horda de Hierro,83127,1067457,0,1.5,0.5,0,0
