ID,Description_lang,PendingText_lang,UiTextureKitID,GarrTypeID,GarrBuildingType,BaseCapacity,SmallDisplayInfoID,MediumDisplayInfoID,LargeDisplayInfoID,WorkingDisplayInfoID,WorkingSpellVisualID,CompleteSpellVisualID,MediumThreshold,LargeThreshold,Faction,CrossFactionID
2,,,0,2,17,1,16091,16092,16093,0,0,0,3,5,-1,0
3,,,0,2,0,2,439,7321,10344,0,0,0,3,5,-1,0
30,,¡Pronto llegará un delicioso envío de pescado!,51,2,0,0,15020,0,0,0,0,0,5,5,-1,0
31,"Genera un envío de catalizadores alquímicos.

Puedes ver el progreso de los envíos en el parte de la ciudadela.

Cuando el edificio alcance el nivel 2 o superior, podrás asignar a un seguidor de la mesa de arquitecto para aumentar la producción.",Catalizador alquímico,43,2,16,1,16091,16092,22545,0,0,0,14,21,1,57
32,"Genera un envío de carne, cuero o pieles, dependiendo de la criatura capturada.

Si el edificio es de nivel 2 o superior, puedes asignar a un seguidor de la mesa del arquitecto para aumentar la producción.",Envío de la cuadra,51,2,3,1,17819,14563,16155,0,0,0,14,21,-1,0
36,"Genera un envío de recursos de la ciudadela para la madera recolectada en Draenor.

Puedes ver el progreso de los envíos en el parte de la ciudadela. 

Vuelve para recoger los bienes que se hayan completado.",Envío del aserradero,54,2,4,1,16091,16092,19906,0,0,0,14,21,-1,0
37,"Genera un envío de paño de tejido de maleficio.

Puedes ver el progreso de los envíos en el parte de la ciudadela.

Cuando el edificio alcance el nivel 2 o superior, podrás asignar a un seguidor de la mesa de arquitecto para aumentar la producción.",Paño de tejido de maleficio,52,2,23,1,16091,16092,22545,0,0,0,14,21,1,64
49,"Genera un envío de lingotes de veracero.

Puedes ver el progreso de los envíos en el parte de la ciudadela.

Cuando el edificio alcance el nivel 2 o superior, podrás asignar a un seguidor de la mesa de arquitecto para aumentar la producción.",Lingote de veracero,42,2,17,1,16091,16092,22545,0,0,0,14,21,1,58
50,"Genera un envío de cuero bruñido.

Puedes ver el progreso de los envíos en el parte de la ciudadela.

Cuando el edificio alcance el nivel 2 o superior, podrás asignar a un seguidor de la mesa de arquitecto para aumentar la producción.",Cuero bruñido,49,2,22,1,16091,16092,22545,0,0,0,14,21,1,63
51,"Genera un envío de cristal de taladita.

Puedes ver el progreso de los envíos en el parte de la ciudadela.

Cuando el edificio alcance el nivel 2 o superior, podrás asignar a un seguidor de la mesa de arquitecto para aumentar la producción.",Cristal de taladita,46,2,21,1,16091,16092,22545,0,0,0,14,21,1,62
