Field_9_2_0_42174_000_lang,ID,Season,Field_9_2_0_41827_001,ExpansionID,Field_10_0_2_45779_004,DelvesSeasonID
Derrota a %d |4jefe:jefes; de banda del Castillo de Nathria,10,5,1,8,1,0
Derrota a %d |4jefe:jefes; de banda del Sagrario de Dominación,11,6,2,8,1,0
Derrota a %d |4jefe:jefes; de banda del Sepulcro de los Primeros,12,7,3,8,1,0
Derrota a %d |4jefe:jefes; de banda predestinada,17,8,4,8,1,0
Derrota a %d |4jefe:jefes; en la Cámara de las Encarnaciones,19,9,1,9,2,0
"Derrota a %d |4jefe:jefes; en Aberrus, el Crisol Ensombrecido",21,10,2,9,2,0
"Derrota a %d |4jefe:jefes; de Amirdrassil, la Esperanza del Sueño",22,11,3,9,2,0
Derrota a %d |4jefe:jefes; de banda despierta,23,12,4,9,2,0
Derrota a %d |4jefe:jefes; en el Palacio Nerub'ar,24,13,1,10,3,1
Derrota a %d |4jefe:jefes; de Liberación de Minahonda,25,14,2,10,3,2
Derrota a %d |4jefe:jefes; de Forja de Maná Omega,30,15,3,10,3,3
,31,16,4,10,0,0
