ID,Name_lang,Description_lang,TypeID,Subtype,Faction,IconTextureFileID,RewardsBgTextureFileID,PopupBgTextureFileID,ExpansionLevel,MapID,DifficultyID,MinGear,Group_ID,Order_index,Required_player_condition_ID,Random_ID,ScenarioID,FinalEncounterID,Count_tank,Count_healer,Count_damage,Min_count_tank,Min_count_healer,Min_count_damage,Max_premade_count_tank,Max_premade_count_healer,Max_premade_count_damage,Bonus_reputation_amount,MentorItemLevel,MentorCharLevel,MaxPremadeGroupSize,ContentTuningID,Flags[0],Flags[1]
1,Cuevas de los Lamentos,,1,1,-1,136364,0,340702,0,43,1,0,1,0,0,258,0,481,1,1,3,1,1,3,1,1,3,0,0,0,0,193,67,16
2,Scholomance,,1,1,-1,136355,0,340686,0,1007,1,0,1,0,0,258,0,684,1,1,3,1,1,3,1,1,3,0,0,0,0,212,323,16
4,Sima Ígnea,,1,1,-1,136350,0,340682,0,389,1,0,1,0,0,258,0,697,1,1,3,1,1,3,1,1,3,0,0,0,0,207,67,16
6,Las Minas de la Muerte,,1,1,-1,136332,0,337488,0,36,1,0,1,0,0,258,0,93,1,1,3,1,1,3,1,1,3,0,0,0,0,202,67,16
8,Castillo de Colmillo Oscuro,,1,1,-1,136357,0,340687,0,33,1,0,1,0,0,258,0,100,1,1,3,1,1,3,1,1,3,0,0,0,0,213,67,16
10,Cavernas de Brazanegra,,1,1,-1,136325,0,340655,0,48,1,0,1,0,0,258,0,444,1,1,3,1,1,3,1,1,3,0,0,0,0,200,67,16
12,Mazmorras de Ventormenta,,1,1,-1,136358,0,340688,0,34,1,0,1,0,0,258,0,464,1,1,3,1,1,3,1,1,3,0,0,0,0,215,67,16
14,Gnomeregan,,1,1,-1,136336,0,340665,0,90,1,0,1,0,0,258,0,422,1,1,3,1,1,3,1,1,3,0,0,0,0,204,67,16
16,Horado Rajacieno,,1,1,-1,136353,0,340684,0,47,1,0,1,0,0,258,0,901,1,1,3,1,1,3,1,1,3,0,0,0,0,208,67,16
20,Zahúrda Rajacieno,,1,1,-1,136352,0,340683,0,129,1,0,1,0,0,258,0,1141,1,1,3,1,1,3,1,1,3,0,0,0,0,209,323,16
22,Uldaman,,1,1,-1,136363,0,340697,0,70,1,0,1,0,0,258,0,473,1,1,3,1,1,3,1,1,3,0,0,0,0,217,323,16
24,Zul'Farrak,,1,1,-1,136368,0,340704,0,209,1,0,1,0,0,258,0,489,1,1,3,1,1,3,1,1,3,0,0,0,0,218,323,16
26,Maraudon - Gruta de la Espora Fétida,,1,1,-1,136345,0,340677,0,349,1,0,1,0,0,258,0,424,1,1,3,1,1,3,1,1,3,0,0,0,0,206,67,16
28,Templo Sumergido,,1,1,-1,136360,0,340690,0,109,1,0,1,0,0,258,0,463,1,1,3,1,1,3,1,1,3,0,0,0,0,216,323,16
30,Profundidades de Roca Negra - Bloque de Detención,,1,1,-1,136326,0,340656,0,230,1,0,1,0,0,258,0,369,1,1,3,1,1,3,1,1,3,0,0,0,0,201,323,16
32,Cumbre de Roca Negra Inferior,,1,1,-1,136327,0,340657,0,229,1,0,1,0,0,258,0,396,1,1,3,1,1,3,1,1,3,0,0,0,0,205,323,16
34,La Masacre - Barrio Alabeo,,1,1,-1,136333,0,340663,0,429,1,0,1,0,0,258,0,405,1,1,3,1,1,3,1,1,3,0,0,0,0,203,323,16
36,La Masacre - Jardines de la Capital,,1,1,-1,136333,0,340663,0,429,1,0,1,0,0,258,0,410,1,1,3,1,1,3,1,1,3,0,0,0,0,279,323,16
38,La Masacre - Ágora de Gordok,,1,1,-1,136333,0,340663,0,429,1,0,1,0,0,258,0,417,1,1,3,1,1,3,1,1,3,0,0,0,0,278,323,16
40,Stratholme - Entrada Principal,,1,1,-1,136359,0,340689,0,329,1,0,1,0,0,258,0,449,1,1,3,1,1,3,1,1,3,0,0,0,0,214,323,16
46,Guarida de Onyxia,,2,2,-1,329121,0,0,2,249,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1022,0,0
48,Núcleo de Magma,,2,2,-1,136346,0,340678,0,409,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004,256,0
50,Guarida de Alanegra,,2,2,-1,136329,0,340659,0,469,9,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005,0,0
58,Bosque de Elwynn,,4,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0
60,Páramos de Poniente,,4,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
62,Bosque del Ocaso,,4,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
64,Dun Morogh,,4,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0
66,Loch Modan,,4,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
68,Los Humedales,,4,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
70,Vega de Tuercespina,,4,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
72,Las Tierras Devastadas,,4,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
74,Pantano de las Penas,,4,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
76,Montañas Crestagrana,,4,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
78,Las Estepas Ardientes,,4,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
80,La Garganta de Fuego,,4,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0
82,Tierras Inhóspitas,,4,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
84,Tierras Altas de Arathi,,4,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
86,Laderas de Trabalomas,,4,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
88,Tierras del Interior,,4,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
90,Tierras de la Peste del Oeste,,4,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
92,Tierras de la Peste del Este,,4,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
