ID,Text_lang,RelationshipFlags,EmotesTextID
1,%s está de acuerdo con %s.,0,1
2,%s está de acuerdo contigo.,1,1
3,Estás de acuerdo con %s.,2,1
4,%s está de acuerdo.,4,1
5,Estás de acuerdo.,6,1
6,%s muestra su asombro ante %s.,0,2
7,¡%s muestra su asombro ante ti!,1,2
8,Muestras tu asombro ante %s.,2,2
9,%s muestra su asombro.,4,2
10,Muestras tu asombro.,6,2
11,%s levanta el puño con furia ante %s.,0,3
12,%s levanta el puño con furia ante ti.,1,3
13,Levantas el puño con furia ante %s.,2,3
14,%s levanta el puño con furia.,4,3
15,Levantas el puño con furia.,6,3
16,%s levanta el puño con furia ante %s.,8,3
17,%s levanta el puño con furia ante ti.,9,3
18,%s levanta el puño.,12,3
19,%s pide perdón a %s. ¡Lo siento!,0,4
20,%s te pide perdón. ¡Lo siento!,1,4
21,Le pides perdón a %s. ¡Lo siento!,2,4
22,%s pide perdón a todo el mundo. ¡Lo siento!,4,4
23,Pides perdón a todo el mundo. ¡Lo siento!,6,4
24,%s aplaude a %s. ¡Bravo!,0,5
25,%s te aplaude. ¡Bravo!,1,5
26,Aplaudes a %s. ¡Bravo!,2,5
27,%s aplaude. ¡Bravo!,4,5
28,Aplaudes. ¡Bravo!,6,5
29,%s siente timidez... Tanta que no llama la atención de %s.,0,6
30,%s siente timidez... Tanta que no llama tu atención.,1,6
31,Sientes mucha timidez… Tanta que no llamas la atención de %s.,2,6
32,%s siente timidez.,4,6
33,Sientes timidez.,6,6
34,%s hace señas a %s.,0,7
35,%s te hace señas.,1,7
36,Haces señas a %s.,2,7
37,%s hace señas a todos.,4,7
38,Haces señas a todos a tu alrededor.,6,7
39,%s ruega a %s. Lamentable.,0,8
40,%s te ruega. Lamentable.,1,8
41,Ruegas a %s. Lamentable.,2,8
42,%s ruega a todos los presentes. Lamentable.,4,8
43,Ruegas a todos los presentes. Qué penoso.,6,8
44,%s ruega a todos los presentes. Lamentable.,12,8
45,%s muerde a %s. ¡Ay!,0,9
46,%s te muerde. ¡Ay!,1,9
47,Muerdes a %s. ¡Ay!,2,9
48,%s mira a su alrededor en busca de alguien para pegarle un mordisco.,4,9
49,Miras a tu alrededor en busca de alguien para pegarle un mordisco.,6,9
50,Las heridas de %s chorrean sangre.,4,10
51,Tus heridas chorrean sangre.,6,10
52,%s parpadea ante %s.,0,11
53,%s parpadea ante ti.,1,11
54,Parpadeas ante %s.,2,11
55,%s parpadea.,4,11
56,Parpadeas.,6,11
57,%s se sonroja ante %s.,0,12
58,%s se sonroja ante ti.,1,12
59,Te sonrojas ante %s.,2,12
60,%s se sonroja.,4,12
61,Te sonrojas.,6,12
62,%s le da un coscorrón a %s. ¡Ay!,0,13
63,%s te da un coscorrón. ¡Ay!,1,13
64,Le das un coscorrón a %s. ¡Ay!,2,13
