Name_lang,ID,MapID,Flags,ExpansionLevel,Field_9_1_5_39977_005,CriteriaCount[0],CriteriaCount[1],CriteriaCount[2],Field_5_5_0_61000_007[0],Field_5_5_0_61000_007[1],Field_5_5_0_61000_007[2],Field_5_5_0_61000_007[3],Field_5_5_0_61000_007[4],Field_5_5_0_61000_007[5],Field_5_5_0_61000_008[0],Field_5_5_0_61000_008[1],Field_5_5_0_61000_008[2],Field_5_5_0_61000_008[3],Field_5_5_0_61000_008[4],Field_5_5_0_61000_008[5]
Templo del Dragón de Jade,2,960,2,4,21775,1800,1440,1080,31498,31499,31500,31501,0,0,31498,31499,31500,31501,0,0
Cervecería del Trueno,56,961,2,0,21783,2700,1260,720,31620,31621,31622,31623,0,0,31620,31621,31622,31623,0,0
Puerta del Sol Poniente,57,962,2,0,21776,2700,1320,780,31624,31631,31638,31645,0,0,31624,31631,31638,31645,0,0
Monasterio del Shadopan,58,959,2,0,21781,3600,2100,1260,31625,31632,31639,31646,0,0,31625,31632,31639,31646,0,0
Asedio del Templo de Niuzao,59,1011,2,0,21782,3000,1800,1050,31626,31633,31640,31647,0,0,31626,31633,31640,31647,0,0
Palacio Mogu'shan,60,994,2,0,21777,2700,1440,720,31627,31634,31641,31648,0,0,31627,31634,31641,31648,0,0
Scholomance,76,1007,2,0,21780,3300,1980,1140,31628,31635,31642,31649,0,0,31628,31635,31642,31649,0,0
Cámaras Escarlata,77,1001,2,0,21778,2700,1320,780,31630,31636,31643,31650,0,0,31630,31636,31643,31650,0,0
Monasterio Escarlata,78,1004,2,0,21779,2700,1320,780,31629,31637,31644,31651,0,0,31629,31637,31644,31651,0,0
Trecho Celestial,161,1209,2,0,21789,3400,1700,1020,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
Minas Machacasangre,163,1175,2,5,21785,1800,1440,1080,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
Auchindoun,164,1182,2,0,21784,3300,1920,1140,37502,34539,34540,34541,0,0,34527,34539,34540,34541,0,0
Cementerio de Sombraluna,165,1176,2,5,21788,1980,1584,1188,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
Terminal Malavía,166,1208,2,5,21786,1800,1440,1080,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
Cumbre de Roca Negra Superior,167,1358,2,0,21791,5100,2580,1500,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
El Vergel Eterno,168,1279,2,5,21790,1980,1584,1188,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
Puerto de Hierro,169,1195,2,5,21787,1800,1440,1080,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
Ojo de Azshara,197,1456,6,0,21796,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0
Arboleda Corazón Oscuro,198,1466,6,0,21795,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0
Torreón Grajo Negro,199,1501,6,0,21793,2160,1728,1296,0,0,0,0,0,0,0,0,0,0,0,0
