ID,Description_lang,Field_11_2_5_62687_001_lang
1,Miembro de grupo,
2,Miembro de banda,
3,Comerciar,Habéis comerciado
4,Susurrar,Os habéis susurrado
5,Pedido público completado por ellos,Ha completado tu pedido de fabricación público
6,Pedido público completado por ti,Has completado su pedido de fabricación público
7,Pedido personal completado por ellos,Ha completado tu pedido de fabricación
8,Pedido personal completado por ti,Has completado su pedido de fabricación
9,Pedido de hermandad completado por ellos,Ha completado tu pedido de fabricación
10,Pedido de hermandad completado por ti,Has completado su pedido de fabricación
11,Criatura asesinada,Habéis luchado codo con codo
12,Completa mazmorras,Habéis completado una mazmorra juntos
13,Mata jefes de banda,Habéis hecho bandas juntos
14,Mata jefes del BB,Habéis hecho bandas juntos
15,Completa profundidades,Habéis completado una profundidad codo con codo
16,Completa arenas,Habéis hecho una arena codo con codo
17,Completa campos de batalla,Habéis luchado en un campo de batalla codo con codo
18,Duelo,Os habéis enfrentado en duelo
19,Duelo de mascotas,Habéis librado un duelo de mascotas
20,Muerte JcJ,Habéis luchado en JcJ codo con codo
