Description_lang,SortedProperty_lang,ID,ItemClass,ItemSubClass,InventoryType,OrderIndex,ParentCategory,DefaultAuctionHouseFilter,AuctionHouseExtraColumn
Armas,Niv,1,3,0,13,100,0,0,1
Una mano,Niv,2,0,0,0,10,1,0,1
Hachas de una mano,Niv,3,3,3,0,10,2,0,1
Mazas de una mano,Niv,4,3,7,0,20,2,0,1
Espadas de una mano,Niv,5,3,10,0,30,2,0,1
Gujas de guerra,Niv,6,3,12,0,40,2,0,1
Dagas,Niv,7,3,18,0,50,2,0,1
Armas de puño,Niv,8,3,16,0,60,2,0,1
Varitas,Niv,9,3,56,0,70,2,0,1
Dos manos,Niv,10,0,0,0,20,1,0,1
Hachas de dos manos,Niv,11,3,4,0,10,10,0,1
Mazas de dos manos,Niv,12,3,8,0,20,10,0,1
Espadas de dos manos,Niv,13,3,11,0,30,10,0,1
Armas de asta,Niv,14,3,9,0,40,10,0,1
Bastones,Niv,15,3,13,0,50,10,0,1
A distancia,Niv,16,0,0,0,30,1,0,1
Arcos,Niv,17,3,5,0,10,16,0,1
Ballestas,Niv,18,3,55,0,20,16,0,1
Armas de fuego,Niv,19,3,6,0,30,16,0,1
Arrojadizas,Niv,20,3,34,0,40,16,0,1
Miscelánea,Niv,21,0,0,0,40,1,0,1
Cañas de pescar,Niv,22,3,57,0,10,21,0,1
Otros,Niv,23,3,17,0,20,21,0,1
Armadura,Niv,24,5,0,0,200,0,0,1
Placas,Niv,25,5,23,0,10,24,0,1
Talla de runas,Niv,26,5,23,0,10,25,13,1
Cabeza,Niv,27,5,23,1,20,25,0,1
Hombros,Niv,28,5,23,3,30,25,0,1
Torso,Niv,29,5,23,5,40,25,0,1
Cintura,Niv,30,5,23,6,50,25,0,1
Piernas,Niv,31,5,23,7,60,25,0,1
Pies,Niv,32,5,23,8,70,25,0,1
Muñecas,Niv,33,5,23,9,80,25,0,1
Manos,Niv,34,5,23,10,90,25,0,1
Malla,Niv,35,5,22,0,20,24,0,1
Talla de runas,Niv,36,5,22,0,10,35,13,1
Cabeza,Niv,37,5,22,1,20,35,0,1
Hombros,Niv,38,5,22,3,30,35,0,1
Torso,Niv,39,5,22,5,40,35,0,1
Cintura,Niv,40,5,22,6,50,35,0,1
Piernas,Niv,41,5,22,7,60,35,0,1
Pies,Niv,42,5,22,8,70,35,0,1
Muñecas,Niv,43,5,22,9,80,35,0,1
Manos,Niv,44,5,22,10,90,35,0,3
Cuero,Niv,45,5,21,0,30,24,0,1
Talla de runas,Niv,46,5,21,0,10,45,13,1
Cabeza,Niv,47,5,21,1,20,45,0,1
Hombros,Niv,48,5,21,3,30,45,0,1
Torso,Niv,49,5,21,5,40,45,0,1
Cintura,Niv,50,5,21,6,50,45,0,1
Piernas,Niv,51,5,21,7,60,45,0,1
Pies,Niv,52,5,21,8,70,45,0,1
Muñecas,Niv,53,5,21,9,80,45,0,1
Manos,Niv,54,5,21,10,90,45,0,1
Tela,Niv,55,5,20,0,40,24,0,1
Talla de runas,Niv,56,5,20,0,10,55,13,1
Cabeza,Niv,57,5,20,1,20,55,0,1
Hombros,Niv,58,5,20,3,30,55,0,1
Torso,Niv,59,5,20,5,40,55,0,1
Cintura,Niv,60,5,20,6,50,55,0,1
Piernas,Niv,61,5,20,7,60,55,0,1
Pies,Niv,62,5,20,8,70,55,0,1
Muñecas,Niv,63,5,20,9,80,55,0,1
Manos,Niv,64,5,20,10,90,55,0,1
Miscelánea,Niv,65,5,19,0,50,24,0,1
Talla de runas,Niv,66,5,19,0,10,65,13,1
Cuello,Niv,67,5,19,2,20,65,0,1
Capa,Niv,68,5,20,16,30,65,0,1
Dedo,Niv,69,5,19,11,40,65,0,1
Abalorio,Niv,70,5,19,12,50,65,0,1
Mano izquierda,Niv,71,5,19,23,60,65,0,1
Escudos,Niv,72,5,25,14,70,65,0,3
Camisa,Niv,73,5,19,4,80,65,0,1
Cabeza,Niv,74,5,19,1,90,65,0,1
Cosmético,Niv,75,5,24,0,60,24,0,1
Recipientes,Ranuras,76,2,0,0,300,0,0,2
Bolsa,Ranuras,77,2,2,0,10,76,0,2
Bolsa de minería,Ranuras,78,2,118,0,20,76,0,2
Caja de aparejos,Ranuras,79,2,171,0,30,76,0,2
Bolsa de inscripción,Ranuras,80,2,167,0,40,76,0,2
Bolsa de peletería,Ranuras,81,2,149,0,50,76,0,2
Bolsa de hierbas,Ranuras,82,2,109,0,60,76,0,2
Bolsa de encantamiento,Ranuras,83,2,110,0,70,76,0,2
Bolsa de ingeniería,Ranuras,84,2,111,0,80,76,0,2
Bolsa de gemas,Ranuras,85,2,116,0,90,76,0,2
Bolsa de cocina,Ranuras,86,2,179,0,100,76,0,2
Gemas,Niv,87,4,0,0,400,0,0,1
Reliquia de artefacto,Niv,88,4,187,0,10,87,0,1
Intelecto,Niv,89,4,36,0,20,87,0,1
Agilidad,Niv,90,4,119,0,30,87,0,1
Fuerza,Niv,91,4,120,0,40,87,0,1
Aguante,Niv,92,4,121,0,50,87,0,1
Golpe crítico,Niv,93,4,123,0,60,87,0,1
Maestría,Niv,94,4,124,0,70,87,0,1
Celeridad,Niv,95,4,125,0,80,87,0,1
Versatilidad,Niv,96,4,126,0,90,87,0,1
Otros,Niv,97,4,169,0,100,87,0,1
Varias estadísticas,Niv,98,4,170,0,110,87,0,1
Mejoras de objetos,Niv,99,9,0,0,500,0,0,1
Torso,Niv,100,9,191,0,10,99,0,1
Muñecas,Niv,101,9,192,0,20,99,0,1
Manos,Niv,102,9,193,0,30,99,0,1
Miscelánea,Niv,103,9,201,0,40,99,0,1
Cabeza,Niv,104,9,48,0,50,99,0,1
Arma de dos manos,Niv,105,9,199,0,60,99,0,1
Escudo/Mano izquierda,Niv,106,9,200,0,70,99,0,1
Hombros,Niv,107,9,189,0,80,99,0,1
Capa,Niv,108,9,190,0,90,99,0,1
Arma,Niv,109,9,198,0,100,99,0,1
Dedo,Niv,110,9,197,0,110,99,0,1
Pies,Niv,111,9,196,0,120,99,0,1
Piernas,Niv,112,9,195,0,130,99,0,1
Cintura,Niv,113,9,194,0,140,99,0,1
Consumibles,Nivel,114,1,0,0,600,0,0,3
Runas vantus,Nivel,115,1,184,0,10,114,0,3
Frascos y ampollas,Nivel,116,1,131,0,20,114,0,3
Explosivos y dispositivos,Nivel,117,1,43,0,30,114,0,3
Pociones,Nivel,118,1,44,0,40,114,0,3
Elixires,Nivel,119,1,45,0,50,114,0,3
Alimentos y bebidas,Nivel,120,1,133,0,60,114,0,3
Vendas,Nivel,121,1,135,0,70,114,0,3
Otros,Nivel,122,1,136,0,80,114,0,3
Glifos,,123,17,0,0,700,0,0,0
Druida,,124,17,161,0,10,123,0,0
Brujo,,125,17,160,0,20,123,0,0
Mago,,126,17,159,0,30,123,0,0
Chamán,,127,17,158,0,40,123,0,0
Sacerdote,,128,17,157,0,50,123,0,0
Pícaro,,129,17,156,0,60,123,0,0
Cazador,,130,17,155,0,70,123,0,0
Paladín,,131,17,154,0,80,123,0,0
Caballero de la Muerte,,132,17,162,0,90,123,0,0
Monje,,133,17,177,0,100,123,0,0
Guerrero,,134,17,153,0,110,123,0,0
Cazador de demonios,,135,17,183,0,120,123,0,0
Objetos comerciables,,136,8,0,0,800,0,0,0
Tela,,137,8,137,0,10,136,0,0
Cuero,,138,8,138,0,20,136,0,0
Metal y piedra,,139,8,139,0,30,136,0,0
Cocina,,140,8,140,0,40,136,0,0
Hierbas,,141,8,141,0,50,136,0,0
Encantamiento,,142,8,148,0,50,136,0,0
Inscripción,,143,8,185,0,60,136,0,0
Joyería,,144,8,115,0,70,136,0,0
Piezas,,145,8,38,0,80,136,0,0
Elemental,,146,8,142,0,90,136,0,0
Componentes opcionales,,147,8,327,0,100,136,0,0
Otros,,148,8,143,0,120,136,0,0
Recetas,Habilidad,149,10,0,0,900,0,0,4
Inscripción,Habilidad,150,10,168,0,10,149,0,4
Sastrería,Habilidad,151,10,42,0,20,149,0,4
Peletería,Habilidad,152,10,41,0,30,149,0,4
Joyería,Habilidad,153,10,106,0,40,149,0,4
Alquimia,Habilidad,154,10,102,0,50,149,0,4
Herrería,Habilidad,155,10,100,0,60,149,0,4
Ingeniería,Habilidad,156,10,99,0,70,149,0,4
Encantamiento,Habilidad,157,10,104,0,80,149,0,4
Cocina,Habilidad,158,10,101,0,90,149,0,4
Primeros auxilios,Habilidad,159,10,103,0,100,149,0,4
Pesca,Habilidad,160,10,105,0,110,149,0,4
Libro,Habilidad,161,10,40,0,120,149,0,4
Mascotas de duelo,Nivel,162,18,0,0,1000,0,0,3
Mascotas de compañía,Nivel,163,16,145,0,1000,162,0,3
Objetos de misión,,164,13,0,0,1100,0,0,0
Miscelánea,,165,16,0,0,1200,0,0,0
Chatarra,,166,16,52,0,10,165,0,0
Componente,,167,16,144,0,20,165,0,0
Fiesta,,168,16,146,0,30,165,0,0
Otros,,169,16,147,0,40,165,0,0
Montura,,170,16,152,0,50,165,0,0
Equipo de montura,,171,16,326,0,60,165,0,0
Equipamiento de profesión,Niv,172,145,0,0,950,0,0,1
Inscripción,Niv,173,145,341,0,10,172,0,1
Sastrería,Niv,174,145,335,0,20,172,0,1
Peletería,Niv,175,145,330,0,30,172,0,1
Joyería,Niv,176,145,340,0,40,172,0,1
Alquimia,Niv,177,145,331,0,50,172,0,1
Herrería,Niv,178,145,329,0,60,172,0,1
Ingeniería,Niv,179,145,336,0,70,172,0,1
Encantamiento,Niv,180,145,337,0,80,172,0,1
Cocina,Niv,181,145,333,0,120,172,0,1
Pesca,Niv,182,145,338,0,130,172,0,1
Herramientas,Niv,183,145,341,29,10,173,0,1
Accesorios,Niv,184,145,341,30,20,173,0,1
Herramientas,Niv,185,145,340,29,10,176,0,1
Accesorios,Niv,186,145,340,30,20,176,0,1
Accesorios,Niv,187,145,335,30,20,174,0,1
Herramientas,Niv,188,145,335,29,10,174,0,1
Herramientas,Niv,189,145,330,29,10,175,0,1
Accesorios,Niv,190,145,330,30,20,175,0,1
Herramientas,Niv,191,145,331,29,10,177,0,1
Accesorios,Niv,192,145,331,30,20,177,0,1
Herramientas,Niv,193,145,329,29,10,178,0,1
Accesorios,Niv,194,145,329,30,20,178,0,1
Herramientas,Niv,195,145,336,29,10,179,0,1
Accesorios,Niv,196,145,336,30,20,179,0,1
Herramientas,Niv,197,145,337,29,10,180,0,1
Accesorios,Niv,198,145,337,30,20,180,0,1
Herramientas,Niv,199,145,333,29,10,181,0,1
Accesorios,Niv,200,145,333,30,20,181,0,1
Herramientas,Niv,201,145,338,29,10,182,0,1
Accesorios,Niv,202,145,338,30,20,182,0,1
Minería,Niv,203,145,334,0,90,172,0,1
Herboristería,Niv,204,145,332,0,100,172,0,1
Desuello,Niv,205,145,339,0,110,172,0,1
Accesorios,Niv,206,145,334,30,20,203,0,1
Herramientas,Niv,207,145,334,29,10,203,0,1
Accesorios,Niv,208,145,332,30,20,204,0,1
Herramientas,Niv,209,145,332,29,10,204,0,1
Accesorios,Niv,210,145,339,30,20,205,0,1
Herramientas,Niv,211,145,339,29,10,205,0,1
Cuello,Niv,212,9,188,0,45,99,0,0
Bolsa de componentes,Ranuras,215,2,344,0,15,76,0,2
Componentes de finalización,,217,8,343,0,110,136,0,0
Adorno para hogares,,218,147,356,0,0,0,0,0
Mobiliario,,219,147,356,0,0,218,0,0
Resaltes,,220,0,0,0,1,218,0,0
Ornamentales,,221,0,0,0,0,220,0,0
Estructurales,,222,0,0,0,0,218,0,0
Iluminación,,223,0,0,0,0,218,0,0
Funcionales,,224,0,0,0,0,218,0,0
Naturaleza,,225,0,0,0,0,218,0,0
Varios,,226,0,0,0,0,218,0,0
Asientos,,227,0,0,0,0,219,0,0
Mesas y escritorios,,228,0,0,0,0,219,0,0
Almacenamiento,,229,0,0,0,0,219,0,0
Camas,,230,0,0,0,0,219,0,0
Muebles (varios),,231,0,0,0,0,219,0,0
Comida y bebida,,232,0,0,0,0,220,0,0
Resaltes (varios),,233,0,0,0,0,220,0,0
Puertas,,234,0,0,0,0,222,0,0
Ventanas,,235,0,0,0,0,222,0,0
Muros y columnas,,236,0,0,0,0,222,0,0
Estructuras grandes,,237,0,0,0,0,222,0,0
Estructurales (varios),,238,0,0,0,0,222,0,0
Luces grandes,,239,0,0,0,0,223,0,0
Luces de pared,,240,0,0,0,0,223,0,0
Luces de techo,,241,0,0,0,0,223,0,0
Luces pequeñas,,242,0,0,0,0,223,0,0
Luces (varias),,243,0,0,0,0,223,0,0
Utilidad,,244,0,0,0,0,224,0,0
Exposición de objetos,,245,0,0,0,0,224,0,0
Funcionales (varios),,246,0,0,0,0,224,0,0
Follaje grande,,247,0,0,0,0,225,0,0
Follaje pequeño,Habilidades,248,0,0,0,0,225,0,4
Arbustos,,249,0,0,0,0,225,0,0
Cobertura para el suelo,,250,0,0,0,0,225,0,0
Naturaleza (varios),,251,0,0,0,0,225,0,0
