Code,FormatShort_lang,FormatLong_lang,LicenseAcceptText_lang,ID,NumericCode,Field_1_15_1_53009_006,Field_1_15_1_53009_007
USD,%s $,%s $,"Al hacer clic en el botón Comprar ahora, reconozco que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de Venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de Protección de Datos|r|h, y confirmo esta compra.",1,840,16,833
GBP,%s £,%s £,"Al hacer clic en Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de Venta|r|h, así como la entrega inmediata de tu pedido. Perderás el derecho a cancelar tu pedido una vez haya comenzado el proceso de entrega.",2,826,16,836
KRW,%s*,Monedas de batalla: %s,"Al hacer clic en el botón Comprar ahora, reconozco que he leído y acepto los términos y condiciones de esta transacción (incluidas las 
|HurlIndex:9|h|cff71d5ffCondiciones de Venta|r|h, la |HurlIndex:8|h|cff71d5ffPolítica de Reembolsos|r|h y la |HurlIndex:13|h|cff71d5ffPolítica de Protección de Datos|r|h), y confirmo esta compra.",3,410,48,834
EUR,%s €,%s €,"Al hacer clic en Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de Venta|r|h, así como la entrega inmediata de tu pedido. Perderás el derecho a cancelar tu pedido una vez haya comenzado el proceso de entrega.",4,978,16,836
RUB,%s RUB,%s RUB,"Al hacer clic en Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de Venta|r|h, así como la entrega inmediata de tu pedido. Perderás el derecho a cancelar tu pedido una vez haya comenzado el proceso de entrega.",5,643,16,836
COP,%s $,%s $,"Al hacer clic en el botón Comprar ahora, reconozco que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de Venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de Protección de Datos|r|h, y confirmo esta compra.",6,170,4,833
PEN,S/.%s,S/.%s,"Al hacer clic en el botón Comprar ahora, reconozco que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de Venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de Protección de Datos|r|h, y confirmo esta compra.",7,604,4,833
ARS,%s $,%s $,"Al hacer clic en el botón Comprar ahora, reconozco que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de Venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de Protección de Datos|r|h, y confirmo esta compra.",8,32,0,833
CLP,%s $,%s $,"Al hacer clic en el botón Comprar ahora, reconozco que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de Venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de Protección de Datos|r|h, y confirmo esta compra.",9,152,0,833
MXN,%s $,%s $,"Al hacer clic en el botón Comprar ahora, reconozco que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de Venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de Protección de Datos|r|h, y confirmo esta compra.",10,484,0,833
BRL,%s R$,%s R$,"Al hacer clic en el botón Comprar ahora, reconozco que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de Venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de Protección de Datos|r|h, y confirmo esta compra.",11,986,0,833
AUD,%s $,%s $,"Al hacer clic en el botón Comprar ahora, reconozco que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de Venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de Protección de Datos|r|h, y confirmo esta compra.",12,36,0,833
SGD,%s $,%s $,"Al hacer clic en el botón Comprar ahora, reconozco que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de Venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de Protección de Datos|r|h, y confirmo esta compra.",13,702,0,833
CPT,%s*,Monedas de batalla: %s,"Al hacer clic en el botón Comprar ahora, reconozco que he leído y acepto las |HurlIndex:18|h|cff71d5ffCondiciones de Venta|r|h y la |HurlIndex:19|h|cff71d5ffPolítica de Protección de Datos|r|h, y confirmo esta compra.",14,15,32,848
TPT,%s NT$,%s NT$,"Al hacer clic en el botón Comprar ahora, reconozco que he leído y acepto las |HurlIndex:10|h|cff71d5ffCondiciones de Venta|r|h y la |HurlIndex:20|h|cff71d5ffPolítica de Protección de Datos|r|h, y confirmo esta compra.",15,16,36,840
XTS,%s XTS,%s XTS,,16,963,2,960
XHG,,,,17,17,7,0
XXX,,,,18,999,7,0
XSG,,,,19,19,7,0
XPG,,,,20,20,7,0
XTU,,,,21,21,2,0
XTE,,,,22,22,2,0
XTK,,,,23,23,2,0
XTW,,,,24,24,2,0
XTC,,,,25,25,2,0
XDC,,,,26,26,7,0
XTX,,,,27,28,2,0
JPY,%s ¥,%s ¥,"Al hacer clic en el botón Comprar ahora, reconozco que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de Venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de Protección de Datos|r|h, y confirmo esta compra.",28,392,4,833
CAD,%s CAD,%s CAD,"Al hacer clic en el botón Comprar ahora, reconozco que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de Venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de Protección de Datos|r|h, y confirmo esta compra.",29,124,0,833
NZD,%s NZD,%s NZD,"Al hacer clic en el botón Comprar ahora, reconozco que he leído y acepto las |HurlIndex:14|h|cff71d5ffCondiciones de Venta|r|h y la |HurlIndex:15|h|cff71d5ffPolítica de Protección de Datos|r|h, y confirmo esta compra.",30,554,0,833
GEL,%s GEL,%s GEL,"Al hacer clic en Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de Venta|r|h, así como la entrega inmediata de tu pedido. Perderás el derecho a cancelar tu pedido una vez haya comenzado el proceso de entrega.",31,981,16,836
TRY,%s TRY,%s TRY,"Al hacer clic en Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de Venta|r|h, así como la entrega inmediata de tu pedido. Perderás el derecho a cancelar tu pedido una vez haya comenzado el proceso de entrega.",32,949,16,2020
KZT,%s KZT,%s KZT,"Al hacer clic en Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de Venta|r|h, así como la entrega inmediata de tu pedido. Perderás el derecho a cancelar tu pedido una vez haya comenzado el proceso de entrega.",33,398,16,836
UAH,%s UAH,%s UAH,"Al hacer clic en Pagar ahora, aceptas las |HurlIndex:16|h|cff71d5ffCondiciones de Venta|r|h, así como la entrega inmediata de tu pedido. Perderás el derecho a cancelar tu pedido una vez haya comenzado el proceso de entrega.",34,980,16,836
