Name_lang,Pos[0],Pos[1],Pos[2],MapOffset[0],MapOffset[1],FlightMapOffset[0],FlightMapOffset[1],ID,ContinentID,ConditionID,CharacterBitNumber,Flags,UiTextureKitID,MinimapAtlasMemberID,Facing,SpecialIconConditionID,VisibilityConditionID,MountCreatureID[0],MountCreatureID[1]
Abadía de Villanorte,-8888.98,-0.54,94.39,0,0,0,0,1,0,0,0,1024,0,4689,0,0,0,308,0
"Ventormenta, Elwynn",-8841.06,489.656,109.607,0.00998004,0.0101744,0,0,2,0,0,2,1,0,4689,0,0,0,0,541
Isla del programador,16391.81,16341.21,69.44,0,0,0,0,3,0,0,0,1024,0,4689,0,0,0,308,0
"Colina del Centinela, Páramos de Poniente",-10551.9,1034.39,56.9543,0,0,0,0,4,0,0,4,1,0,4689,0,0,0,0,541
"Villa del Lago, Crestagrana",-9429.1,-2231.4,68.65,0,0,0,0,5,0,20068,5,1,0,4689,0,0,0,0,541
"Forjaz, Dun Morogh",-4821.78,-1155.44,502.21,0,0,0,0,6,0,0,6,1,0,4689,0,0,0,0,541
"Puerto de Menethil, Los Humedales",-3787.81,-777.696,1.5582,-0.002,0.002,0,0,7,0,0,7,1,0,4689,0,0,0,0,541
"Thelsamar, Loch Modan",-5421.91,-2930.01,347.25,0,0,0,0,8,0,0,8,1,0,4689,0,0,0,0,541
"Bahía del Botín, Tuercespina",-14271.8,299.87,31.09,0,0,0,0,9,0,0,0,1024,0,4689,0,0,0,0,541
"El Sepulcro, Bosque de Argénteos",478.86,1536.59,131.32,0,0,0,0,10,0,0,10,2,0,4689,0,0,0,3574,0
"Entrañas, Tirisfal",1568.62,267.97,-43.1,0,0,0,0,11,0,96403,11,10,0,4689,0,0,0,3574,0
"Villa Oscura, Bosque del Ocaso",-10515.5,-1261.65,41.34,0,0,0,0,12,0,0,12,1,0,4689,0,0,0,0,541
"Molino Tarren, Trabalomas",-17.7066,-874.203,59.0056,0,0.003,0,0,13,0,0,13,2,0,4689,0,0,0,3574,0
"Costasur, Trabalomas",-711.48,-515.48,26.11,0,0,0,0,14,0,5793,14,1024,0,4689,0,0,0,0,541
Tierras de la Peste del Este,2253.4,-5344.9,83.38,0,0,0,0,15,0,0,0,1024,0,4689,0,0,0,0,541
"Refugio de la Zaga, Arathi",-1240.53,-2515.11,22.16,0,0,0,0,16,0,0,16,1,0,4689,0,0,0,0,541
"Sentencia, Arathi",-916.29,-3496.89,70.45,0.007,-0.007,0,0,17,0,0,17,2,0,4689,0,0,0,2224,0
"Bahía del Botín, Tuercespina",-14444.3,509.62,26.2,0,0,0,0,18,0,0,18,2,0,4689,0,0,0,2224,0
"Bahía del Botín, Tuercespina",-14473,464.15,36.43,0,0,0,0,19,0,0,19,1,0,4689,0,0,0,0,541
"Grom'gol, Tuercespina",-12414.2,146.29,3.28,0,0,0,0,20,0,0,20,2,0,4689,0,0,0,2224,0
"Nuevo Kargath, Tierras Inhóspitas",-6676.87,-2433.37,272.771,0.002,-0.01,0,0,21,0,0,21,2,0,4689,0,0,0,2224,0
"Cima del Trueno, Mulgore",-1197.21,29.71,176.95,0,0,0,0,22,1,0,22,2,0,4689,0,0,0,2224,0
"Orgrimmar, Durotar",1798.27,-4363.27,102.848,0.0249501,0.00436047,0,0,23,1,0,23,2,0,4689,0,0,0,2224,0
"Genérico, Objetivo mundial 002",-6666,-2222.3,278.6,0,0,0,0,24,0,0,24,1024,0,4689,0,0,0,0,0
"El Cruce, Los Baldíos del Norte",-441.8,-2596.08,96.06,0.00399202,-0.0101744,0,0,25,1,0,25,2,0,4689,0,0,0,2224,0
"Lor'danel, Costa Oscura",7459.9,-326.56,8.09,0,-0.02,0,0,26,1,0,26,9,0,4689,0,0,62814,0,3837
"Aldea Rut'theran, Teldrassil",8383.75,980.964,30.8292,0,0,0,0,27,1,0,27,9,0,4689,0,0,62814,0,3837
"Astranaar, Vallefresno",2827.34,-289.24,107.16,0.008,0,0,0,28,1,0,28,1,0,4689,0,0,0,0,3837
"Refugio Roca del Sol, Sierra Espolón",966.57,1040.32,104.27,0.021,0.005,0,0,29,1,0,29,2,0,4689,0,0,0,2224,0
"Cima Tramo Oeste, Las Mil Agujas",-4310.61,-927.064,81.1796,0,0,0,0,30,1,0,30,2,0,4689,0,0,0,2224,0
"Rama Sombría, Feralas",-4996.88,73.9427,99.8385,0,0,0,0,31,1,0,31,1,0,4689,0,0,0,0,3837
"Theramore, Marjal Revolcafango",-3825.37,-4516.58,10.44,0,0.008,0,0,32,1,19444,32,9,0,4689,0,0,0,0,541
"Mirador Thal'darah, Sierra Espolón",2147.25,1537.87,341.24,-0.017,0,0,0,33,1,0,33,1,0,4689,0,0,0,0,3837
"Transporte, Bahía del Botín",-1965.17,-5824.29,-1.06,0,0,0,0,34,1,0,0,1024,0,4689,0,0,0,0,0
"Transporte, Orgrimmar",1320.07,-4649.2,21.57,0,0,0,0,35,1,0,0,1024,0,4689,0,0,0,0,0
"Genérico, Objetivo mundial 001",-8644.62,433.28,59.46,0,0,0,0,36,0,0,0,1024,0,4689,0,0,0,15665,0
"Punta de Nijel, Desolace",139.24,1325.82,193.5,0.007,0,0,0,37,1,0,37,1,0,4689,0,0,0,0,3837
"Aldea Cazasombras, Desolace",-1767.64,3263.89,4.94,0,0,0,0,38,1,0,38,2,0,4689,0,0,0,2224,0
"Gadgetzan, Tanaris",-7185.97,-3768.24,9.30053,0,0,0,0,39,1,0,39,1,0,4689,0,0,0,0,541
"Gadgetzan, Tanaris",-7094.03,-3813.69,9.49695,0,0,0,0,40,1,0,40,2,0,4689,0,0,0,2224,0
"Plumaluna, Feralas",-4467.04,2188.64,17.8939,0,-0.01,0,0,41,1,0,41,1,0,4689,0,0,0,0,3837
"Campamento Mojache, Feralas",-4419.86,199.31,25.06,-0.004,0,0,0,42,1,0,42,2,0,4689,0,0,0,2224,0
"Pico Nidal, Tierras del Interior",283.74,-2002.76,194.74,0,-0.01,0,0,43,0,0,43,1,0,4689,0,0,0,0,541
"Muelle Pantoque, Azshara",3547.2,-6294.66,0.754245,0,0,0,0,44,1,0,44,2,0,4689,0,0,0,2224,0
"Castillo de Nethergarde, Las Tierras Devastadas",-11112.3,-3435.74,79.09,0,0.015,0,0,45,0,46758,45,9,0,4689,0,0,0,0,541
"Transporte, Costasur",-986.43,-547.86,-3.86,0,0,0,0,46,0,0,0,1024,0,4689,0,0,0,0,0
"Transporte, Grom'gol",-12418.77,235.43,1.12,0,0,0,0,47,0,0,0,1024,0,4689,0,0,0,0,0
"Puesto del Veneno, Frondavil [DISABLED in 4.x]",5123.51,-321.181,359.54,0,0,0,0,48,1,5793,48,1024,0,4689,0,0,0,2224,0
Claro de la Luna,7458.45,-2487.21,462.33,0,0,0,0,49,1,0,49,1,0,4689,0,0,0,0,3837
"Transporte, Puerto de Menethil",0,0,0,0,0,0,0,50,0,0,0,1024,0,4689,0,0,0,0,0
"Transporte, Auberdine",0,0,0,0,0,0,0,51,0,0,0,1024,0,4689,0,0,0,0,0
"Vista Eterna, Cuna del Invierno",6796.8,-4742.39,701.5,0,-0.01,0,0,52,1,0,52,1,0,4689,0,0,0,0,3837
"Vista Eterna, Cuna del Invierno",6813.06,-4611.12,710.67,0,-0.009,0,0,53,1,0,53,2,0,4689,0,0,0,2224,0
"Transporte, Plumaluna",-4203.87,3284,-12.86,0,0,0,0,54,1,0,0,1024,0,4689,0,0,0,0,0
"Poblado Murohelecho, Marjal Revolcafango",-3147.39,-2842.18,34.61,-0.006,0,0,0,55,1,0,55,2,0,4689,0,0,0,2224,0
"Rocal, Pantano de las Penas",-10457,-3279.25,21.35,-0.008,0,0,0,56,0,0,56,2,0,4689,0,0,0,2224,0
"Aldea Pesquera, Teldrassil",8701.51,991.37,14.21,0,0,0,0,57,1,0,0,1024,0,4689,0,0,0,0,3837
"Avanzada de Zoram'gar, Vallefresno",3351.82,1052.3,3.07,-0.008,-0.009,0,0,58,1,0,58,2,0,4689,0,0,0,2224,0
"Dun Baldar, Valle de Alterac",574.21,-46.65,37.61,0,0,0,0,59,30,0,0,1024,0,4689,0,0,0,0,541
"Bastión Lobo Gélido, Valle de Alterac",-1335.44,-319.69,90.66,0,0,0,0,60,30,0,0,1024,0,4689,0,0,0,3574,0
"Puesto del Hachazo, Vallefresno",2302.39,-2524.55,104.4,0,-0.012,0,0,61,1,0,61,2,0,4689,0,0,0,2224,0
"Amparo de la Noche, Claro de la Luna",7793.61,-2403.47,489.32,0,0,0,0,62,1,62814,0,1025,0,4689,0,0,62814,0,3837
"Amparo de la Noche, Claro de la Luna",7787.72,-2404.1,489.56,0,0,0,0,63,1,0,0,1026,0,4689,0,0,0,2224,0
"Punta Talrendis, Azshara (NUNCA en 4.x)",2721.99,-3880.64,100.87,0,0,0,0,64,1,5793,64,1024,0,4689,0,0,0,0,3837
"Claro Ramaespolón, Frondavil",6214.32,-1874.28,565.956,0.004,0,0,0,65,1,0,65,1,0,4689,0,0,0,0,3837
"Campamento del Orvallo, Tierras de la Peste del Oeste",931.32,-1430.11,64.67,-0.007,0.015,0,0,66,0,0,66,1,0,4689,0,0,0,0,541
"Capilla de la Esperanza de la Luz, Tierras de la Peste del Este",2271.09,-5340.8,87.11,0,0,0,0,67,0,924,67,1,0,4689,0,0,0,0,44248
"Capilla de la Esperanza de la Luz, Tierras de la Peste del Este",2270.2,-5343.11,86.9733,-0.008,-0.005,0,0,68,0,923,68,2,0,4689,0,0,0,44248,0
Claro de la Luna,7470.39,-2123.38,492.34,0,0,0,0,69,1,0,69,2,0,4689,0,0,0,2224,0
"Peñasco Llamarada, Las Estepas Ardientes",-7504.03,-2187.54,165.53,0.015,0,0,0,70,0,0,70,2,0,4689,0,0,0,2224,0
"Vigilia de Morgan, Las Estepas Ardientes",-8364.61,-2738.35,185.46,0,0,0,0,71,0,0,71,1,0,4689,0,0,0,0,541
"Fuerte Cenarion, Silithus",-6811.39,836.74,49.81,0,0,0,0,72,1,53948,72,10,0,4689,0,0,0,2224,0
"Fuerte Cenarion, Silithus",-6761.83,772.03,88.91,0,-0.005,0,0,73,1,53948,73,9,0,4689,0,0,0,0,3837
"Puesto del Torio, La Garganta de Fuego",-6552.59,-1168.27,309.31,-0.004,0.027,0,0,74,0,0,74,1,0,4689,0,0,0,0,541
"Puesto del Torio, La Garganta de Fuego",-6554.93,-1100.05,309.57,0.027,0.027,0,0,75,0,0,75,2,0,4689,0,0,0,2224,0
"Poblado Sañadiente, Tierras del Interior",-635.26,-4720.5,5.38,-0.007,0.007,0,0,76,0,0,76,2,0,4689,0,0,0,2224,0
"Punta Vendetta, Los Baldíos del Sur",-2152.35,-1724.34,92.528,0.02,0,0,0,77,1,0,227,2,0,4689,0,0,0,2224,0
Naxxramas,3133.31,-3399.93,139.53,0,0,0,0,78,0,0,0,1024,0,4689,0,0,0,0,0
"Alto de Marshal, Cráter de Un'Goro",-7548.05,-1541.13,-271.05,-0.003,0.01,0,0,79,1,0,79,3,0,4689,0,0,0,2224,541
"Trinquete, Los Baldíos del Norte",-894.59,-3773.01,11.48,-0.00598802,-0.0145349,0,0,80,1,0,80,3,0,4689,0,0,0,2224,541
Grabando,0,0,0,0,0,0,0,81,530,0,0,1024,0,4689,0,0,0,0,0
Ciudad de Lunargenta,9375.24,-7165.89,9.03,0,0,0,0,82,530,0,82,6,0,4689,0,0,0,19917,0
"Tranquillien, Tierras Fantasma",7594.47,-6784.29,86.46,0.006,0,0,0,83,530,0,83,2,0,4689,0,0,0,19917,0
"Torre del Bosque de la Peste, Tierras de la Peste del Este",2965.55,-3033.61,126.929,0,-0.015,0,0,84,0,0,154,3,0,4689,0,0,0,44248,44248
"Torre del Paso Norte, Tierras de la Peste del Este",3134.26,-4354.78,133.463,0,0,0,0,85,0,0,153,3,0,4689,0,0,0,44248,44248
"Torre de la Muralla del Este, Tierras de la Peste del Este",2524.44,-4769.56,104.087,0.014,0.01,0,0,86,0,0,147,3,0,4689,0,0,0,44248,44248
"Torre de la Corona, Tierras de la Peste del Este",1876.4,-3693.32,157.687,0.017,-0.012,0,0,87,0,0,152,3,0,4689,0,0,0,44248,44248
"Transporte, El Exodar",-4284.01,-11194.74,13.01,0,0,0,0,88,530,0,0,1024,0,4689,0,0,0,0,0
"Transporte, Theramore",0,0,0,0,0,0,0,89,0,0,0,1024,0,4689,0,0,0,0,0
"Transporte, Entrañas",0,0,0,0,0,0,0,90,1,0,0,1024,0,4689,0,0,0,0,0
Misión - Chamán Bruma Azur Objetivo,-3996.01,-11892.97,0.22,0,0,0,0,91,530,0,0,1024,0,4689,0,0,0,0,0
Misión - Chamán Bruma Azur Comienzo,-3679.31,-11413.04,310.57,0,0,0,0,92,530,0,0,1024,0,4689,0,0,0,0,0
"Avanzada de Sangre, Isla Bruma de Sangre",-1933.27,-11954.6,57.19,0,0,0,0,93,530,0,93,1,0,4689,0,0,0,0,3837
El Exodar,-3867.56,-11641.1,-137.664,0,0,0,0,94,530,0,94,1,0,4689,0,0,0,0,3837
Marisma de Zangar - Misión - Mientras el cuervo vuela,-146.29,5532.56,30.89,0,0,0,0,95,530,0,0,1024,0,4689,0,0,0,17972,0
Marisma de Zangar - Misión - Mientras el cuervo vuela - Fin,-145.23,5533.03,30.95,0,0,0,0,96,530,0,0,1024,0,4689,0,0,0,0,0
Misión - El camino de Elekk a Kessel,-3968.37,-11929.15,-1.22,0,0,0,0,97,530,0,0,1024,0,4689,0,0,0,0,18167
Misión - De Elekk a Kessel Objetivo,-2662.3,-12144.6,16.91,0,0,0,0,98,530,0,0,1024,0,4689,0,0,0,0,0
"Thrallmar, Península del Fuego Infernal",228.5,2633.57,87.67,0.013,-0.009,0,0,99,530,0,99,2,0,4689,0,0,0,2224,0
"Bastión del Honor, Península del Fuego Infernal",-673.42,2717.27,94.18,0.012,0.01,0,0,100,530,0,100,1,0,4689,0,0,0,0,541
"Templo de Telhamat, Península del Fuego Infernal",199.16,4241.56,121.75,0,-0.02,0,0,101,530,0,101,1,0,4689,0,0,0,0,3837
"Avanzada del Halcón, Península del Fuego Infernal",-587.41,4101.01,91.37,0.002,-0.01,0,0,102,530,0,102,2,0,4689,0,0,0,2224,0
Nagrand - JcJ - Ataque 1 Puesta en Marcha Comienzo,-1810.16,8032.11,-25.95,0,0,0,0,103,530,0,0,1024,0,4689,0,0,0,18345,18345
Nagrand - JcJ - Ataque 1 Puesta en Marcha Fin,-1824.18,8049.29,-26.85,0,0,0,0,104,530,0,0,1024,0,4689,0,0,0,13161,13161
