ID,BaseTag,TagText_lang,Flags
9597,BUG_BUTTON,Errores y sugerencias,1
9598,CHARACTER_BUTTON,Información del personaje,1
9599,MAINMENU_BUTTON,Menú de juego,3
9600,QUESTLOG_BUTTON,Registro de misiones,1
9601,SPELLBOOK_BUTTON,Libro de hechizos,1
9602,BACKPACK_TOOLTIP,Mochila,5
9603,INVENTORY_TOOLTIP,Inventario,5
9605,MELEE_ATTACK,Cuerpo a cuerpo,1
9606,ATTACK_SPEED_SECONDS,Velocidad de ataque (segundos),1
9607,UNSPENT_TALENT_POINTS,Talentos sin usar: %s,1
9610,DAMAGE_BONUS_TOOLTIP,Aumenta el daño con arma,1
9613,EXPERIENCE_COLON,Experiencia:,1
9614,GUILD_TEMPLATE,%s de %s,1
9615,HEALTH_COLON,Salud:,1
9616,INTELLECT_COLON,Intelecto:,1
9617,DEFENSE_TOOLTIP,Defensa,1
9618,MAGIC_RESISTANCES_COLON,Resistencias mágicas:,1
9619,MANA_COLON,Maná:,1
9620,MODIFIERS_COLON,Modificadores:,1
9621,PLAYER_LEVEL,|c%2$s%4$s %3$s|r de nivel %1$s,1
9622,PROFICIENCIES_COLON,Capacidades:,1
9623,SPIRIT_COLON,Espíritu:,1
9625,REPUTATION,Reputación,5
9626,RESISTANCE0_NAME,armadura,1
9627,RESISTANCE1_NAME,Resistencia a lo Sagrado,5
9628,RESISTANCE2_NAME,Resistencia al Fuego,5
9629,RESISTANCE3_NAME,Resistencia a la Naturaleza,5
9630,RESISTANCE4_NAME,Resistencia a la Escarcha,5
9633,STRENGTH_COLON,Fuerza:,1
9634,TITLE_TEMPLATE,%s de %s,1
9635,CONTAINER_SLOTS,%2$s de %1$d ranuras,1
9636,EQUIP_CONTAINER,Equipar contenedor,1
9637,HEADSLOT,Cabeza,1
9638,NECKSLOT,Cuello,1
9639,SHOULDERSLOT,Hombros,1
9640,BACKSLOT,Espalda,1
9641,SHIRTSLOT,Camisa,1
9642,CHESTSLOT,Torso,1
9643,WAISTSLOT,Cintura,1
9644,LEGSSLOT,Piernas,1
9645,FEETSLOT,Pies,1
9646,WRISTSLOT,Muñecas,1
9647,HANDSSLOT,Manos,1
9648,FINGER1SLOT,Dedo,1
9649,TRINKET0SLOT,Abalorio,1
9650,TRINKET1SLOT,Abalorio,1
9651,MAINHANDSLOT,Mano derecha,1
9652,SECONDARYHANDSLOT,Mano izquierda,1
9653,RANGEDSLOT,A distancia,1
9654,BAGSLOT,Bolsa,1
9655,INVTYPE_HEAD,Cabeza,5
9656,INVTYPE_NECK,Cuello,5
9657,INVTYPE_BODY,Camisa,5
9658,INVTYPE_CHEST,Torso,5
9659,INVTYPE_LEGS,Piernas,5
9660,INVTYPE_FEET,Pies,5
9661,INVTYPE_WRIST,Muñecas,5
9662,INVTYPE_HAND,Manos,5
9663,INVTYPE_FINGER,Dedo,5
9664,INVTYPE_WEAPON,Una mano,5
9665,INVTYPE_WEAPONOFFHAND,Mano izquierda,5
9666,INVTYPE_SHIELD,Mano izquierda,5
9667,INVTYPE_RANGED,A distancia,5
9668,INVTYPE_CLOAK,Espalda,5
9669,INVTYPE_2HWEAPON,Dos manos,5
9670,INVTYPE_BAG,Bolsa,5
9671,INVTYPE_HOLDABLE,Mano izquierda,5
9672,BANK_BAG,Ranura de bolsa,1
9673,ITEMSLOTTEXT,Ranuras de objeto,1
9674,BAGSLOTTEXT,Ranuras de bolsa,1
9675,BANKSLOTPURCHASE_LABEL,¿Quieres comprar espacio para una bolsa adicional?,1
9676,BANKSLOTPURCHASE,Comprar,1
9677,ADD_FRIEND,Añadir amigo,3
