ID,Question_lang
28,¿Los MJ te dieron una solución apropiada a tu pregunta o problema?
29,¿Te resultó fácil entender y/o seguir la información facilitada?
30,"¿El MJ tenía conocimiento del juego, te trató con respeto y demostró interés en tu caso?"
31,¿Qué nota le pondrías al tiempo de respuesta a tu solicitud?
32,"¿En general, cómo calificarías la experiencia con el MJ que te ha atendido?"
33,"Basándote en tu experiencia con el servicio de Atención al cliente, ¿recomendarías WoW a otras personas?"
35,"Basándose en tu experiencia con el servicio de Atención al cliente, ¿recomendarías los productos y servicios de Blizzard a un amigo?"
36,¿Fue resuelta tu incidencia?
37,Mi experiencia general con el servicio de Atención al cliente de Blizzard ha sido:
38,Mi tiempo de espera ha sido:
39,La profesionalidad del agente de Blizzard ha sido:
40,La capacidad de comunicación del agente de Blizzard ha sido:
41,"En general, la atención recibida del agente de Blizzard ha sido:"
42,¿Estás satisfecho con World of Warcraft en general?
43,¿Es probable que sigas jugando a World of Warcraft en el futuro?
44,¿Recomendarías World of Warcraft a un amigo?|n
45,Piensa en el contacto más reciente que has tenido con Blizzard. ¿Estás satisfecho con el servicio prestado por el agente?
46,El agente entendió claramente la razón por la que me he puesto en contacto con Blizzard.
47,El trato recibido ha hecho que me sienta valorado como cliente.
48,El agente me ha proporcionado información clara y precisa.
49,El agente ha explicado cómo sería tratada mi incidencia.
50,¿Fue resuelta tu incidencia?
51,¿Estás satisfecho con el tiempo que has esperado hasta que un agente se ha puesto en contacto contigo?
52,¿Cuántas veces te has puesto en contacto con Blizzard para resolver esta incidencia?
53,El agente estaba cualificado.
