Text_lang,Text1_lang,ID,LanguageID,ConditionID,EmotesID,Flags,ChatBubbleDurationMs,VoiceOverPriorityID,SoundKitID[0],SoundKitID[1],EmoteID[0],EmoteID[1],EmoteID[2],EmoteDelay[0],EmoteDelay[1],EmoteDelay[2]
¡Socorro! ¡Socorro! ¡Soy víctima de represión!,,1,0,0,0,70,0,0,0,0,0,0,0,0,0,0
Secuencia de autodestrucción activada.,,3927,0,0,0,69,0,0,0,0,0,0,0,0,0,0
¡QUE EL FUEGO TE PURIFIQUE!,,9426,0,0,0,71,0,0,8046,0,0,0,0,0,0,0
,"Ven, por aquí.",15708,7,0,0,68,0,0,0,44118,0,0,0,0,0,0
"¡Ya es bastante lejos, orco! ¡Desmonta y sométete, o muere!","¡Ya es bastante lejos, orco! ¡Desmonta y sométete, o muere!",33630,0,8193,0,69,0,0,0,0,0,0,0,0,0,0
,"¡Fuera de nuestro camino, necios!",33631,0,8193,0,69,0,0,0,0,0,0,0,0,0,0
Una pérdida de vida inevitable.,,33996,0,0,0,65,0,0,0,0,0,0,0,0,0,0
Hago lo que debo.,,33997,0,0,0,65,0,0,0,0,0,0,0,0,0,0
Se acabó el tiempo.,,34001,0,0,0,65,0,0,0,0,0,0,0,0,0,0
"Tal vez sea vuestra imperfección, que os otorga libre albedrío, lo que os permite perseverar contra todo lo calculado cósmicamente. Prevalecéis donde fracasaron las perfectas creaciones de los mismísimos titanes.",,34012,0,0,0,65,0,0,0,0,0,0,0,0,0,0
,¡Capitán! ¡Naufragio a estribor! ¡Parece que hay supervivientes!,39672,0,0,0,71,0,0,0,20916,0,0,0,0,0,0
¡Ahora concentraos! Dentro de una hora estaremos matando orcos.,,41964,0,0,1,71,0,0,21208,0,0,0,0,0,0,0
¡A formar!,,41984,0,0,22,71,0,0,21205,0,0,0,0,0,0,0
Esa isla que veis en el horizonte es nuestro destino.,,42092,0,0,1,71,0,0,21185,0,0,0,0,0,0,0
"Allí cumpliremos con nuestro deber, por nuestro rey, por Ventormenta y por su gente...",,42093,0,0,1,71,0,0,21186,0,0,0,0,0,0,0
Grito Infernal ha enviado a sus mejores hombres para tomar la isla. Debemos impedir que ninguno de ellos regrese a casa...,,42095,0,0,1,71,0,0,21188,0,0,0,0,0,0,0
¡Ventormenta no caerá nunca!,,42097,0,0,53,71,0,0,21190,0,0,0,0,0,0,0
