Description_lang,ID,MapID
Banderas capturadas,42,489
Banderas recuperadas,44,489
Torres asaltadas,61,30
Cem. asaltados,63,30
Torres defendidas,64,30
Cem. defendidos,65,30
Objetivos secundar.,82,30
Bases asaltadas,122,529
Bases defendidas,123,529
Banderas capturadas,183,566
Murallas destruidas,215,571
Edificios destruidos,216,571
Puertas destruidas,231,607
Demoledores destruidos,232,607
Bases asaltadas,245,628
Bases defendidas,246,628
Banderas capturadas,290,726
Banderas recuperadas,291,726
Bases asaltadas,370,761
Bases defendidas,371,761
Bases asaltadas,391,968
Bases defendidas,392,968
Banderas capturadas,393,968
Posesiones de orbe,418,998
Puntos de victoria,419,998
Banderas capturadas,422,1010
Banderas recuperadas,423,1010
Vagonetas controladas,428,727
Vagonetas capturadas,457,1105
Vagonetas recuperadas,458,1105
Minas asaltadas,459,1105
Minas defendidas,460,1105
Puntuación,501,451
Bases asaltadas,679,1681
Bases defendidas,680,1681
Bases asaltadas,688,2177
Bases defendidas,690,2177
Azerita recogida,744,1803
Banderas capturadas,762,1740
Banderas recuperadas,763,1740
Ingredientes recogidos,923,1691
Bases asaltadas,926,2107
Bases defendidas,927,2107
Banderas capturadas,928,2106
Banderas recuperadas,929,2106
Artefactos recogidos,931,1191
Bases asaltadas,1001,2245
Bases defendidas,1002,2245
Torres asaltadas,1003,2197
Objetivos secundar.,1004,2197
Cem. defendidos,1005,2197
Torres defendidas,1006,2197
Cem. asaltados,1007,2197
Rondas ganadas,1008,1505
Rondas ganadas,1009,1672
Rondas ganadas,1010,1134
Rondas ganadas,1011,980
Rondas ganadas,1012,572
Rondas ganadas,1013,1911
Rondas ganadas,1014,1504
Rondas ganadas,1015,2509
Rondas ganadas,1016,2511
Rondas ganadas,1017,2547
Rondas ganadas,1018,2563
Banderas capturadas,1020,2656
Vagonetas controladas,1021,2656
Rondas ganadas,1022,2759
