ID,Name_lang,HonorLevel,BadgeTextureFileDataID,Flags,AwardedAchievementID
1,Nivel 5 de honor,5,1375574,0,12893
2,Nivel 10 de honor,10,1375575,0,12894
3,Nivel 15 de honor,15,1375576,0,12895
4,Nivel 20 de honor,20,1375577,0,12900
6,Nivel 25 de honor,25,1551554,1,12901
8,Nivel 30 de honor,30,1551555,1,12902
9,Nivel 40 de honor,40,1551556,1,12903
10,Nivel 50 de honor,50,1551557,1,12904
11,Nivel 60 de honor,60,1567394,0,12905
12,Nivel 70 de honor,70,1597388,0,12906
13,Nivel 80 de honor,80,1597390,0,12907
14,Nivel 90 de honor,90,1597392,0,12908
15,Nivel 100 de honor,100,1597394,0,12909
16,Nivel 125 de honor,125,1597397,0,12910
17,Nivel 150 de honor,150,1597398,0,12911
18,Nivel 175 de honor,175,1597399,0,12912
19,Nivel 200 de honor,200,1597400,0,12913
20,Nivel 250 de honor,250,1713158,0,12914
21,Nivel 300 de honor,300,1713159,0,12915
22,Nivel 400 de honor,400,1713160,0,12916
23,Nivel 500 de honor,500,1713161,0,12917
24,Nivel 600 de honor,253,1713162,0,0
25,Nivel 750 de honor,254,1713163,0,0
26,Nivel 1000 de honor,255,1713164,0,0
