Name_lang,ID,Field_12_0_0_63967_001,Flags,Field_12_0_0_63724_002,RoomWmoDataID,UiTextureAtlasElementID,WeightCost,ItemID,SortPriority
Habitación cuadrada (pequeña),1,1,4,0,5,31139,5,0,120
Pasillo,2,1,4,0,7,31132,3,0,150
Armario,3,1,4,0,4,31130,1,0,145
Habitación en T,6,1,4,0,162,31143,3,0,320
Habitación cuadrada (diminuta),7,1,4,0,3,31140,2,0,110
Habitación en L,8,1,4,0,163,31133,3,0,310
Habitación octogonal (mediana),9,1,4,0,165,31135,8,0,220
Hueco de escalera (izquierda),10,1,6,0,8,31142,7,0,420
Habitación cuadrada (mediana),11,1,0,0,160,31138,12,0,130
Habitación cuadrada (grande),12,1,0,0,6,31137,20,0,140
Habitación en forma de cruz,13,1,4,0,161,31131,4,0,330
Habitación octogonal (pequeña),14,1,4,0,164,31136,4,0,210
Habitación octogonal (grande),15,1,0,0,166,31134,16,0,230
Parcela base mediana,18,1,5,0,172,0,0,0,0
Entrada,46,1,5,0,177,0,0,0,0
Habitación de hueco de escalera (vacía),48,1,6,0,179,31144,6,0,430
Hueco de escalera (derecha),50,1,6,0,180,31141,7,0,410
Sala del consejo de Orgrimmar,132,3,8,0,202,35463,20,274673,840
Foso de piedra de Orgrimmar,151,3,8,0,219,35465,5,274675,820
Habitación circular diurna,223,3,8,0,233,32639,8,272045,710
Habitación circular vespertina,233,3,8,0,255,32640,8,0,720
Armería de Ventormenta,273,3,8,0,305,35471,12,272997,930
Cocina de Ventormenta,277,3,8,0,326,35474,5,274667,920
Sala de trofeos de Ventormenta,281,3,8,0,328,35472,5,274666,910
Gran salón de Ventormenta,282,3,8,0,336,35473,20,274665,940
Arsenal de Lunargenta,283,3,8,0,337,35467,12,274663,1030
Estudio excelso de Lunargenta,285,3,8,0,345,35469,20,274664,1040
Sala de trofeos de Lunargenta,286,3,8,0,346,35468,5,274661,1010
Sala del templo de Bel'ameth,287,3,8,0,347,35461,20,274670,1140
Sala de reuniones de Bel'ameth,288,3,8,0,348,35460,12,274668,1130
Teatro de Bel'ameth,289,3,8,0,349,35462,5,274669,1120
Dormitorio resguardado de Bel'ameth,290,3,8,0,350,35459,5,274671,1110
Teatro de Orgrimmar,292,3,8,0,352,35466,12,274674,830
Sala de trofeos de Orgrimmar,294,3,8,0,353,35464,5,274676,810
Estudio pequeño de Lunargenta,307,3,8,0,371,35470,5,274662,1020
Cuadra otoñal de Páramos de Poniente,400,3,8,0,378,36094,18,276243,750
Cuadra primaveral de Páramos de Poniente,401,3,8,0,379,31138,18,276244,760
