Money,Title_lang,Description_lang,ID,DecorID,DecorQuantity,Field_12_0_0_63534_006,Favor,RewardQuestID
50,tiger test reward [DNT],,1,0,0,0,0,0
0,Hito 1,Nuevos objetos de los vendedores de proyecto desbloqueados,2,0,0,0,0,0
0,Hito 2,Nuevos objetos de los vendedores de proyecto desbloqueados,3,0,0,0,0,0
0,Hito 3,Nuevos objetos de los vendedores de proyecto desbloqueados,4,0,0,0,0,0
0,Recompensa de proyecto completado,,5,0,0,0,0,93262
0,Recompensa de proyecto completado,,21,0,0,0,0,93262
0,Recompensa de proyecto completado,,22,0,0,0,0,93262
0,Recompensa de proyecto completado,,23,0,0,0,0,93262
0,Recompensa de proyecto completado,,24,0,0,0,0,93262
0,Recompensa de proyecto completado,,25,0,0,0,0,93262
0,Recompensa de proyecto completado,,26,0,0,0,0,93262
0,Recompensa de proyecto completado,,27,0,0,0,0,93262
0,Recompensa de proyecto completado,,28,0,0,0,0,93262
0,Recompensa de proyecto completado,,29,0,0,0,0,93262
