Name_lang,Description_lang,ID,UiTextureAtlasElementID,TraitTreeID
Yellow [DNT],[DNT] This is a UI Engineering test SubTree.,9,18688,898
Pink [DNT],[DNT] This is a UI Engineering test SubTree.,10,4076,898
Blue [DNT],[DNT] This is a UI Engineering test SubTree.,11,4073,898
Red [DNT],[DNT] This is a UI Engineering test SubTree.,12,11358,898
UI Test Subtree 1,Descripción,16,11409,878
UI Test Subtree 2,Otra descripción,17,0,880
Tejevacío,"Los Tejevacíos se han dedicado a estudiar los orígenes de la magia del Vacío y han descubierto la manera de abrir una tenue conexión con este. Este poder es increíblemente peligroso y volátil, y consume todo lo que haya a su paso.",18,26682,795
Arconte,Los Arcontes son muy devotos y tienen una profunda conexión con la Luz y la Sombra. Los arcontes pueden recibir la bendición de seres superiores para entrar en un estado de ascensión y convertirse en una versión definitiva de sí mismos.,19,27430,795
Oráculo,Los Oráculos observan el futuro y aprovechan su conocimiento para proteger y fortalecer a sus aliados. La clarividencia otorga a los Oráculos la capacidad de conceder bendiciones y beneficios únicos a sus aliados incluso antes de que se necesiten.,20,26934,795
Druida de la Zarpa,"Cuando se transforman en felinos u osos, los Druidas de la Zarpa se convierten en fieros combatientes y protectores de la naturaleza.",21,26675,793
Acechador salvaje,"Los Acechadores salvajes viven en las tierras vírgenes más remotas, donde cazan para perpetuar el ciclo de la vida y destruyen a todo aquel que explota la naturaleza. Además, utilizan sus poderes curativos para devolver a la vida los lugares más inhóspitos.",22,26677,793
Vigilante de la arboleda,Los Vigilantes de la arboleda se inspiran en los poderosos hijos de Cenarius para proteger el equilibrio de la naturaleza y proteger el Sueño. Canalizan el poder del Sueño para fortalecer sus hechizos e invocar antárboles mejorados con los que protegerán a sus aliados y aplastarán a sus enemigos.,23,26686,793
Elegidos de Elune,"Los Elegidos de Elune se consagran a la diosa de la luna, lo que les otorga una conexión especial con la luna y las estrellas. Sus facultades se ven imbuidas de poderío astral y pueden invocar una potente magia lunar del cielo.",24,26685,793
DPS,Brann destruye a sus enemigos desde lejos con Lo que nunca falla.,29,24179,874
Sanador,Brann utiliza sus suministros médicos y las reliquias conseguidas para sanar a los jugadores heridos.,30,24186,874
San'layn,"Los San'layn dominan la magia de sangre y de las Sombras, con las que debilitan a sus enemigos y potencian sus propias capacidades.",31,26673,750
Jinete del Apocalipsis,"Los Jinetes del apocalipsis invocan el poder de los Cuatro Jinetes de leyenda para que acudan en su ayuda y poder servirse de los poderes de la muerte, el hambre y la peste.",32,27222,750
Libramorte,Te conviertes en $gemisario:emisaria; de la muerte. Apunta a las almas de tus enemigos con ataques potenciados por las Tierras Sombrías para que no olviden lo inevitable.,33,26672,750
Marcado por la vileza,Los Marcados por la vileza abrazan a su demonio interior y amplifican el poder explosivo del fuego vil que poseen.,34,27066,854
Atracador Aldrachi,"Los guerreros Aldrachi eran maestros con las gujas, que esgrimían con una elegancia letal para consumir almas e imbuir sus armas de un poder superior.",35,27132,854
Escamandante,"Los Escamandantes son líderes natos, capaces de inspirar y mejorar a cualquiera bajo su mando. Son los generales elegidos por los Dracthyr, que utilizan sus hechizos potenciados para dar órdenes en la batalla e invocar tropas.",36,27067,872
Moldeallamas,"Los Moldeallamas están en armonía con Alexstrasza y se especializan en proteger a sus aliados, en el rejuvenecimiento y en la renovación. También cuentan con la capacidad única de extender, intensificar y manipular la llama de dragón.",37,27223,872
Cronoguarda,"Los Cronoguardas son capaces de manipular el tiempo y ver el futuro para agilizar sus ataques o evocar ecos para volver a ver acciones pasadas. Al especializarse en la magia Bronce, puede que se vuelvan inestables a causa de la gran cantidad de posibilidades futuras que ven constantemente.",38,26678,872
Furiasolar,"Al aceptar las llamas arcanas, los magos Furiasolar pueden potenciar sus conjuros más potentes e incluso recibir ayuda de un fénix Piroarcano.",39,27133,658
Lanzahechizos,"Los Lanzahechizos han dominado la inestabilidad inherente en la naturaleza de la magia, por lo que son capaces de astillar su magia para así crear nuevos efectos muy poderosos y volátiles.",40,27429,658
Pirofrío,"Los magos de Pirofrío toman las riendas de dos fuerzas elementales que parecen incompatibles a simple vista. Han dominado estas fuerzas opuestas, lo que les permite potenciar sus ataques elementales e incluso combinarlos para obtener más poder.",41,27017,658
Centinela,Los Centinelas extraen su poder de las fuerzas de la naturaleza: infligen bonus de daño Arcano con sus facultades e invocan el poder de la luna para hacer llover destrucción sobre sus enemigos.,42,27529,774
