Description_lang,ID,DataTag
Diminuto,1,65
Pequeño,2,66
Mediano,3,67
Grande,4,68
Enorme,5,69
Enanos,6,74
Enanos Martillo Salvaje,7,75
Enanos Barbabronce (Forjaz),8,76
Enanos Hierro Negro,9,77
Terráneos (Dorn),10,78
Humanos,11,79
Ventormenta,12,80
Kul Tiras,13,81
Gilneanos/huargen,14,82
Elfos,15,83
Elfos de sangre,16,84
Elfos de la noche,17,85
Elfos del Vacío,18,86
Nocheterna,19,87
Tauren,20,88
Draenei,21,89
Orcos,22,90
Goblins,23,91
Vulpera,24,92
Trols,25,93
Trols Lanza Negra,26,94
Trols Zandalari,27,95
No-muertos,28,96
Gnomos,29,97
Pandaren,30,98
Haranir,31,452
Classic,32,99
Burning Crusade,33,100
Wrath of the Lich King,34,101
Cataclysm,35,102
Mists of Pandaria,36,103
Warlords of Draenor,37,104
Legion,38,105
Battle for Azeroth,39,106
Shadowlands,40,107
Dragonflight,41,108
The War Within,42,109
Midnight,43,110
Aniversarios de WoW,44,111
Fiesta de la Cerveza,45,112
Semana de los Niños,46,113
Feria de la Luna Negra,47,114
Festividad de los Muertos,48,115
Espectáculo de fuegos artificiales,49,116
Halloween,50,117
Festival de la Cosecha,51,118
Amor en el aire,52,119
Festival Lunar,53,120
Festival del Fuego del Solsticio de Verano,54,121
Jardín Noble,55,122
Generosidad del Peregrino,56,123
Día de los Piratas,57,124
El festín del Festival de Invierno,58,125
Otros,59,126
Atrevidos,60,141
Informales,61,142
Entrañables,62,143
Lindos,63,144
Elegantes,64,145
Sílfides,65,146
Viles,66,147
Fastuosos,67,148
Claros,68,149
Mecánicos,69,150
Naturaleza,70,151
Piratas,71,152
Románticos,72,153
Sencillos,73,154
Siniestros,74,155
Vacío,75,156
Vrykul,76,157
Fantasiosos,77,158
Alianza,78,159
Horda,79,160
Primavera,80,161
Verano,81,162
Otoño,82,163
Invierno,83,164
ruta camino,84,202
alfombra alfombras,85,201
taza tazas jarra jarras jarro pichel,86,196
cubertería vajilla utensilio tenedor cuchara cuchillo,87,198
bebida bebidas brebaje brebajes,88,195
comida almuerzo festín aperitivo,89,194
cocina,90,199
bandeja plato platos,91,197
libro libros tomo tomos,92,190
jarrones jarrón,93,189
arte obra de arte cuadro lienzo,94,192
agua estanque,95,236
silla sillas,96,177
sillón sillones sofá sofás,97,178
vitrina vitrinas,98,185
estantería estanterías colocación,99,184
mostrador mostradores encimera encimeras,100,182
escritorio escritorios,101,181
mesa mesas,102,180
maniquí maniquíes,103,224
cocinar cocina horno hornillo parrilla grill,104,222
artesanía fabricación fabricado profesión,105,221
columna columnas pilar pilares poste,106,208
verja verjas valla,107,209
separación separaciones muro muros,108,207
Toscos,109,70
Populares,110,71
Opulentos,111,72
Festivos/eventos,112,73
Mágicos,113,458
Dracthyr,114,484
