Name_lang,Filename,Name_male_lang,Name_female_lang,PetNameToken,Description_lang,RoleInfoString_lang,DisabledString_lang,Hyphenated_name_male_lang,Hyphenated_name_female_lang,CreateScreenFileDataID,SelectScreenFileDataID,IconFileDataID,LowResScreenFileDataID,Flags,StartingLevel,SpellTextureBlobFileDataID,ArmorTypeMask,Field_9_0_1_34490_018,MaleCharacterCreationVisualFallback,MaleCharacterCreationIdleVisualFallback,FemaleCharacterCreationVisualFallback,FemaleCharacterCreationIdleVisualFallback,CharacterCreationIdleGroundVisualFallback,CharacterCreationGroundVisualFallback,AlteredFormCharacterCreationIdleVisualFallback,CharacterCreationAnimLoopWaitTimeMsFallback,CinematicSequenceID,DefaultSpec,ID,HasStrengthAttackBonus,PrimaryStatPriority,DisplayPower,RangedAttackPowerPerAgility,AttackPowerPerAgility,AttackPowerPerStrength,SpellClassSet,ClassColorR,ClassColorG,ClassColorB,RolesMask,DamageBonusStat,HasRelicSlot
Guerrero,WARRIOR,Guerrero,Guerrera,PET,"Los guerreros visten placas y buscan la perfección en el combate armado. Al luchar generan ira, que sirve para acometer sus ataques especiales.",Funciones: |cffffffffTanque o daño cuerpo a cuerpo|r,Debes elegir una raza diferente para ser de esta clase.,Guerrero,Guerrera,0,0,626008,0,169010,1,791568,113,20774,128667,132581,0,0,0,0,133297,15000,0,71,1,1,5,1,0,0,1,4,198,155,109,10,0,0
Paladín,PALADIN,Paladín,Paladín,PET,"Los paladines, luchadores de armadura pesada, apelan a la magia Sagrada para sanar y combatir el mal. Pueden centrarse en armas de dos manos, escudos o sanación.","Funciones: |cffffffffTanque, sanador o daño cuerpo a cuerpo|r",Debes elegir una raza diferente para ser de esta clase.,Paladín,Paladín,0,0,626003,0,135226,1,791563,2289,20774,128833,132580,0,0,0,0,0,15000,0,70,2,1,4,0,0,0,1,10,244,140,186,14,0,1
Cazador,HUNTER,Cazador,Cazadora,PET,A los cazadores les gusta la naturaleza y sienten especial afinidad por las bestias. Infligen daño con armas y con su mascota.,Funciones: |cffffffffDaño a distancia o daño cuerpo a cuerpo|r,Debes elegir una raza diferente para ser de esta clase.,Cazador,Cazadora,0,0,626000,0,33174,1,791560,41,20771,128903,132586,0,0,0,133832,133292,15000,0,253,3,1,2,2,1,1,0,9,170,211,114,8,1,0
Pícaro,ROGUE,Pícaro,Pícara,PET,"Los pícaros ejercen de asesinos o exploradores, aunque otros van por libre. A menudo, se acercan con sigilo a sus enemigos o los atacan por la espalda para acabar con ellos rápidamente.",Función: |cffffffffDaño cuerpo a cuerpo|r,Debes elegir una raza diferente para ser de esta clase.,Pícaro,Pícara,0,0,626005,0,167938,1,791565,37,20776,129018,132578,0,0,0,133289,133293,15000,0,259,4,1,3,3,1,1,0,8,255,244,104,8,1,0
Sacerdote,PRIEST,Sacerdote,Sacerdotisa,PET,"Los sacerdotes son sanadores muy versátiles. No obstante, pueden sacrificar la sanación para infligir daño con magia de las Sombras.",Funciones: |cffffffffSanador o daño a distancia|r,Debes elegir una raza diferente para ser de esta clase.,Sacerdote,Sacerdotisa,0,0,626004,0,2,1,791564,35,20775,129129,132579,0,0,0,134409,133296,15000,0,256,5,0,0,0,0,0,0,6,255,255,255,12,0,0
Caballero de la Muerte,DEATHKNIGHT,Caballero de la Muerte,Caballero de la Muerte,PET,Los caballeros de la Muerte son una clase héroe y comienzan con un nivel más alto. Estos héroes cuerpo a cuerpo destacan en el uso de enfermedades y magia oscura.,Funciones: |cffffffffTanque o daño cuerpo a cuerpo|r,Para crear un caballero de la Muerte con la raza seleccionada se requiere la compra de Shadowlands.,Caballero de la Muerte,Caballero de la Muerte,236082,236082,135771,1560617,189562,8,791558,3121,20769,128790,132590,0,0,0,131787,133291,20000,165,251,6,1,5,6,0,0,1,15,196,30,58,10,9,0
Chamán,SHAMAN,Chamán,Chamán,PET,"Los chamanes emplean el poder de los elementos para mejorar su daño con armas o hechizos. En combate invocan tótems: objetos que incapacitan a los enemigos, sanan, o infligen daño.","Funciones: |cffffffffSanador, daño a distancia o daño cuerpo a cuerpo|r",Debes elegir una raza diferente para ser de esta clase.,Chamán,Chamán,0,0,626006,0,294938,1,791566,2665,20777,128753,132575,0,0,0,0,0,25000,0,262,7,1,0,0,0,1,0,11,0,112,221,12,1,1
Mago,MAGE,Mago,Maga,PET,Los magos son icónicos hechiceros de Azeroth que aprenden mediante investigación y estudio exhaustivos. Compensan su armadura ligera con un potente conjunto de hechizos ofensivos y defensivos.,Función: |cffffffffDaño a distancia|r,Debes elegir una raza diferente para ser de esta clase.,Mago,Maga,0,0,626001,0,4098,1,791561,35,20772,128789,132585,0,0,0,133322,133295,15000,0,62,8,0,0,0,0,0,0,3,63,199,235,8,0,0
Brujo,WARLOCK,Brujo,Bruja,DEMON,"Los brujos lanzan magia de Fuego o de las Sombras para dañar, drenar o maldecir al enemigo. Invocan a demonios como siervos.",Función: |cffffffffDaño a distancia|r,Debes elegir una raza diferente para ser de esta clase.,Brujo,Bruja,0,0,626007,0,134,1,791567,35,20778,129054,132568,0,0,0,133661,133290,15000,0,265,9,0,0,0,0,0,0,5,135,136,238,8,0,0
Monje,MONK,Monje,Monje,PET,Los monjes son célebres combatientes cuerpo a cuerpo: son tan eficaces con sus pies y puños como con sus armas. Se pueden especializar en invocar el poder restaurador de la niebla para sanar a sus aliados.,"Funciones: |cffffffffTanque, sanador o daño cuerpo a cuerpo|r",Requiere Mists of Pandaria,Monje,Monje,0,0,626002,0,165378,1,791562,37,20773,129344,132583,0,0,0,0,0,15000,0,268,10,1,2,3,0,1,0,53,0,255,152,14,0,0
Druida,DRUID,Druida,Druida,PET,"Los druidas cambian de forma y sienten afinidad por el reino animal y vegetal. Pueden especializarse en sanar, en lanzar hechizos a distancia o en adoptar la forma felina o de oso para luchar cuerpo a cuerpo.","Funciones: |cffffffffTanque, sanador, daño a distancia o daño cuerpo a cuerpo|r",Debes elegir una raza diferente para ser de esta clase.,Druida,Druida,0,0,625999,0,294922,1,791559,2341,20770,129374,132588,0,0,0,133404,133294,15000,0,102,11,0,0,0,0,1,0,7,255,124,10,14,0,1
Cazador de demonios,DEMONHUNTER,Cazador de demonios,Cazadora de demonios,PET,Los cazadores de demonios son una clase héroe y comienzan con un nivel más alto. Son exiliados oscuros que usan magia demoníaca prohibida para cazar y matar a sus enemigos.,Funciones: |cffffffffTanque o daño cuerpo a cuerpo|r,Requiere Legion y un personaje de nivel 70.,Cazador de demonios,Cazadora de demonios,1305036,1305036,1260827,1560446,2146379,8,1004940,37,20780,129051,132589,0,0,0,0,0,15000,0,577,12,1,3,17,0,1,0,107,163,48,201,10,0,0
Evocador,EVOKER,Evocador,Evocadora,PET,Los evocadores son una clase héroe y comienzan con un nivel más alto. Son taumaturgos innatos que lanzan devastadores hechizos dracónicos sobre sus enemigos o magia sanadora sobre sus aliados.,Funciones: |cffffffffSanador o daño a distancia|r,Requiere Dragonflight y un personaje de nivel 60.,Evocador,Evocadora,0,0,4574311,0,1589314,1,4611043,41,0,160474,160475,0,0,0,0,160505,15000,0,1465,13,1,0,0,0,1,0,224,51,147,127,12,0,0
Aventurero,Adventurer,Aventurero,Adventurer,PET,,,,Aventurero,Aventurera,0,0,0,0,2197554,1,791568,0,21120,132938,132938,0,0,0,0,132938,15000,0,1470,14,1,4,3,1,0,1,227,170,211,114,0,0,0
Trotamundos,TRAVELER,Trotamundos,Trotamundos,PET,,,,Trotamundos,Trotamundos,0,0,0,0,2197554,1,791568,63,21120,132938,132938,0,0,0,0,132938,15000,0,0,15,1,4,0,0,0,1,237,102,153,153,14,0,0
