ID,ContainerName_lang,ContainerDescription_lang,MinAmount,MaxAmount,ContainerIconID,ContainerQuality,OnLootSpellVisualKitID,CurrencyTypeID
12,Astilla de azerita diminuta,Otorga %d p. de poder de artefacto a tu Corazón de Azeroth.,1,49,2065629,2,101693,1553
13,Fragmento de azerita pequeño,Otorga %d p. de poder de artefacto a tu Corazón de Azeroth.,50,99,2065623,2,101693,1553
14,Esquirla de azerita pequeña,Otorga %d p. de poder de artefacto a tu Corazón de Azeroth.,100,149,2065624,2,101693,1553
15,Montón de azerita pequeño,Otorga %d p. de poder de artefacto a tu Corazón de Azeroth.,150,199,2065622,2,101693,1553
16,Cristal de azerita resplandeciente,Otorga %d p. de poder de artefacto a tu Corazón de Azeroth.,200,299,2065586,3,101692,1553
17,Azerita resplandeciente,Otorga %d p. de poder de artefacto a tu Corazón de Azeroth.,300,399,2065611,3,101692,1553
18,Geoda de azerita resplandeciente,Otorga %d p. de poder de artefacto a tu Corazón de Azeroth.,400,499,2065610,3,101692,1553
19,Fragmento de azerita radiante,Otorga %d p. de poder de artefacto a tu Corazón de Azeroth.,500,749,2065617,4,101486,1553
20,Núcleo de azerita radiante,Otorga %d p. de poder de artefacto a tu Corazón de Azeroth.,750,999,2065616,4,101486,1553
21,Matriz de azerita radiante,Otorga %d p. de poder de artefacto a tu Corazón de Azeroth.,1000,1999,2065619,4,101486,1553
31,Corazón de azerita zumbante,Otorga %d p. de poder de artefacto a tu Corazón de Azeroth.,2000,30000000,2065618,4,101486,1553
132,Mención de honor de la Séptima Legión,Otorga %d p. de reputación con la Séptima Legión.,1,199,2065569,2,0,1599
133,Mención de honor de los Campeones de Azeroth,Otorga %d p. de reputación con los Campeones de Azeroth.,1,299,2065570,2,0,1579
134,Mención de honor de los Defensores del Honor,Otorga %d p. de reputación con los Defensores del Honor.,1,199,2065571,2,0,1600
135,Mención de honor de la Orden de Ascuas,Otorga %d p. de reputación con la Orden de Ascuas.,1,199,2065572,2,0,1592
136,Mención de honor del Almirantazgo de la Casa Valiente,Otorga %d p. de reputación con el Almirantazgo de la Casa Valiente.,1,199,2065573,2,0,1593
137,Mención de honor del Despertar de la Tormenta,Otorga %d p. de reputación con el Despertar de la Tormenta.,1,199,2065574,2,0,1594
138,Mención de honor de los Buscadores Tortolianos,Otorga %d p. de reputación con los Buscadores Tortolianos.,1,299,2065576,2,0,1598
139,Mención de honor del Imperio Zandalari,Otorga %d p. de reputación con el Imperio Zandalari.,1,199,2065579,2,0,1597
140,Mención de honor de la Expedición de Talanji,Otorga %d p. de reputación con la Expedición de Talanji.,1,199,2065575,2,0,1595
141,Mención de honor de los Voldunai,Otorga %d p. de reputación con los Voldunai.,1,199,2065577,2,0,1596
142,Mención de honor de la Séptima Legión,Otorga %d p. de reputación con la Séptima Legión.,200,1000000,2065569,3,0,1599
143,Mención de honor de los Campeones de Azeroth,Otorga %d p. de reputación con los Campeones de Azeroth.,300,1000000,2065570,3,0,1579
144,Mención de honor de los Defensores del Honor,Otorga %d p. de reputación con los Defensores del Honor.,200,1000000,2065571,3,0,1600
145,Mención de honor de la Orden de Ascuas,Otorga %d p. de reputación con la Orden de Ascuas.,200,1000000,2065572,3,0,1592
146,Mención de honor de la Orden de Ascuas,Otorga %d p. de reputación con la Orden de Ascuas.,200,1000000,2065572,3,0,1592
147,Mención de honor del Almirantazgo de la Casa Valiente,Otorga %d p. de reputación con el Almirantazgo de la Casa Valiente.,200,1000000,2065573,3,0,1593
148,Mención de honor del Despertar de la Tormenta,Otorga %d p. de reputación con el Despertar de la Tormenta.,200,1000000,2065574,3,0,1594
149,Mención de honor de los Buscadores Tortolianos,Otorga %d p. de reputación con los Buscadores Tortolianos.,300,1000000,2065576,3,0,1598
150,Mención de honor del Imperio Zandalari,Otorga %d p. de reputación con el Imperio Zandalari.,200,1000000,2065579,3,0,1597
151,Mención de honor de la Expedición de Talanji,Otorga %d p. de reputación con la Expedición de Talanji.,200,1000000,2065575,3,0,1595
152,Mención de honor de los Voldunai,Otorga %d p. de reputación con los Voldunai.,200,1000000,2065577,3,0,1596
155,Mención de honor de los Ascendidos,Otorga %d p. de reputación con los Ascendidos.,1,1000000,3257748,3,0,1804
156,Mención de honor del Ejército Inmortal,Otorga %d p. de reputación con el Ejército Inmortal.,1,1000000,3492310,3,0,1805
157,Mención de honor de la Cacería Salvaje,Otorga %d p. de reputación con la Cacería Salvaje.,1,1000000,3575389,3,0,1806
158,Mención de honor de la Corte de los Cosechadores,Otorga %d p. de reputación con la Corte de los Cosechadores.,1,1000000,3514227,3,0,1807
159,Emblema de renombre,Aumenta %d p. tu renombre con tu curia.,0,0,3726261,5,0,1822
160,Prestigio de la Corte de Ascuas,Aumenta %d p. la reputación de la Corte de Ascuas.,1,1000000,3641397,3,0,1837
161,Carta de agradecimiento perfumada de la condesa,Aumenta %d p. tu amistad con la condesa.,1,1000000,1505932,3,0,1838
162,Nota de agradecimiento garabateada a toda prisa de Rendle,Aumenta %d p. tu amistad con Rendle y Caragarrote.,1,1000000,1505955,3,0,1839
163,Pergamino con una gran huella de pulgar de aprobación,Aumenta %d p. tu amistad con Cabeza Pétrea.,1,1000000,1505957,3,0,1840
164,10 tesis de Kassir sobre el disfrute en las fiestas,Aumenta %d p. tu amistad con el guardacriptas Kassir.,1,1000000,134331,3,0,1841
