ID,Name_lang,Flags,ExpansionID
1,Miscelánea,0,0
2,Jugador contra Jugador,0,0
3,No las uso,3,0
4,Clásico,0,0
21,Wrath of the Lich King,0,2
22,Mazmorra y banda,0,0
23,Burning Crusade,0,1
41,Prueba,0,0
81,Cataclysm,0,3
82,Arqueología,4,0
89,Meta,4,0
133,Mists of Pandaria,0,4
137,Warlords of Draenor,0,5
141,Legion,0,6
142,Hidden,4,0
143,Battle for Azeroth,0,7
144,Virtual,8,0
245,Shadowlands,0,8
246,Depurar,0,0
248,Torghast UI (Hidden),4,8
250,Dragonflight,0,9
251,Dragon Racing UI (Hidden),4,9
252,Colmillarr - Redes de pesca (oculto),4,9
