ID,Text_lang
2,"Aunque individualmente frágiles y poco inteligentes, los necrófagos sirven como carne de cañón a la Espada de Ébano, ya que abruman a sus enemigos por mera superioridad numérica."
3,"Frágiles pero flexibles, los geists pueden escalar muros verticales y trepar por superficies desiguales para cazar desprevenidas a sus víctimas."
4,"Alzados de su tumba por el Rey Exánime, los caballeros de Ébano solo tienen un propósito: matar o morir."
5,"Como curtidos veteranos que son, los devastadores de Ébano han sobrevivido a muchas guerras y aniquilado a montones de enemigos. Son el paradigma de los soldados más fieros de la Espada de Ébano."
6,"Tras su degeneración debida a la exposición a energías viles, los Tábidos Lengua de Ceniza aprendieron a esconderse y a sobrevivir en cualquier circunstancia. Luchan tanto en las sombras como al descubierto."
7,"En su día leal a lady Vashj y Kael'thas, la tribu naga Cicatriz Espiral ha entrenado a sus mirmidones para convertirlos en guerreros resistentes y temibles."
8,"Los cazadores de demonios Illidari adoptan el poder de los demonios, sacrificando sus rasgos élficos en el proceso, para aniquilar con más eficacia a las fuerzas de la Legión Ardiente."
9,"Los Illidari más avanzados adoptan completamente la forma y el poderío de los demonios, y se transforman en criaturas aladas y oscuras capaces de masacrar a sus enemigos."
10,"Cuando el bosque sufre una amenaza, los propios árboles cobran vida para defender su hogar."
11,"Afables y juguetonas en tiempos de paz, las dríades, hijas de Cenarius mitad elfas, mitad cervatillos, persiguen incansablemente a todos los que causan algún mal a la naturaleza."
12,"Maestros en el cambio de forma, los druidas de la Zarpa invocan el poder del oso para adoptar la forma de la bestia, y utilizar su fuerza y su resistencia para devastar a sus enemigos."
13,"Los vigilantes de la arboleda, de apariencia mitad elfo, mitad venado, y con garras semejantes a ramas de árbol, descienden del propio Cenarius y gozan de un inmenso poder sobre la naturaleza."
14,"Los arqueros, diestros con el arco y un apoyo crucial para la infantería, son unidades muy efectivas en grupo, cuando concentran sus flechas sobre un único objetivo o sobre un grupo de enemigos."
15,Los maestros tiradores de la Senda Oculta desarrollan sus habilidades de forma tan completa que son capaces de alcanzar a un enemigo con visibilidad reducida o nula.
16,"Por inclementes que sean los elementos o débil que resulte el rastro, los rastreadores ocultos son expertos en perseguir y liquidar a su presa."
17,"Aunque todos los cazadores son hábiles al aire libre, los abrecaminos viven entregados a ese estilo de vida. No solo sobreviven en la naturaleza por elección propia, sino que no tienen rival en el uso del terreno contra el enemigo."
18,"Aunque la mayor parte de los magos creen que los elementales son impredecibles, los magos Escarcha llevan siglos adoptando a los elementales de agua como sus familiares mágicos."
19,"Los gólems Arcanos cobran vida mediante una poderosa brujería. Forjados por expertos canteros y artesanos del metal, cuentan con la capacidad de defender a los magos mediante la fuerza brutal."
20,La Guardia de Tirisfal recluta solo a los taumaturgos de mayor talento como aprendices; sus recién llegados suelen ser más poderosos que los maestros de órdenes inferiores.
21,"Profesionales de élite de lo Arcano y de los elementos, los convocadores del Kirin Tor pueden alardear de un legado con nombres como Nielas Aran, padre de Medivh. Además, no tienen igual en las artes mágicas."
22,"""La fuerza física se desarrolla en el exterior, pero la entereza viene del interior"". —Wrathion"
23,"Los adeptos del buey, entrenados en un estilo de lucha que les permite durar más que la mayoría de sus rivales, han jurado proteger a los débiles con todo su poderío."
24,"Mediante determinación y resistencia, solo los monjes del buey más leales ascienden al estatus de maestros, a menudo tras afrontar una prueba contra sus mayores miedos y superarlos por completo."
25,"""La fuerza y el poder son tan distintos como el sol y la luna"". —Xuen, el Tigre Blanco"
26,"Entrenados para que sus golpes vuelen rápidos como relámpagos, los adeptos del tigre entienden que el control y la precisión temporal son cualidades más importantes que la intensidad de su acometida."
27,"Tan calmados como rápidos, los maestros de la senda del tigre dominan a la perfección la paciencia y el poder. Controlan su fuerza interior para ponerla al servicio de los demás."
28,"Aunque muchos escuderos de la Mano de Plata aspiran a ser caballeros algún día, otros muchos consideran un honor servir a alguien que se ha consagrado por completo a la Luz."
29,"Aunque la mayor parte de los paladines de la Mano de Plata se lanzan a la batalla a lomos de caballos de guerra, los portaescudos están especializados en el combate defensivo y forman un muro de protección impenetrable."
30,"Los caballeros de la Mano de Plata se consagran a la instrucción de combate con la misma diligencia que a sus oraciones diarias, con el fin de perfeccionar sus habilidades de batalla para defender a los débiles e inocentes."
31,"Los templarios de la Mano de Plata son tan habilidosos en combate como rectos en comportamiento. La fuerza con las armas y la pureza mental son imprescindibles, y solo los que poseen ambas cualidades pueden denominarse campeones."
32,"A menudo recién iniciados en su senda espiritual, los acólitos del Cónclave sienten un profundo deseo de aprender y reciben con entusiasmo cualquier tutelaje y tarea."
33,"Los dechados del Cónclave blanden la Luz con precisión y maestría. A lo largo de los años, se han labrado una reputación por su riguroso estudio e interpretación de los textos."
34,"Los zelotes del Cónclave, clérigos devotos que se someten a estrictos castigos físicos, como dolorosas autoflagelaciones, soportan de buen grado cualquier tormento con el fin de alcanzar la iluminación espiritual."
35,Los oscuros y secretos ritos de los zelotes oscuros llevan a los fieles practicantes al límite. Los que sobreviven son capaces de envolverse por completo en las sombras.
36,"Los Descoronados hacen uso de los bandidos, a menudo calificados de meros delincuentes, para que obtengan información y materiales mediante tácticas sigilosas e intimidatorias."
37,Los curtidos forajidos de la Hermandad Defias desafían a la nobleza corrupta y llevan pañuelos rojos que simbolizan la sangre derramada de los oprimidos.
38,"""¿Un ring de duelos, aquí? Bueno, si de todos modos van a apostar como degenerados, al menos se mantendrán en buena forma"". —Jorach Ravenholdt"
39,"Los bucaneros Velasangre luchan en tierra o mar, sobrios o ebrios. Solo con divisar sus velas carmesí en el horizonte, sus enemigos se rinden, antes siquiera del primer cañonazo."
40,"Los elementales inferiores, es decir, los de menor rango en su jerarquía, abruman a cualquier enemigo con su absoluta e infinita superioridad numérica."
41,"Solo los chamanes más poderosos pueden invocar y dar órdenes a un elemental superior; de lo contrario, este podría volverse contra su invocador y castigarlo por su arrogancia."
42,"""No hacen falta oídos para escuchar a la tierra, al igual que ella no necesita palabras para hablar"". —Clamatierras Yevaa"
43,"""Tus enemigos lo tienen muy difícil para vencerte cuando dominas el mismísimo suelo que pisan"". —Geomántica Jakara"
44,"Los expertos chamanes del aire actúan como conductos vivos para los elementos, envolviéndose en la furia de la tempestad al convertirse en ascendientes de aire."
45,"Imbuyendo sus cuerpos de fuego, los ascendientes de llamas se hacen uno con las brasas y carbonizan la carne de sus enemigos."
46,"Los ascendientes de agua, trascienden la carne y abrazan su elemento, por lo que controlan el poder versátil y purificador de los mares, con una fuerza tan profunda como el propio océano."
47,"Los diablillos, un bajo rango entre los demonios, suelen subestimarse por su poca resistencia, pero, en grupo, sustituyen rápidamente a los caídos, de modo que el verdadero peligro es lo difícil que resulta exterminarlos a todos."
48,"""No sé de dónde salieron. Estaba devastando a mis enemigos y, de pronto, esas bestezuelas me rodearon como un enjambre, mientras lanzaban descargas viles en todas direcciones"". —Lulubelle Chispobang"
49,"Los acólitos de la Cosecha Oscura están dispuestos a sacrificarlo todo por el conocimiento prohibido, incluso a matarse entre ellos. Muchos de los acólitos recién llegados aparecen sin vida tras rituales experimentales."
50,"No es común que los acólitos de la Cosecha Oscura alcancen el rango de convocador, ya que a menudo acaban consumidos por las energías oscuras que invocan durante su ascenso."
51,"""Los prisioneros vrykuls que hicimos miraban a sus camaradas caídos con una extraña tristeza. Como si envidiaran a los muertos"". —Rey Varian Wrynn"
52,Los Valarjar que demuestran su valía en el más allá reciben como recompensa cuerpos creados con metales puros y envueltos en relámpagos del cielo.
53,"Directas tanto en su disposición como en sus tácticas, las doncellas escuderas pretenden demostrar su valía en combate para que su nombre sea recordado eternamente en las Cámaras del Valor de Odyn."
54,"Las Valkyras escogen a las doncellas escuderas más valerosas para servir a Eyir, una vigía de los titanes. Si una doncella escudera Valkyra muere demostrando un gran valor, puede ser elegida para convertirse en una Val'kyr legendaria."
55,"El eco de Niuzao es fuerte e inexorable, capaz de resistir ante los enemigos más duros."
56,El eco de Chi-Ji restablece la moral de sus aliados con una bella canción que los insufla energía y determinación.
57,"El eco de Xuen encarna la ferocidad y la astucia del Tigre Celestial, e inflige daños increíbles en el campo de batalla."
58,"Mediante energías ya olvidadas de conflictos pasados, este guardián proporciona un vínculo con el lado brutal de la naturaleza, y el ciclo de la vida y la muerte que rige toda la creación."
