Description_lang,ID,DataTag
Minuscola,1,65
Piccola,2,66
Media,3,67
Grande,4,68
Enorme,5,69
Nanica,6,74
Nani Granmartello,7,75
Nani Barbabronzea (Forgiardente),8,76
Nani Ferroscuro,9,77
Terrigena (di Dorn),10,78
Umana,11,79
Roccavento,12,80
Kul Tirana,13,81
Gilneana/Worgen,14,82
Elfica,15,83
Elfi del Sangue,16,84
Elfi della Notte,17,85
Elfi del Vuoto,18,86
Nobili Oscuri,19,87
Tauren,20,88
Draenei,21,89
Orchesca,22,90
Goblin,23,91
Vulpera,24,92
Troll,25,93
Troll Lanciascura,26,94
Troll Zandalari,27,95
Non Morta,28,96
Gnomesca,29,97
Pandaren,30,98
Haranir,31,452
Classic,32,99
Burning Crusade,33,100
Wrath of the Lich King,34,101
Cataclysm,35,102
Mists of Pandaria,36,103
Warlords of Draenor,37,104
Legion,38,105
Battle for Azeroth,39,106
Shadowlands,40,107
Dragonflight,41,108
The War Within,42,109
Midnight,43,110
Anniversari di WoW,44,111
Festa della Birra,45,112
Settimana dei Bambini,46,113
Fiera di Lunacupa,47,114
Giorno dei Morti,48,115
Spettacolo Pirotecnico,49,116
Veglia delle Ombre,50,117
Sagra del Raccolto,51,118
Amore nell'Aria,52,119
Celebrazione della Luna,53,120
Fuochi di Mezza Estate,54,121
Festa di Nobiluova,55,122
Ringraziamento del Pellegrino,56,123
Giorno dei Pirati,57,124
Vigilia di Grande Inverno,58,125
Altro,59,126
Audace,60,141
Informale,61,142
Accogliente,62,143
Carino,63,144
Elegante,64,145
Fatato,65,146
Vile,66,147
Sontuoso,67,148
Luce,68,149
Meccanico,69,150
Natura,70,151
Pirata,71,152
Romantico,72,153
Semplice,73,154
Sinistro,74,155
Vuoto,75,156
Vrykul,76,157
Bizzarro,77,158
Alleanza,78,159
Orda,79,160
Primavera,80,161
Estate,81,162
Autunno,82,163
Inverno,83,164
via sentiero,84,202
tappeto tappeti,85,201
coppa coppe tazza tazze boccale stein,86,196
posate argenteria stoviglie forchetta cucchiaio coltello,87,198
bibita bibite bevanda bevande,88,195
cibo pasto banchetto spuntino,89,194
cucina,90,199
portata piatto piatti,91,197
libro libri tomo tomi,92,190
vasi vaso,93,189
arte opera d'arte dipinto tela,94,192
acqua stagno,95,236
sedia sedie,96,177
divano divani sofà,97,178
mobiletto mobiletti,98,185
mensola mensole scaffalatura,99,184
top bancone banconi ripiano ripiani,100,182
scrivania scrivanie,101,181
tavolo tavoli,102,180
manichino manichini,103,224
cucinare forno fornello piano cottura griglia,104,222
artigianato artigianale creato professione,105,221
colonna colonne pilastro pilastri palo,106,208
recinto recinti recinzione cancello,107,209
divisione divisioni muro muri parete pareti,108,207
Rustico,109,70
Folcloristico,110,71
Opulento,111,72
Festività/Evento,112,73
Magico,113,458
Dracthyr,114,484
