ID,ClassSpec_lang,ClassSpec_Male_lang,ClassSpec_Female_lang,UiTextureAtlasMemberID,GarrFollItemSetID,FollowerClassLimit,Flags
2,Cavalieri della Morte (Sangue),Cavaliere della Morte (Sangue),Cavaliere della Morte (Sangue),3487,6,0,0
3,Cavalieri della Morte (Gelo),Cavaliere della Morte (Gelo),Cavaliere della Morte (Gelo),3487,7,0,0
4,Cavalieri della Morte (Empietà),Cavaliere della Morte (Empietà),Cavaliere della Morte (Empietà),3487,8,0,0
5,Druidi (Equilibrio),Druido (Equilibrio),Druida (Equilibrio),3485,9,0,0
7,Druidi (Aggressore Ferino),Druido (Aggressore Ferino),Druida (Aggressore Ferino),3485,10,0,0
8,Druidi (Guardiano Ferino),Druido (Guardiani Ferini),Druida (Guardiano Ferino),3485,11,0,0
9,Druidi (Rigenerazione),Druido (Rigenerazione),Druida (Rigenerazione),3485,12,0,0
10,Cacciatori (Affinità Animale),Cacciatore (Affinità Animale),Cacciatrice (Affinità Animale),3477,13,0,0
12,Cacciatori (Precisione di Tiro),Cacciatore (Precisione di Tiro),Cacciatrice (Precisione di Tiro),3477,14,0,0
13,Cacciatori (Sopravvivenza),Cacciatore (Sopravvivenza),Cacciatrice (Sopravvivenza),3477,15,0,0
14,Maghi (Arcano),Mago (Arcano),Maga (Arcano),3482,16,0,0
15,Maghi (Fuoco),Mago (Fuoco),Maga (Fuoco),3482,17,0,0
16,Maghi (Gelo),Mago (Gelo),Maga (Gelo),3482,18,0,0
17,Monaci (Mastro Birraio),Monaco (Mastro Birraio),Monaca (Mastro Birraio),3480,19,0,0
18,Monaci (Misticismo),Monaco (Misticismo),Monaca (Misticismo),3480,20,0,0
19,Monaci (Impeto),Monaco (Impeto),Monaca (Impeto),3480,21,0,0
20,Paladini (Sacro),Paladino (Sacro),Paladina (Sacro),3486,22,0,0
21,Paladini (Protezione),Paladino (Protezione),Paladina (Protezione),3486,23,0,0
22,Paladini (Castigo),Paladino (Castigo),Paladina (Castigo),3486,24,0,0
23,Sacerdoti (Disciplina),Sacerdote (Disciplina),Sacerdotessa (Disciplina),3479,25,0,0
24,Sacerdoti (Sacro),Sacerdote (Sacro),Sacerdotessa (Sacro),3479,26,0,0
25,Sacerdoti (Ombra),Sacerdote (Ombra),Sacerdotessa (Ombra),3479,27,0,0
26,Ladri (Assassinio),Ladro (Assassinio),Ladra (Assassinio),3481,28,0,0
27,Ladri (Combattimento),Ladro (Combattimento),Ladra (Combattimento),3481,29,0,0
28,Ladri (Scaltrezza),Ladro (Scaltrezza),Ladra (Scaltrezza),3481,30,0,0
29,Sciamani (Elementale),Sciamano (Elementale),Sciamana (Elementale),3484,31,0,0
30,Sciamani (Potenziamento),Sciamano (Potenziamento),Sciamana (Potenziamento),3484,32,0,0
31,Sciamani (Rigenerazione),Sciamano (Rigenerazione),Sciamana (Rigenerazione),3484,33,0,0
32,Stregoni (Afflizione),Stregone (Afflizione),Strega (Afflizione),3483,34,0,0
33,Stregoni (Demonologia),Stregone (Demonologia),Strega (Demonologia),3483,35,0,0
34,Stregoni (Distruzione),Stregone (Distruzione),Strega (Distruzione),3483,36,0,0
35,Guerrieri (Armi),Guerriero (Armi),Guerriera (Armi),3478,37,0,0
