Money,Title_lang,Description_lang,ID,DecorID,DecorQuantity,Field_12_0_0_63534_006,Favor,RewardQuestID
50,tiger test reward [DNT],,1,0,0,0,0,0
0,Traguardo 1,Nuovi oggetti sbloccati presso i Mercanti delle Iniziative,2,0,0,0,0,0
0,Traguardo 2,Nuovi oggetti sbloccati presso i Mercanti delle Iniziative,3,0,0,0,0,0
0,Traguardo 3,Nuovi oggetti sbloccati presso i Mercanti delle Iniziative,4,0,0,0,0,0
0,Ricompensa per il completamento dell'Iniziativa,,5,0,0,0,0,93262
0,Ricompensa per il completamento dell'Iniziativa,,21,0,0,0,0,93262
0,Ricompensa per il completamento dell'Iniziativa,,22,0,0,0,0,93262
0,Ricompensa per il completamento dell'Iniziativa,,23,0,0,0,0,93262
0,Ricompensa per il completamento dell'Iniziativa,,24,0,0,0,0,93262
0,Ricompensa per il completamento dell'Iniziativa,,25,0,0,0,0,93262
0,Ricompensa per il completamento dell'Iniziativa,,26,0,0,0,0,93262
0,Ricompensa per il completamento dell'Iniziativa,,27,0,0,0,0,93262
0,Ricompensa per il completamento dell'Iniziativa,,28,0,0,0,0,93262
0,Ricompensa per il completamento dell'Iniziativa,,29,0,0,0,0,93262
