Name_lang,ID,Flags,UiTextureKitID,UiTextureKitElementCount,LearningCurveID
Orchesco,1,0,0,0,0
Darnassiano,2,0,0,0,0
Taurino,3,0,0,0,0
Nanico,6,0,0,0,0
Comune,7,0,0,0,0
Demoniaco,8,0,0,0,0
Titanico,9,0,0,0,0
Thalassiano,10,0,0,0,0
Draconico,11,0,0,0,0
Kalimag,12,0,0,0,0
Gnomesco,13,0,0,0,0
Zandali,14,0,0,0,0
Non Morto,33,0,0,0,0
Draenei,35,0,0,0,0
Zombi,36,0,0,0,0
Binario Gnomesco,37,0,0,0,0
Binario Goblin,38,0,0,0,0
Gilneano,39,0,0,0,0
Goblin,40,0,0,0,0
Pandaren,42,0,0,0,0
Pandaren,43,0,0,0,0
Pandaren,44,0,0,0,0
Follettiano,168,0,0,0,0
Shath'yar,178,0,0,0,0
Nergliano,179,0,0,0,0
Lunagufo,180,0,0,0,0
Shalassiano,181,0,0,0,0
Thalassiano,182,0,0,0,0
Vulpera,285,0,0,0,0
Codice Complesso,287,0,0,0,0
Codice Base,288,0,0,0,0
Metriale,290,7,5410,36,0
Altoniano,291,7,5410,36,0
Sopraniano,292,7,5410,36,0
Aealico,293,7,5410,36,0
Dealico,294,7,5410,36,0
Trebelime,295,7,5410,36,0
Bassalime,296,7,5410,36,0
Lingue Incorporate,297,2,0,0,0
Inconoscibile,298,7,5410,36,0
Mezzorso,303,1,5508,36,62550
Terrigeno,304,1,0,36,69564
Nerubiano,307,0,0,0,0
Lingue di Sanctuarium,308,0,0,0,0
