ID,Name_lang,GameType_lang,ShortDescription_lang,LongDescription_lang,PvpType,MinLevel,MaxLevel,RatedPlayers,MinPlayers,MaxPlayers,GroupsAllowed,MaxGroupSize,HolidayWorldState,Flags,IconFileDataID,Required_Player_Condition_ID
1,Valle d'Alterac,Campo di battaglia epico,,,0,20,80,25,10,40,1,5,1941,152,136324,0
2,Forra dei Cantaguerra Classica,Cattura la bandiera,,,0,0,0,10,5,10,1,5,1942,0,136365,0
3,Bacino d'Arathi Classico,Dominio,,,0,0,0,10,8,15,1,5,1943,0,136322,0
4,Arena di Nagrand (Vecchia Mappa),,,,1,0,0,5,0,5,1,5,0,1,460867,5793
5,Arena di Spinaguzza,,,,1,0,0,5,0,5,1,5,0,1,460861,0
6,Tutte le Arene,,,,1,20,80,5,0,5,1,3,0,8,525915,0
7,Occhio del Ciclone,Dominio,,,0,20,80,15,8,15,1,5,2851,24,525912,0
8,Rovine di Lordaeron,,,,1,10,80,5,0,5,1,5,0,8,460869,0
9,Lido degli Antichi,Assedio,,,0,10,60,15,8,15,1,5,3695,1,460870,0
10,Fogne di Dalaran,,,,1,10,80,5,0,5,1,5,0,8,460862,0
11,Arena del Valore,,,,1,0,0,5,0,5,1,5,0,0,460868,0
30,Isola della Conquista,Campo di battaglia epico,,,0,20,80,25,10,40,1,5,4273,152,311222,0
32,Campo di battaglia casuale,,,,0,10,80,25,5,10,1,5,0,0,525915,0
100,CdB classificato,,,,0,50,80,10,5,10,1,10,0,2,0,0
101,CdB classificato,,,,0,50,60,15,8,15,1,15,0,2,0,0
102,CdB classificato,,,,0,50,80,6,4,6,1,6,0,2,0,0
108,Picchi Gemelli,Cattura la bandiera,,,0,30,80,10,5,10,1,5,5361,24,525913,0
120,Battaglia per Gilneas,Dominio,,,0,20,80,10,3,10,1,5,5360,24,460871,0
656,Occhio del Ciclone classificato,,,,0,50,80,10,5,10,1,5,2851,10,0,0
699,Tempio di Kotmogu,Globi del Potere,,,0,40,80,10,2,10,1,5,6306,24,791651,0
706,CLB3,,,,0,0,0,10,5,10,1,5,6408,1,0,0
708,Miniere di Cupargento,Difendi il carico,,,0,30,80,10,5,10,1,5,6436,24,791650,0
719,Arena Tol'viron,,,,1,10,80,5,0,5,1,5,0,8,791652,0
754,Scavi di Ventotetro (Passati),Dominio,,,0,40,70,10,8,15,1,5,7671,8,875925,0
757,Picco della Tigre,,,,1,10,80,5,0,5,1,5,0,8,875926,0
789,Riva del Sud contro Mulino di Tarren,Rissa,,,0,50,80,0,10,40,1,5,0,32,0,0
803,Picco della Tigre,Vario,,,0,0,0,5,0,5,1,5,0,1,0,0
808,Arena del Forte Corvonero,,,,1,10,80,5,0,5,1,5,0,8,1389174,0
809,Arena di Nagrand,,,,1,10,80,5,0,5,1,5,0,8,460867,0
816,Caduta di Grigiomanto,,,,1,10,80,5,0,5,1,5,0,8,1389175,0
844,Arena di Spinaguzza,,,,1,10,80,5,0,5,1,5,0,8,460861,0
846,Battaglia per Gilneas (Vecchia Mappa),Rissa,,,0,0,0,10,5,10,1,5,0,33,460871,0
847,Inverno del Bacino d'Arathi,Rissa,,,0,50,80,10,8,15,1,5,0,32,136322,0
848,Bacino d'Arathi - Prova IA,,,,0,0,0,10,8,15,1,15,12812,1,0,0
849,Schiacciate a Ventotetro,Rissa,,,0,50,80,10,8,15,1,5,0,32,875925,0
853,Resa dei Conti degli Shandaren,Rissa,,,0,50,80,5,0,5,1,5,0,96,0,0
