Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,RewardItemID,Criteria_tree,Shares_criteria,CovenantID,HiddenBeforeDisplaySeason,LegacyAfterTimeEvent
Raggiungi il livello 10.,Livello 10,,6,-1,-1,0,92,0,10,2097156,11,236562,0,2050,0,0,0,0
Raggiungi il livello 20.,Livello 20,,7,-1,-1,6,92,0,10,2097156,12,236563,0,2683,0,0,0,0
Raggiungi il livello 30.,Livello 30,,8,-1,-1,7,92,0,10,2097156,14,236564,0,1289,0,0,0,0
Raggiungi il livello 40.,Livello 40,,9,-1,-1,8,92,0,10,2097156,15,236565,0,942,0,0,0,0
Raggiungi il livello 50 prima dell'espansione Shadowlands.,Livello 50 (Classico),,10,-1,-1,0,15446,0,0,2103300,1,236566,0,0,0,0,0,0
Raggiungi il livello 60 prima dell'espansione Shadowlands.,Livello 60 (Classico),,11,-1,-1,10,15446,0,0,2103300,2,236567,0,0,0,0,0,0
Raggiungi il livello 70 prima dell'espansione Shadowlands.,Livello 70 (Classico),,12,-1,-1,11,15446,0,0,2103300,3,236568,0,0,0,0,0,0
Raggiungi il livello 80 prima dell'espansione Shadowlands.,Livello 80 (Classico),,13,-1,-1,12,15446,0,0,2103300,4,236569,0,0,0,0,0,0
Ottieni 15 mascotte uniche.,Un sacco di amichetti,,15,-1,-1,1017,15118,0,10,131072,5,132599,0,22152,0,0,0,0
Hai portato a 400 la tua competenza in mani nude.,Assaggia le mie mani giganti!,,16,-1,-1,0,15446,0,0,2048,30,132356,0,6318,0,0,0,0
Completa una missione giornaliera per cinque giorni consecutivi.,Sono un abitudinario...,,31,-1,-1,0,96,0,10,131072,25,236680,0,2807,0,0,0,0
Completa 2.000 missioni.,2.000 missioni completate,,32,-1,-1,508,96,0,10,131072,8,236670,0,2810,0,0,0,0
Completa i gruppi di missioni della Tundra Boreale elencati qui sotto.,Divertimento boreale,,33,-1,1,0,14863,0,10,131072,2,236728,0,1741,0,0,0,0
Completa i gruppi di missioni del Fiordo Echeggiante elencati qui sotto.,Turista per fiordi,,34,-1,1,0,14863,0,10,131072,6,236787,0,5287,0,0,0,0
Completa i gruppi di missioni di Dracombra elencati qui sotto.,All'ombra di Dracombra,,35,-1,1,0,14863,0,10,131072,10,236749,0,1745,0,0,0,0
Completa i gruppi di missioni di Zul'drak elencati qui sotto.,L'impero di Zul'drak,,36,-1,-1,0,14863,0,10,131072,17,236862,0,1881,0,0,0,0
Completa i gruppi di missioni dei Colli Bradi elencati qui sotto.,Stato brado,,37,-1,1,0,14863,0,10,131072,14,236772,0,5284,0,0,0,0
Completa i gruppi di missioni delle Cime Tempestose elencati qui sotto.,In cima alle vette,,38,-1,-1,0,14863,0,10,131072,22,236838,0,1884,0,0,0,0
Completa i gruppi di missioni del Bacino di Sholazar elencati qui sotto.,Smuovi il bacino,,39,-1,-1,0,14863,0,10,131072,20,236823,0,1887,0,0,0,0
Completa i gruppi di missioni della Corona di Ghiaccio elencati qui sotto.,Corona di Ghiaccio: obiettivo finale,,40,-1,-1,0,14863,0,10,131072,23,236799,0,3375,0,0,0,0
Compi le imprese delle missioni di Nordania elencate qui sotto.,Storico di Nordania,,41,-1,-1,0,14863,0,10,131072,33,236812,0,5756,0,0,0,0
Esplora le regioni dei Regni Orientali.,Esploratore dei Regni Orientali,,42,-1,-1,0,97,0,25,131072,1,236759,0,2402,0,0,0,0
Esplora le regioni di Kalimdor.,Esploratore di Kalimdor,,43,-1,-1,0,97,0,25,131072,2,236807,0,3317,0,0,0,0
Esplora le regioni delle Terre Esterne.,Esploratore delle Terre Esterne,,44,-1,-1,0,97,0,25,131072,3,236813,0,3340,0,0,0,0
Esplora le regioni di Nordania.,Esploratore di Nordania,Ricompensa: Insegna dell'Esploratore,45,-1,-1,0,97,0,25,131072,4,236812,0,12064,0,0,0,0
"Esplora i Regni Orientali, Kalimdor, le Terre Esterne, Nordania, le aree rivelate dal Cataclisma, Pandaria, Draenor, le Isole Disperse, Kul Tiras e Zandalar.",Esploratore universale,"Ricompensa: titolo ""l'Esploratore""",46,-1,-1,0,97,0,50,131072,13,237381,0,3257,0,0,0,0
Vittorie nella Valle d'Alterac,Vittorie nella Valle d'Alterac,,49,30,-1,0,153,0,0,1,6,136243,0,15889,0,0,0,0
Vittorie nell'Occhio del Ciclone,Vittorie nell'Occhio del Ciclone,,50,566,-1,0,153,0,0,1,13,136243,0,9109,0,0,0,0
