ID,ClientPrefix,ClientFileString,Name_lang,Name_female_lang,Name_lowercase_lang,Name_female_lowercase_lang,Lore_name_lang,Lore_name_female_lang,Lore_name_lower_lang,Lore_name_lower_female_lang,LoreDescription_lang,Short_name_lang,Short_name_female_lang,Short_name_lower_lang,Short_name_lower_female_lang,Flags,FactionID,CinematicSequenceID,ResSicknessSpellID,SplashSoundID,CreateScreenFileDataID,SelectScreenFileDataID,LowResScreenFileDataID,AlteredFormStartVisualKitID[0],AlteredFormStartVisualKitID[1],AlteredFormStartVisualKitID[2],AlteredFormFinishVisualKitID[0],AlteredFormFinishVisualKitID[1],AlteredFormFinishVisualKitID[2],HeritageArmorAchievementID,StartingLevel,UiDisplayOrder,PlayableRaceBit,TransmogrifyDisabledSlotMask,AlteredFormCustomizeOffsetFallback[0],AlteredFormCustomizeOffsetFallback[1],AlteredFormCustomizeOffsetFallback[2],AlteredFormCustomizeRotationFallback,Field_9_1_0_38312_030[0],Field_9_1_0_38312_030[1],Field_9_1_0_38312_030[2],Field_9_1_0_38312_031[0],Field_9_1_0_38312_031[1],Field_9_1_0_38312_031[2],BaseLanguage,CreatureType,Alliance,Race_related,UnalteredVisualRaceID,DefaultClassID,NeutralRaceID,MaleModelFallbackRaceID,MaleModelFallbackSex,FemaleModelFallbackRaceID,FemaleModelFallbackSex,MaleTextureFallbackRaceID,MaleTextureFallbackSex,FemaleTextureFallbackRaceID,FemaleTextureFallbackSex,HelmetAnimScalingRaceID,UnalteredVisualCustomizationRaceID
1,Hu,Human,Umano,Umana,Umano,Umana,Umano,,Umano,,I nobili Umani di Roccavento sono la prima linea dell'Alleanza contro i nemici di Azeroth.,Umano,,Umano,,6292620,1,81,15007,1096,623712,131948,651555,0,0,0,47268,47268,47268,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,2,0,1,0,0,-1,0,-1,0,-1,0,3,0,0
2,Or,Orc,Orco,Orchessa,Orco,Orchessa,Orco,,Orco,,"I potenti Orchi sono giunti su Azeroth da conquistatori, ma ora lottano per rivendicare il loro antico onore e le loro tradizioni.",Orco,,Orco,,6291596,2,21,15007,1096,623714,132003,651558,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.077,0,0,0.07,0,1,7,1,1,0,1,0,0,-1,0,-1,0,-1,0,-1,0,0
3,Dw,Dwarf,Nano,Nana,Nano,Nana,Nano,,Nano,,I robusti Nani di Forgiardente sono famosi esploratori che approfondiscono gli antichi segreti del mondo.,Nano,,Nano,,6291596,3,41,15007,1090,623712,131940,651555,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,7,7,0,8,0,3,0,0,-1,0,-1,0,-1,0,-1,0,0
4,Ni,NightElf,Elfo della Notte,Elfa della Notte,Elfo della Notte,Elfa della Notte,Kaldorei,,Kaldorei,,I mistici Elfi della Notte difendono la natura di Azeroth da chiunque voglia farle del male.,Elfo,,Elfo,,6291588,4,61,15007,1096,623712,131993,651555,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,7,7,0,5,0,11,0,0,-1,0,-1,0,-1,0,-1,0,0
5,Sc,Scourge,Non Morto,Non Morta,Non Morto,Non Morta,Reietto,,Reietto,,"Risorti nella Non Morte, i Reietti hanno costruito un glorioso futuro dalle rovine di un oscuro passato.",Non Morto,,Non Morto,,6291596,5,2,15007,1096,623714,132035,651558,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.1,0,0,0.1,0,1,7,1,4,0,9,0,0,-1,0,-1,0,-1,0,-1,0,0
6,Ta,Tauren,Tauren,Tauren,Tauren,Tauren,Shu'halo,,shu'halo,,Gli imponenti Tauren servono la loro amata Madre Terra e proteggono l'equilibrio della natura.,Tauren,,Tauren,,6291590,6,141,15007,1096,623714,132046,651558,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0.085,0,0,0.085,0,1,7,1,7,0,7,0,0,-1,0,-1,0,-1,0,-1,0,0
7,Gn,Gnome,Gnomo,Gnoma,Gnomo,Gnoma,Gnomo,,Gnomo,,I minuti e ingegnosi Gnomi sono rinomati per aver creato innumerevoli meraviglie della tecnologia.,Gnomo,,Gnomo,,6291596,115,101,15007,1096,623712,430171,651555,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,7,7,0,6,0,9,0,0,-1,0,-1,0,-1,0,-1,0,0
8,Tr,Troll,Troll,Troll,Troll,Troll,Lanciascura,,Lanciascura,,"Cacciati dalla loro giungla natia dalle tribù rivali, i Troll Lanciascura hanno trovato degli alleati nella possente Orda.",Troll,,Troll,,6291598,116,121,15007,1096,623714,429097,651558,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0.095,0,0,0.095,0,1,7,1,3,0,7,0,0,-1,0,-1,0,-1,0,-1,0,0
9,Go,Goblin,Goblin,Goblin,Goblin,Goblin,Acqualorda,,Acqualorda,,"I Goblin, sempre creativi e spesso avventati, sono famosi per essere degli abili ingegneri e mercanti di talento.",Goblin,,Goblin,,6291716,2204,172,15007,1096,623714,319097,651558,0,0,0,0,0,0,0,1,10,8,0,0,0,0,0,0,0.1,0,0,0.09,0,1,7,1,22,0,4,0,0,-1,0,-1,0,-1,0,-1,0,0
10,Be,BloodElf,Elfo del Sangue,Elfa del Sangue,Elfo del Sangue,Elfa del Sangue,Sin'dorei,,Sin'dorei,,"Sopravvissuti a una guerra brutale, gli Elfi del Sangue hanno attinto alla forza del magico Pozzo Solare per ricostruire il loro regno.",Elfo,,Elfo,,6291596,1610,162,15007,1096,623714,131921,651558,0,0,0,0,0,0,0,1,9,9,0,0,0,0,0,0,0.087,0,0,0.087,0,1,7,1,11,0,8,0,0,-1,0,-1,0,-1,0,-1,0,0
11,Dr,Draenei,Draenei,Draenei,Draenei,Draenei,Draenei,,Draenei,,I Draenei sono scappati dalla corruzione demoniaca e ora prestano la loro forza a difesa di Azeroth.,Draenei,,Draenei,,6291598,1629,163,15007,1096,623712,131934,651555,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,7,7,0,10,0,2,0,0,-1,0,-1,0,-1,0,-1,0,0
12,Fo,FelOrc,Vilorco,Vilorchessa,Vilorco,Vilorchessa,,,,,,,,,,262149,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
13,Na,Naga_,Naga,Naga,Naga,Naga,,,,,,,,,,1,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
14,Br,Broken,Corrotto,Corrotta,Corrotto,Corrotta,,,,,,,,,,5,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
15,Sk,Skeleton,Scheletro,Scheletro,scheletro,Scheletro,,,,,,,,,,1,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,5,0,5,1,5,0,5,1,0,0
16,Vr,Vrykul,Vrykul,Vrykul,Vrykul,Vrykul,,,,,,,,,,9,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
17,Tu,Tuskarr,Tuskarr,Tuskarr,Tuskarr,Tuskarr,,,,,,,,,,262145,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
18,Ft,ForestTroll,Troll delle Foreste,Troll delle Foreste,Troll delle Foreste,Troll delle Foreste,,,,,,,,,,15,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
19,Wt,Taunka,Taunka,Taunka,Taunka,Taunka,,,,,,,,,,5,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
20,NS,NorthrendSkeleton,Scheletro di Nordania,Scheletro di Nordania,scheletro di Nordania,Scheletro di Nordania,,,,,,,,,,5,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
21,It,IceTroll,Troll dei Ghiacci,Troll dei Ghiacci,Troll dei Ghiacci,Troll dei Ghiacci,,,,,,,,,,5,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
22,Wo,Worgen,Worgen,Worgen,Worgen,Worgen,Gilneano,,Gilneano,,"Una maledizione ha trasformato gli Umani di Gilneas in selvaggi Worgen, ma ora sfruttano la propria ferocia per aiutare i loro alleati.",Worgen,,Worgen,,6291526,2203,170,15007,1096,623712,313254,651555,0,47273,0,47268,47239,47268,0,1,0,21,0,-5.35,2.1,-0.5,0.2,0,0,0,0,0,0,7,7,0,9,1,4,0,0,-1,0,-1,0,-1,0,-1,0,23
23,Hu,Human,Gilneano,Gilneana,Gilneano,Gilneana,,,,,The worgen were first unleashed upon the Eastern Kingdoms by Archmage Arugal. <PH>,,,,,237,1,0,15007,1096,623712,313254,651555,0,0,0,47268,47268,47268,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0
24,Pa,Pandaren,Pandaren,Pandaren,Pandaren,Pandaren,Pandaren,,Pandaren,,"I Pandaren, un popolo spirituale e curioso, hanno un profondo amore per la cucina, la birra e l'avventura.",Pandaren,,Pandaren,,6543380,2395,259,15007,1096,623716,574549,651561,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,42,7,2,0,0,10,0,0,-1,0,-1,0,-1,0,-1,0,0
25,Pa,Pandaren,Pandaren,Pandaren,Pandaren,Pandaren,Tushui,,Tushui,,"I Pandaren, un popolo spirituale e curioso, hanno un profondo amore per la cucina, la birra e l'avventura.",Pandaren,,Pandaren,,211460,2401,259,15007,1096,623712,574549,651555,0,0,0,0,0,0,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,7,7,0,26,0,10,24,24,0,24,1,24,0,24,1,0,0
26,Pa,Pandaren,Pandaren,Pandaren,Pandaren,Pandaren,Huojin,,Huojin,,"I Pandaren, un popolo spirituale e curioso, hanno un profondo amore per la cucina, la birra e l'avventura.",Pandaren,,Pandaren,,211460,2402,259,15007,1096,623714,574549,651558,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,1,7,1,25,0,10,24,24,0,24,1,24,0,24,1,0,0
27,Nb,Nightborne,Nobile Oscuro,Nobile Oscura,Nobile Oscuro,Nobile Oscura,Shal'dorei,,Shal'dorei,,"Isolati a Suramar per 10.000 anni, i Nobili Oscuri hanno sviluppato una maestria senza eguali nelle arti arcane.",Elfo,,Elfo,,11010052,1610,0,15007,1096,623714,1662240,651558,0,0,0,0,0,0,12413,10,1,26,0,0,0,0,0,0,0.087,0,0,0.087,0,1,7,1,29,0,8,0,4,0,4,1,4,0,4,1,0,0
28,Ht,HighmountainTauren,Tauren di Alto Monte,Tauren di Alto Monte,Tauren,Tauren,Tauren,,Tauren,,"Onorando gli spiriti della terra, dei fiumi e del cielo, i Tauren di Alto Monte incarnano nobiltà e la forza.",Tauren,,Tauren,,8912902,6,0,15007,1096,623714,1662239,651558,0,0,0,0,0,0,12415,10,2,27,0,0,0,0,0,0,0.085,0,0,0.085,0,1,7,1,30,0,3,0,6,0,6,1,6,0,6,1,0,0
