ID,OverrideName_lang,Field_9_1_0_38709_001_lang,Flags
1,,,1
2,,,0
3,Akunda l'Akunda,,1
4,Akunda l'Onnisciente,,1
5,Akunda l'Ansioso,,1
6,Akunda l'Astuto,,1
7,Akunda il Confuso,,1
8,Akunda lo Spietato,,1
9,Akunda lo Scaltro,,1
10,Akunda il Condannato,,1
11,Akunda il Riservato,,1
12,Akunda l'Eccentrico,,1
13,Akunda il Caloroso,,1
14,Akunda l'Abilitatore,,1
15,Akunda lo Smemorato,,1
16,Akunda il Leale,,1
17,Akunda l'Inconsapevole,,1
18,Akunda l'Originale,,1
19,Akunda il Passivo Aggressivo,,1
20,Akunda l'Addolorato,,1
21,Akunda il Rinomato,,1
22,Akunda il Riverente,,1
23,Akunda il Riccumpà,,1
24,Akunda l'Unico,,1
25,Akunda il Risoluto,,1
26,Drago Carnivoro Sazio,,1
27,Droozen,,1
28,Ghaanam,,1
29,Thoodhon,,1
30,Verdom,,1
31,Pryyshin,,1
32,Flaadym,,1
33,Khaalum,,1
34,Maagrym,,1
35,Thogro il Divoratore,,0
36,Khemkan la Spietata,,0
37,Xzzikti il Disertore,,0
38,Rabbia Coagulata,,1
39,Paura Coagulata,,1
40,Solitudine Coagulata,,1
41,Amarezza Coagulata,,1
42,Dolore Coagulato,,1
43,Dubbio Coagulato,,1
44,Pena Coagulata,,1
45,Perdita Coagulata,,1
46,Preoccupazione Coagulata,,1
47,Cordoglio Coagulato,,1
48,Odio in Aumento,,1
49,Terrore in Aumento,,1
50,Isolazione in Aumento,,1
51,Disperazione in Aumento,,1
52,Agonia in Aumento,,1
53,Tormento in Aumento,,1
54,Pungitore Illusorio,,0
55,Zannamozza Illusorio,,0
56,Mazzuolatore Illusorio,,0
57,Behemoth Illusorio,,0
58,Manifestazione della Paura,,0
59,Pallaval il Fazioso,,0
60,Trikidi la Sanguinaria,,0
61,Zee'gee'tee il Fanatico,,0
62,Lilizzinnk l'Oscena,,0
63,Boppe il Disonorato,,0
64,Vortophe l'Innominabile,,0
65,Jonapa l'Opulenta,,0
66,Maynard,,0
67,Cacciatore Cornuto,,0
68,Gran Sacerdotessa Selenis,,0
69,Sgranocchio Mangiafacce,,0
70,Yu'gaz,,0
71,Reginald,,0
72,Spino,,0
73,Il Forzuto,,1
74,Zill'kee la Mietitrice di Mondi,,0
75,Luuno il Re del Sole,,0
76,Discepolo del Coraggio,,0
77,Rathborne,,0
78,Thultain,,0
79,Mal'endra,,0
80,Fel'endae,,0
81,Mondano Terrorizzato,,0
82,Immagine Speculare,,1
83,Arcanista Ammantato,,0
84,Manifestazione dell'Orgoglio,,0
85,Manifestazione dell'Arroganza,,0
86,Manifestazione della Superbia,,0
87,Manifestazione dell'Egoismo,,0
88,Manifestazione del Narcisismo,,0
89,Manifestazione dell'Egomania,,0
90,Manifestazione della Paranoia,,0
91,Tibo,,0
92,Kimos,,0
93,Ilapos,,0
94,Bumos,,0
95,Dintos,,0
96,Gramilos,,0
97,Isilios,,0
98,Abalus,,0
99,Ipadipos,,0
100,Pico,,0
101,Haka,,0
102,Dafi,,0
103,Thima,,0
104,Arathane,,0
105,Syla,,0
106,Farra,,0
107,Korinthe,,0
108,Asellia,,0
109,Minta,,0
110,Laratis,,0
111,Bolas,,0
112,Apa,,0
113,Deka,,0
114,Koukis,,0
115,Akiris,,0
116,Ipa,,0
117,Toulis,,0
118,Zenza,,0
119,Chaermi,,0
120,Mupu,,0
121,Aspirante Caduto,,0
122,Membro del Pubblico,,0
123,Fardello della Vita,,0
124,Crociata d'Argento,,1
125,Ospite Assetato,,0
126,Ospite Affamato,,0
127,Abitante di Tirna Falcis,,0
128,Zombi Infetto,,1
129,Aspirante Caduto Eolis,,0
130,Scorticaspiriti Imprigionato,,0
131,Rabbia Espulsa,,0
132,Furia Espulsa,,0
133,Collera Espulsa,,0
134,Odio Espulso,,0
135,Ira Espulsa,,0
136,Ostilità Espulsa,,0
137,Malizia Espulsa,,0
138,Rancore Espulso,,0
139,Ingordigia Espulsa,,0
140,Fame Espulsa,,0
141,Indulgenza Espulsa,,0
142,Bramosia Espulsa,,0
144,Eco Effimero,,0
145,Ricordo Sfuggente,,0
146,Riflesso Errante,,0
147,Vestigia Sbiadite,,0
148,Liriana,,0
149,Fortord,,0
150,Lorra dei Tessitori,,0
151,Borial Iosa,,0
152,Raxxat,,0
153,Bravalat,,0
154,Ramorra,,0
155,Toloria degli Impazienti,,0
156,Majar'Ta,,0
157,Saggezza dei Roola,,0
158,Ira dei Roola,,0
159,Pentimento dei Roola,,0
160,Virielle,,0
161,R'ty'ghn,,0
162,Loret Ty'mana,,0
163,Uima Uima,,0
164,Limao Yuna,,0
165,Sawo degli Antichi,,0
166,Quip l'Agile,,0
167,Bassilion Quash,,0
168,Jassa Ruash,,0
169,Jasslina,,0
170,Jassona,,0
171,Brilla l'Abbondante,,0
172,Gur delle Lame,,0
173,Spukit Subdolo,,0
174,Havan dei Tivan,,0
175,Galooft Eir,,0
176,Rashtar il Saggio,,0
177,Roh Chiarastella,,0
178,Rih Chiarastella,,0
179,Mysterion dell'Amore,,0
180,Polron il Grande,,0
181,Reska degli Umili,,0
182,Jar Lom,,0
183,Onorato Harrish di Xel,,0
184,Radsur della Guerra,,0
185,Fioni Portasperanza,,0
186,Signore del Cielo Thienna,,0
187,Signora del Cielo Vastuk,,0
188,Mysterion del Fato,,0
189,Aoifena il Benevolo,,0
190,Largana Spezzavolontà,,0
191,Lessa del Cuore,,0
192,Gop dei Favi,,0
193,Larian Animanera,,0
194,Kasha Scrutanime,,0
195,Gilean del Sapere,,0
196,Forrida della Devozione,,0
197,Estraneo Nascosto,,0
198,Rogi,,0
199,Sgobbolo,,0
200,Geppi,,0
201,Smontolo,,0
202,Higgus,,0
203,Melmario Fangodegno III,,0
204,Belvy,,0
205,Wustur,,0
206,Mar,,0
207,Egor,,0
208,Dragalberto,,0
209,Furgus,,0
210,Colem,,0
211,Pann,,0
212,Polty,,0
213,Dobb,,0
214,Spazzo,,0
215,Solorame,,0
216,Fred,,0
217,Maglia,,0
218,Catalizzatore di Foglie Temporali,,0
219,Catalizzatore di Bocciolo Notturno Selvaggio,,0
220,Catalizzatore di Grano di Radice di Semebrado,,0
221,Sito di Costruzione del Molo da Pesca,,0
222,Molo da Pesca,,0
224,Margravio Draka,,1
225,Anima Degna,,0
226,Me'ntir,,1
227,Sba'gliat,,1
228,Bu'giard,,1
229,La'dr,,1
230,Fin'zion,,1
231,Fal'sif,,1
232,Rattofauce Sottomesso,,0
233,Incatenatore Giurafauce Potenziato,,0
234,Giocattolo dei Giurafauce,,0
235,Sfidante Val'kyr Degna,,0
236,Polemarco Kalisthene,,0
