ID,Description_lang,Parent,Amount,Operator,CriteriaID,OrderIndex,Flags
2,Oro massimo posseduto,0,0,4,0,0,0
3,Oro massimo posseduto,2,0,0,4224,1,8
5,Cavalcature possedute,0,0,4,0,0,0
6,Numero di cavalcature,5,0,0,4787,1,0
8,Usa dei Jack Lanterna Appesantiti per mettere una zucca sulla testa di ciascuna delle razze elencate qui sotto.,0,0,4,0,0,0
9,Nano,8,1,0,5776,3,0
10,Gnomo,8,1,0,5772,4,0
11,Elfo del Sangue,8,1,0,5774,1,0
12,Draenei,8,1,0,5775,2,0
13,Umano,8,1,0,5777,6,0
14,Elfo della Notte,8,1,0,5778,7,0
15,Orco,8,1,0,5779,8,0
16,Tauren,8,1,0,5780,9,0
17,Troll,8,1,0,5781,10,0
18,Non Morto,8,1,0,5782,11,0
19,Worgen,8,1,0,17854,12,0
20,Goblin,8,1,0,17855,5,0
22,Duelli persi,0,0,4,0,0,0
23,Duelli persi,22,0,0,3630,1,0
25,Morti totali contro i boss da 25 giocatori di Lich King,0,0,5,0,0,0
26,Demolitore XT-002,25,0,0,11019,25,0
27,Freya,25,0,0,11027,33,0
28,Mimiron,25,0,0,11028,34,0
29,Generale Vezax,25,0,0,11029,35,0
30,Yogg-Saron,25,0,0,11030,36,0
31,Algalon l'Osservatore,25,0,0,11031,37,0
32,Emalon il Guardiano della Tempesta,25,0,0,11032,38,0
33,Leviatano delle Fiamme,25,0,0,11016,22,0
34,Scagliafusa,25,0,0,11017,23,0
35,Maestro della Forgia Ignis,25,0,0,11018,24,0
36,Auriaya,25,0,0,11024,30,0
37,Hodir,25,0,0,11025,31,0
38,Spaccacciaio,25,0,0,11020,26,0
39,Invocatore delle Tempeste Brundir,25,0,0,11022,28,0
40,Kologarn,25,0,0,11023,29,0
41,Thaddius,25,0,0,7839,13,0
42,Thane Korth'azz,25,0,0,7845,7,0
43,Pezzacarne,25,0,0,7838,14,0
44,Zaffirion,25,0,0,7840,12,0
45,Kel'Thuzad,25,0,0,7841,11,0
46,Dama Blaymeux,25,0,0,7842,10,0
47,Barone Fieramorte,25,0,0,7843,9,0
48,Noth l'Araldo della Piaga,25,0,0,7837,15,0
49,Heigan l'Impuro,25,0,0,7833,19,0
50,Archavon il Guardiano della Pietra,25,0,0,7848,4,0
51,Anub'rekhan,25,0,0,7828,1,0
52,Gluth,25,0,0,7829,21,0
53,Gothik il Falciatore,25,0,0,7830,2,0
54,Faerlina la Vedova Nera,25,0,0,7831,20,0
55,Grobbulus,25,0,0,7832,3,0
56,Istruttore Razuvious,25,0,0,7834,18,0
57,Loatheb,25,0,0,7835,17,0
58,Maexxna,25,0,0,7836,16,0
59,Sartharion,25,0,0,7846,6,0
60,Anub'arak,25,0,0,13296,44,0
61,Dama Soffiamorte,25,0,0,13298,46,0
62,Toravon il Guardiano del Ghiaccio,25,0,0,13291,39,0
63,Facciamarcia,25,0,0,13304,52,0
64,Urlogelido,25,0,0,13292,40,0
65,Ser Zeliek,25,0,0,7844,8,0
66,Malygos,25,0,0,7847,5,0
67,Sire Jaraxxus,25,0,0,13293,41,0
68,Fjola Irabianca,25,0,0,13294,42,0
