ID,Name_lang,HonorLevel,BadgeTextureFileDataID,Flags,AwardedAchievementID
1,Livello Onore 5,5,1375574,0,12893
2,Livello Onore 10,10,1375575,0,12894
3,Livello Onore 15,15,1375576,0,12895
4,Livello Onore 20,20,1375577,0,12900
6,Livello Onore 25,25,1551554,1,12901
8,Livello Onore 30,30,1551555,1,12902
9,Livello Onore 40,40,1551556,1,12903
10,Livello Onore 50,50,1551557,1,12904
11,Livello Onore 60,60,1567394,0,12905
12,Livello Onore 70,70,1597388,0,12906
13,Livello Onore 80,80,1597390,0,12907
14,Livello Onore 90,90,1597392,0,12908
15,Livello Onore 100,100,1597394,0,12909
16,Livello Onore 125,125,1597397,0,12910
17,Livello Onore 150,150,1597398,0,12911
18,Livello Onore 175,175,1597399,0,12912
19,Livello Onore 200,200,1597400,0,12913
20,Livello Onore 250,250,1713158,0,12914
21,Livello Onore 300,300,1713159,0,12915
22,Livello Onore 400,400,1713160,0,12916
23,Livello Onore 500,500,1713161,0,12917
24,Livello Onore 600,253,1713162,0,0
25,Livello Onore 750,254,1713163,0,0
26,Livello Onore 1.000,255,1713164,0,0
