ID,Name_lang,NameAlt_lang,Title_lang,TitleAlt_lang,Classification,CreatureType,CreatureFamily,StartAnimState,DisplayID[0],DisplayID[1],DisplayID[2],DisplayID[3],DisplayProbability[0],DisplayProbability[1],DisplayProbability[2],DisplayProbability[3],AlwaysItem[0],AlwaysItem[1],AlwaysItem[2]
3,Mangiatore di Carne,,,,0,6,0,0,987,0,0,0,1,1,1,1,0,0,0
89,Infernale,,,,0,3,108,0,87778,0,0,0,1,1,1,1,0,0,0
304,Vildestriero,,,,0,3,0,0,2346,0,0,0,1,1,1,1,0,0,0
305,Stallone Bianco,,,,0,1,0,0,2410,0,0,0,1,1,1,1,0,0,0
416,Imp,,,,0,3,23,0,64799,0,0,0,1,1,1,1,0,0,0
417,Vilsegugio,,,,0,3,15,0,113609,0,0,0,1,1,1,1,0,0,0
444,Ser Maialino,,,,0,14,0,0,22938,0,0,0,1,1,1,1,0,0,0
620,Gallina,,,,0,8,0,0,304,0,0,0,1,1,1,1,0,0,0
721,Coniglio,,,,0,8,0,0,328,4626,0,0,1,1,1,1,0,0,0
1748,Gran Signore Bolvar Domadraghi,,,,1,7,0,0,5566,0,0,0,1,1,1,1,2178,143,0
1860,Ombra del Vuoto,,,,0,3,16,0,113621,0,0,0,1,1,1,1,0,0,0
1863,Succube,,,,0,3,17,0,77396,0,0,0,1,1,1,1,0,0,0
2671,Scoiattolo Meccanico,,,,0,12,0,0,7937,0,0,0,1,1,1,1,0,0,0
2748,Archaedas,,Guardiano di Pietra Antico,,1,5,0,0,5988,0,0,0,1,1,1,1,2557,0,0
3524,Lupo Spirituale,,,,0,1,0,0,1236,0,0,0,1,1,1,1,0,0,0
3771,Invocatore Infernale Cuorcupo,,,,0,3,0,0,2013,0,0,0,0,0,0,0,0,0,0
3823,Zampachiara Scattante,,,,0,1,1,0,802,0,0,0,0,0,0,0,0,0,0
3956,Harklan Selvaluna,,Mercante di Forniture d'Alchimia,,0,7,0,0,4183,0,0,0,0,0,0,0,0,0,0
4075,Ratto,,,,0,8,0,0,1141,1418,2176,0,2,2,1,1,0,0,0
4274,Fenrus il Divoratore,,,,1,1,0,0,20180,0,0,0,0,1,1,1,0,0,0
4275,Arcimago Arugal,,,,1,7,0,0,2353,0,0,0,0,1,1,1,6322,0,0
4780,Montone Nero,,,,0,1,0,0,2784,0,0,0,1,1,1,1,0,0,0
5198,Lupo Artico Cavalcabile,,,,0,1,0,0,1166,0,0,0,1,1,1,1,0,0,0
7109,Vilfedele Giadafulgida,,,,0,3,0,0,11334,0,0,0,0,0,0,0,0,0,0
7380,Gatto Siamese,,,,0,12,0,0,5585,0,0,0,1,1,1,1,0,0,0
7381,Gatto Soriano Grigio,,,,0,12,0,0,5555,0,0,0,1,1,1,1,0,0,0
7382,Gatto Soriano Arancione,,,,0,12,0,0,5554,0,0,0,1,1,1,1,0,0,0
7383,Gatto Soriano Nero,,,,0,12,0,0,5448,0,0,0,1,1,1,1,0,0,0
7384,Gatto Rosso,,,,0,12,0,0,5586,0,0,0,1,1,1,1,0,0,0
7385,Gatto Nero,,,,0,12,0,0,5556,0,0,0,1,1,1,1,0,0,0
7386,Micio Bianco,,,,0,12,0,0,9990,0,0,0,1,1,1,1,0,0,0
7387,Macao Ala Verde,,,,0,12,0,3,5207,0,0,0,1,1,1,1,0,0,0
7388,Cacatua,,,,0,12,0,3,6189,0,0,0,1,1,1,1,0,0,0
7389,Senegal,,,,0,12,0,3,6190,0,0,0,1,1,1,1,0,0,0
7390,Calopsite,,,,0,12,0,3,6191,0,0,0,1,1,1,1,0,0,0
7391,Macao Giacinto,,,,0,12,0,3,6192,0,0,0,1,1,1,1,0,0,0
7392,Gallina delle Praterie,,,,0,12,0,0,304,0,0,0,1,1,1,1,0,0,0
7393,Polverara Bianca,,,,0,12,0,0,304,0,0,0,1,1,1,1,0,0,0
7394,Pollo Ancona,,,,0,12,0,0,5369,0,0,0,1,1,1,1,0,0,0
7395,Scarafaggio di Sepulcra,,,,0,12,0,0,2177,0,0,0,1,1,1,1,0,0,0
7543,Draghetto Oscuro,,,,0,12,0,3,6288,0,0,0,1,1,1,1,0,0,0
7544,Draghetto Cremisi,,,,0,12,0,3,6290,0,0,0,1,1,1,1,0,0,0
7545,Draghetto di Smeraldo,,,,0,12,0,3,6291,0,0,0,1,1,1,1,0,0,0
7546,Draghetto Bronzeo,,,,0,12,0,3,6292,0,0,0,1,1,1,1,0,0,0
7547,Draghetto di Zaffiro,,,,0,12,0,3,6293,0,0,0,1,1,1,1,0,0,0
7548,Fatatino,,,,0,12,303,0,6294,0,0,0,1,1,1,1,0,0,0
7549,Rana degli Alberi,,,,0,12,0,0,6295,0,0,0,1,1,1,1,0,0,0
7550,Rana del Legno,,,,0,12,0,0,901,0,0,0,1,1,1,1,0,0,0
7551,Rana Velenosa,,,,0,12,0,0,6296,0,0,0,1,1,1,1,0,0,0
7552,Rana Insulare,,,,0,12,0,0,6297,0,0,0,1,1,1,1,0,0,0
7553,Gufo Cornuto Grande,,,,0,12,0,3,4615,0,0,0,1,1,1,1,0,0,0
7554,Gufo Nevoso,,,,0,14,0,3,6298,0,0,0,1,1,1,1,0,0,0
