ID,Name_lang,MapID,QuestPOIBlobID,AreaPOIIconEnum
9,Scavi di Ferrocollo,0,54097,177
10,Sepolcro di Barbaferrea,0,54124,177
12,Scavi di Whelgar,0,54126,177
13,Banco Fossile di Guardiaverde,0,54127,177
15,Muro di Thoradin,0,54129,177
18,Scavi di Scorzasecca,0,54132,177
19,Viadotto di Thandol,0,54133,177
20,Scavi di Dun Garok,0,54134,177
21,Area Fossile di Riva del Sud,0,54135,177
22,Scavi del Picco dell'Aquila,0,54136,177
23,Scavi di Shadra'Alor,0,54137,177
24,Scavi dell'Altare di Zul,0,54138,177
25,Scavi della Città Bassa di Jintha'alor,0,54139,177
26,Scavi della Città Alta di Jintha'alor,0,54140,177
27,Scavi di Agol'watha,0,54141,177
140,TEMPLATE TROLL,0,54828,177
142,TEMPLATE DWARF,0,54830,177
144,Scavi di Mazzadito,0,54832,177
146,Scavi della Tomba dei Guardiani,0,54834,177
150,Scavi dell'Ingresso a Uldaman,0,54838,177
152,Scavi del Tempio Sommerso,0,54862,177
154,Banco Fossile di Cannamarcia,0,54864,177
161,TEMPLATE NIGHT ELF,0,55348,177
163,Scavi del Bosco del Crepuscolo,0,55350,177
165,Banco Fossile di Vul'Gol,0,55352,177
167,Scavi di Nazj'vel,1,55354,177
169,Scavi della Spiaggia di Zoram,1,55356,177
171,Rovine di Ordil'aran,1,55398,177
173,Rovine della Polvere Stellare,1,55400,177
175,Scavi di Cantaselva,1,55402,177
177,Picco di Petrartiglio,1,55404,177
179,Rovine di Eldre'thar,1,55406,177
181,Terre Dissotterrate,1,55408,177
183,Scavi di Bael Modan,1,55410,177
185,Rovine di Eldarath,1,55412,177
187,Rovine di Arkkoran,1,55414,177
189,Banchina Fossile del Cammino Bordolago,0,55416,177
191,Scavi della Spiaggia dei Lamasalmastra,1,55418,177
193,Scavi di Ethel Rethor,1,55420,177
195,Valle delle Ossa,1,55422,177
197,Scavi della Congrega di Mannoroc,1,55424,177
199,Cimitero dei Kodo,1,55426,177
201,Scavi di Sargeron,1,55428,177
203,Banco Fossile delle Insenature Rosse,0,55434,177
205,Area Fossile dei Maglioinfame,0,55436,177
207,Scavi di Golasporca,0,55438,177
209,Scavi delle Pianure di Pyrox,0,55440,177
211,Rovine Occidentali di Thaurissan,0,55442,177
213,Rovine Orientali di Thaurissan,0,55444,177
215,Area Fossile del Terrore Alato,0,55446,177
217,Scavi di Zul'mashar,0,55448,177
219,Scavi del Padiglione Quel'Lithien,0,55450,177
221,Area Fossile della Cicatrice Infetta,0,55452,177
223,Scavi di Zul'Kunda Orientale,0,55454,177
225,Scavi di Zul'Kunda Occidentale,0,55456,177
227,Scavi delle Rovine di Bal'lal,0,55458,177
229,Scavi di Balia'mah,0,55460,177
231,Scavi di Ziata'jai,0,55462,177
233,Scavi di Zul'Mamwe Orientale,0,55464,177
235,Scavi di Zul'Mamwe Occidentale,0,55466,177
237,Campi dei Raptor della Costa Selvaggia,0,55468,177
239,Rovine di Aboraz,0,55470,177
241,Rovine di Jubuwal,0,55472,177
243,Scavi dell'Arena dei Gurubashi,0,55474,177
245,Scavi della Sorgente di Nek'mani,0,55476,177
247,Area Fossile di Vilpietra,0,55478,177
249,Area Fossile della Cresta Nord,0,55480,177
251,Banco Fossile di Andorhal,0,55482,177
259,Area Fossile del Brago dei Dragoni,1,55755,177
261,Area Fossile delle Acque Stagnanti,1,55757,177
279,Scavi di Maglio Infausto,1,56327,177
281,Scavi del Piazzale in Rovina,1,56329,177
283,Scavi di Corvovento,1,56331,177
285,Scavi di Oneiros,1,56333,177
287,Scavi di Solarsal,1,56335,177
289,Scavi di Brumafosca,1,56337,177
291,Scavi di Isildien Meridionale,1,56339,177
293,Scavi di Isildien Settentrionale,1,56341,177
295,Scavi di Constellas,1,56343,177
297,Scavi di Morlos'aran,1,56345,177
299,Scavi di Jaedenar,1,56347,177
301,Scavi di Legnoduro,1,56349,177
303,Scavi del Lago Kel'Theril,1,56351,177
305,Scavi della Selva Ala di Gufo,1,56354,177
307,Scavi della Gola Eco Freddo,1,56356,177
309,Banco Fossile dei Campi del Sangue,1,56358,177
313,Scavi della Faglia dell'Incubo,1,56362,177
315,Scavi di Zul'farrak,1,56364,177
317,Scavi del Pilastro Spezzato,1,56367,177
319,Scavi delle Rovine di Luna dell'Est,1,56369,177
321,Scavi delle Rovine di Luna del Sud,1,56371,177
323,Cresta Fossile dei Mazzaduna,1,56373,177
325,Cresta Fossile delle Sabbie Abissali,1,56375,177
327,Pozze di Pece Inferiori di Lakkari,1,56380,177
329,Pozze di Pece Superiori di Lakkari,1,56382,177
331,Area Fossile della Landa del Terrore,1,56384,177
333,Area Fossile dei Confini Urlanti,1,56386,177
335,Banco Fossile degli Acquitrini Selvaggi,1,56388,177
337,Scavi di Vento del Sud,1,56390,177
339,Scavi dell'Avamposto di Gor'gaz,530,56392,177
341,Scavi di Zeth'gor,530,56394,177
343,Scavi della Conca del Fuoco Infernale,530,56396,177
345,Scavi della Cittadella del Fuoco Infernale,530,56398,177
347,Scavi di Sha'naar,530,56400,177
349,Scavi delle Rovine di Boha'mu,530,56402,177
351,Scavi delle Rovine delle Guglie Gemelle,530,56404,177
353,Scavi delle Rovine di Enkaat,530,56406,177
355,Scavi delle Rovine di Arklon,530,56408,177
