OverrideName_lang,OverrideSubtext_lang,OverrideDescription_lang,ID,SpellID,OverrideIcon,OverridesSpellID,VisibleSpellID
,,,10579,0,135936,0,0
,,,10612,0,135936,0,0
,,,10644,0,135936,0,0
,,,10647,263716,0,0,0
,,,10650,0,135936,0,0
,,,10687,373455,0,0,0
,,,10700,0,135936,0,0
,,,10705,0,135936,0,0
,,,11049,205636,0,0,0
,,,11149,155675,0,0,0
,,Creazione Multipla fornisce fino al $ev1% di pozioni aggiuntive.,24833,0,0,0,0
,,+$ev1 $en1 quando si creano pozioni.,24834,0,0,0,0
,,Apprendi $@spellname370668.,24835,370668,0,0,0
,,+$ev1% $en1 quando si creano pozioni.,24836,0,0,0,0
,,+$ev1 $en1 quando si creano pozioni.,24837,0,0,0,0
Produzione in Lotto,,"Padroneggia l'arte della produzione di pozioni, ottenendo +$ev1 $en1 per ogni punto in questa specializzazione.",24838,0,4624378,0,0
,,"Apprendi $@spellname370745, che produce pozioni di qualità superiore e aumenta le probabilità di scoprire nuove ricette.",24839,370745,0,0,0
,,Aumenta del 5% la probabilità di scoperta di Pozione Sperimentale.,24840,0,0,0,0
,,"Quando si fa una grande scoperta con Pozione Sperimentale, si ottiene +20 Ingegno per 4 ore per tutte le creazioni di Alchimia.",24841,0,0,0,0
,,Aumenta del 5% la probabilità di scoperta di Pozione Sperimentale.,24842,0,0,0,0
,,Aumenta del 10% la probabilità di scoperta di Pozione Sperimentale.,24843,0,0,0,0
Pozione Sperimentale,,"Acquisisci una migliore comprensione dei reagenti per aumentare la probabilità che gli esperimenti diano risultati soddisfacenti, aumentando dell'1% la probabilità di scoperta di Pozione Sperimentale per ogni punto in questa specializzazione.",24844,0,4624379,0,0
,,"Apprendi come creare e usare il Reagente di Finitura $@spellname370735, che migliora la competenza quando si creano calderoni di pozioni e Pietre Alchemiche Alacri.",24845,370735,0,0,0
,,Apprendi l'ultima sottospecializzazione.,24846,0,0,0,0
,,+$ev1 $en1 quando si creano pozioni.,24847,0,0,0,0
,,Apprendi una sottospecializzazione a tua scelta.,24848,0,0,0,0
,,+$ev1 $en1 quando si creano pozioni.,24849,0,0,0,0
,,+$ev1 $en1 quando si creano pozioni.,24850,0,0,0,0
Conoscenza delle Pozioni,,"Approfondisci i misteri delle pozioni e delle relative Pietre Alchemiche, ottenendo +$ev1 $en1 per ogni punto in questa specializzazione.",24851,0,4624657,0,0
,,"Apprendi come creare e usare il Reagente di Finitura $@spellname370735, che migliora la competenza quando si creano Pozioni dell'Aria.",24852,370735,0,0,0
,,+$ev1 $en1 quando si creano Pozioni dell'Aria.,24853,0,0,0,0
,,+$ev1 $en1 quando si creano Pozioni dell'Aria.,24854,0,0,0,0
,,Aumenta la velocità di movimento fornita dalle pozioni delle Isole dei Draghi.,24855,0,0,0,0
,,+$ev1 $en1 quando si creano Pozioni dell'Aria.,24856,0,0,0,0
,,+$ev1 $en1 quando si creano Pozioni dell'Aria.,24857,0,0,0,0
,,Bere una pozione delle Isole dei Draghi aumenta brevemente la velocità di movimento.,24858,0,0,0,0
Pozioni dell'Aria,,"Migliora l'abilità nel creare pozioni usando come reagente di base Aria Stimolante o Aria Risvegliata, ottenendo +$ev1 $en1 per ogni punto in questa specializzazione.",24859,0,4497566,0,0
,,"Apprendi come creare e usare il Reagente di Finitura $@spellname370735, che migliora la competenza quando si creano Pozioni del Gelo.",24860,370735,0,0,0
,,+$ev1 $en1 quando si creano Pozioni del Gelo.,24861,0,0,0,0
,,+$ev1 $en1 quando si creano Pozioni del Gelo.,24862,0,0,0,0
,,Aumenta le cure fornite dalle pozioni delle Isole dei Draghi.,24863,0,0,0,0
,,+$ev1 $en1 quando si creano Pozioni del Gelo.,24864,0,0,0,0
,,+$ev1 $en1 quando si creano Pozioni del Gelo.,24865,0,0,0,0
