ID,Name_lang,MinScale,MinScaleLevel,MaxScale,MaxScaleLevel,PetFoodMask,PetTalentType,CategoryEnumID,IconFileID,SkillLine[0],SkillLine[1]
1,Lupo,0.7,1,1,50,1,0,23,132203,208,270
2,Felino,0.7,1,1.1,50,3,0,5,132185,209,270
3,Ragno,0.4,1,0.6,50,1,0,17,132196,203,270
4,Orso,0.6,1,1,50,63,1,1,132183,210,270
5,Cinghiale,0.6,1,1,50,63,2,3,132184,211,270
6,Crocolisco,0.4,1,0.6,50,3,0,7,132187,212,270
7,Mangiacarogne,0.5,1,0.9,50,3,0,4,132200,213,270
8,Granchio,0.7,1,1.4,50,58,1,6,132186,214,270
9,Gorilla,0.7,1,1,50,56,0,9,132189,215,270
11,Raptor,0.5,1,0.8,50,1,2,13,132193,217,270
12,Zampalunga,0.5,1,0.8,50,60,0,19,132198,218,270
15,Vilsegugio,0,0,0.7,1,0,-1,0,0,189,0
16,Ombra del Vuoto,0,0,0.8,1,0,-1,41,0,204,0
17,Succube,0,0,1,1,0,-1,41,0,205,0
19,Demone Guardiano,0,0,1,1,0,-1,41,0,207,0
20,Scorpide,0.7,1,1,50,1,0,15,132195,236,270
21,Tartaruga,0.5,1,0.72,50,58,1,20,132199,251,270
23,Imp,0,0,0.5,1,0,-1,41,0,188,0
24,Pipistrello,0.4,1,0.63,50,49,0,0,132182,653,270
25,Iena,0.7,1,0.9,50,1,2,10,132190,654,270
26,Rapace,0.5,1,0.8,50,3,2,2,132192,655,270
27,Serpente Volante,0.5,1,0.7,50,14,0,22,132202,656,270
28,Controllo a Distanza,0.9,1,1,60,0,-1,0,0,758,0
29,Vilguardia,0.89,0,0.9,1,0,-1,41,0,761,0
30,Dragofalco,0.35,1,0.65,50,35,1,8,132188,763,270
31,Devastatore,0.45,1,0.65,50,1,0,14,132194,767,270
32,Segugio Distorcente,0.45,1,0.6,50,34,2,21,132201,766,270
33,Sporofago,0.6,1,0.9,50,60,2,18,132197,765,270
34,Pastinaca,0.35,1,0.55,50,17,0,12,132191,764,270
35,Serpente,0.6,1,0.8,50,1,2,16,136040,768,270
37,Falena,0.35,1,0.65,50,60,2,11,236193,775,270
38,Chimera,0.5,1,0.63,50,1,0,24,236190,780,270
39,Gigantosauro,0.3,1,0.5,50,1,0,25,236192,781,270
40,Ghoul,1,1,1.01,80,0,-1,26,132097,782,0
41,Aqiri,0.6,1,0.8,50,17,2,63,236195,783,270
42,Verme,0.7,1,1,50,28,1,62,236197,784,270
43,Mammuceronte,0.35,1,0.56,50,60,0,61,1044794,786,270
44,Vespa,0.4,1,0.6,50,60,0,60,236196,785,270
45,Segugio del Nucleo,0.3,1,0.5,50,1,0,59,236191,787,270
46,Bestia Eterea,0.7,1,1.1,50,3,1,58,236165,788,270
49,Elementale d'Acqua,0.8,1,0.81,60,0,-1,0,0,805,0
50,Volpe,0.6,1,0.9,50,35,2,27,458223,808,270
51,Scimmia,0.3,1,0.5,50,48,2,28,877482,815,270
52,Segugio,0.6,1,0.8,50,63,2,29,877481,811,270
53,Scarabeo,0.5,1,0.7,50,48,1,30,133570,818,270
55,Bestia Rocciosa,1,1,1.45,50,195,2,57,877478,817,270
56,Zombi,0.8,1,1,80,0,-1,56,298667,236,0
57,<< QA TEST FAMILY >>,1,1,1.25,60,48,-1,36,134936,818,270
68,Idra,0.5,0,0.63,50,195,1,55,463493,824,270
100,Vilimp,0,0,0.6,1,0,-1,41,0,188,0
101,Signore del Vuoto,0,0,0.9,1,0,-1,41,0,204,0
102,Shivarra,0,0,0.65,1,0,-1,41,0,205,0
103,Osservatore,0,0,0.225,1,0,-1,41,0,189,0
104,Guardia dell'Ira,0,0,0.85,1,0,-1,41,0,761,0
108,Infernale,0,0,0.3,1,0,-1,41,0,206,0
116,Elementale del Fuoco,1,1,1.01,60,0,-1,48,135790,962,0
117,Elementale di Terra,1,1,1.01,60,0,-1,48,136024,963,0
125,Uccello Marino,0.2,1,0.7,50,138,1,49,877479,984,270
126,Gerride,0.3,1,0.5,50,48,2,50,643423,985,270
127,Roditore,0.6,1,1,50,16,2,51,644001,983,270
128,Segugio di Pietra,0.7,1,1.1,50,195,1,5,625905,986,270
129,Cornorude,0.5,1,0.8,50,255,2,52,877477,987,270
130,Basilisco,0.4,1,0.6,50,3,2,53,877476,988,270
138,Cornofurente,0.4,1,0.6,50,48,1,54,877480,1305,270
145,Elementale Tempesta,1,1,1.01,60,0,-1,48,236154,1748,0
147,Guardia Maligna,0.64,1,1,60,0,-1,41,0,1981,0
148,Abission,0,0,1,1,0,-1,41,0,1982,0
150,Bestia dei Fiumi,0.6,1,0.8,50,56,1,33,1044490,1819,270
151,Cervo,0.5,1,0.8,50,60,1,34,1044501,1993,270
154,Unità Meccanica,0.7,1,1,60,256,2,37,132247,2189,270
155,Abominio,0.6,1,0.8,80,0,-1,35,136118,2216,0
156,Scagliamanto,0.5,1,0.8,50,60,0,38,646378,2280,270
157,Yak,0.5,1,0.8,50,60,1,39,616693,2279,270
160,Piumanto,0.5,1,0.8,50,255,1,54,929300,2361,270
288,Lucertola,0.5,1,1,50,243,1,0,2027936,2703,270
290,Pterrordattilo,0.2,1,0.3,50,227,2,0,1624590,2705,270
291,Salterino,0.3,1,0.6,50,243,1,0,804969,2706,270
292,Carapide,0.5,1,0.75,50,65,1,0,2011146,2707,270
296,Bestia di Sangue,0.45,1,0.65,50,195,1,14,1687702,2719,270
298,Dromedario,0.5,1,0.8,50,56,2,52,454771,2807,270
299,Corsiero,0.5,1,0.8,50,48,0,38,2143073,2806,270
300,Mammut,0.5,1,0.8,50,60,1,6,132254,2805,270
302,Incubus,0,0,1,1,0,-1,41,0,205,0
303,Dragoide Minore,0.5,1,0.8,50,195,0,6,797547,2850,270
