ID,Name_lang,ResourceName_lang,Verb_lang,CursorName,EnumID,TrackingIcon
1,Scasso,Oggetti chiusi,Scassina,PickLock,0,0
2,Erbalismo,Erbe,Raccogli,GatherHerbs,1,17635
3,Estrazione,Depositi minerari,Piccona,Mine,2,17636
4,Disarma trappole,Trappola,Disarma,,3,0
5,Apertura,Oggetti non chiusi,Apri,,4,0
6,Tesoro,Tesoro,,,5,0
7,Gemme elfiche calcificate,Gemme elfiche calcificate,,,6,0
8,Chiusura,Oggetti non chiusi,Chiudi,,7,0
9,Arma trappola,Trappola,Arma,,8,0
10,Apertura rapida,Oggetti non chiusi,Apri,,9,0
11,Chiusura rapida,Oggetti non chiusi,Chiudi,,10,0
12,Apertura modifica,Oggetti non chiusi,Apri,,11,0
13,Apertura genuflessione,Oggetti non chiusi,Apri,,12,0
14,Apertura attacco,Oggetti non chiusi,Apri,,13,0
15,Gahz'ridian,Gahz'ridian,,,14,0
16,Detonazione,Oggetti chiusi,Fai detonare,,15,0
17,Apertura PvP,Oggetti non chiusi,Apri,,16,0
18,Chiusura PvP,Oggetti non chiusi,Chiudi,,17,0
19,Pesca,Pesce,Pesca,FishingCursor,18,17634
20,Runografia,Tomi,Decifra,,19,0
21,Apertura da veicolo,Oggetti non chiusi,Apri,,20,0
22,Archeologia,Frammenti,Rileva,,21,0
23,Apertura rapida PvP,Oggetti non chiusi,Apri,,22,0
28,Segheria (WoD),Tronco,Raccogli,HarvestTimber,23,0
29,Scuoiatura,Cuoio,Scuoia,skin,24,0
30,Mana Antico,Depositi di mana,Estrai,Extract,25,0
31,Bacheca di Guerra,Bacheche di Guerra,Ispeziona,,26,0
32,Erbalismo,Erbe,Raccogli,GatherHerbs,27,17635
33,Erbalismo,Erbe,Raccogli,GatherHerbs,28,17635
34,Erbalismo,Erbe,Raccogli,GatherHerbs,29,17635
35,Erbalismo,Erbe,Raccogli,GatherHerbs,30,17635
36,Erbalismo,Erbe,Raccogli,GatherHerbs,31,17635
37,Erbalismo,Erbe,Raccogli,GatherHerbs,32,17635
38,Erbalismo,Erbe,Raccogli,GatherHerbs,33,17635
39,Erbalismo,Erbe,Raccogli,GatherHerbs,34,17635
40,Estrazione,Depositi minerari,Piccona,Mine,35,17636
41,Estrazione,Depositi minerari,Piccona,Mine,36,17636
42,Estrazione,Depositi minerari,Piccona,Mine,37,17636
43,Estrazione,Depositi minerari,Piccona,Mine,38,17636
44,Estrazione,Depositi minerari,Piccona,Mine,39,17636
45,Estrazione,Depositi minerari,Piccona,Mine,40,17636
46,Estrazione,Depositi minerari,Piccona,Mine,41,17636
47,Estrazione,Depositi minerari,Piccona,Mine,42,17636
48,Scuoiatura,Cuoio,Scuoia,skin,43,0
149,Apri (Apri Oggetti Chiusi nell'Inventario),Oggetti non chiusi,Apri,,44,0
150,Foraggio,Foraggio,Foraggio,ForagePlants,45,0
152,Deposito di Pappa Reale,Pappa Reale,Raccogli,,46,0
