ID,Text_lang,RelationshipFlags,EmotesTextID
1,%s è d'accordo con %s.,0,1
2,%s è d'accordo con te.,1,1
3,Sei d'accordo con %s.,2,1
4,%s è d'accordo.,4,1
5,Sei d'accordo.,6,1
6,%s è senza parole di fronte a %s!,0,2
7,%s è senza parole di fronte a te!,1,2
8,Sei senza parole di fronte a %s!,2,2
9,%s è senza parole!,4,2
10,Sei senza parole!,6,2
11,%s alza furiosamente il pugno verso di %s.,0,3
12,%s alza furiosamente il pugno verso di te.,1,3
13,Alzi furiosamente il pugno verso %s.,2,3
14,%s alza furiosamente il pugno.,4,3
15,Alzi furiosamente il pugno.,6,3
16,%s alza furiosamente il pugno verso di %s.,8,3
17,%s alza furiosamente il pugno verso di te.,9,3
18,%s alza furiosamente il pugno.,12,3
19,%s si scusa con %s. Perdono!,0,4
20,%s si scusa con te. Perdono!,1,4
21,Ti scusi con %s. Perdono!,2,4
22,%s si scusa con tutti. Perdono!,4,4
23,Ti scusi con tutti. Perdono!,6,4
24,%s applaude %s. Bravo!,0,5
25,%s ti applaude. Bravo!,1,5
26,Applaudi %s. Bravo!,2,5
27,%s applaude. Bravo!,4,5
28,Applaudi. Bravo!,6,5
29,%s è troppo titubante per attirare l'attenzione di %s.,0,6
30,%s è troppo titubante per attirare la tua attenzione.,1,6
31,Sei troppo titubante per attirare l'attenzione di %s.,2,6
32,%s è troppo titubante.,4,6
33,Sei troppo titubante.,6,6
34,%s chiama a sé %s.,0,7
35,%s ti chiama a sé.,1,7
36,Chiami a te %s.,2,7
37,%s chiama a sé tutti quanti.,4,7
38,Chiami a te tutti quanti.,6,7
39,%s supplica %s. Toccante.,0,8
40,%s ti supplica. Toccante.,1,8
41,Supplichi %s. Toccante.,2,8
42,%s supplica tutti quelli che lo circondano. Toccante.,4,8
43,Supplichi tutti quelli che ti circondano. Toccante.,6,8
44,%s supplica tutti quelli che la circondano. Toccante.,12,8
45,%s morde %s. Ahia!,0,9
46,%s ti morde. Ahia!,1,9
47,Mordi %s. Ahia!,2,9
48,%s si guarda in giro alla ricerca di qualcuno da mordere.,4,9
49,Ti guardi in giro alla ricerca di qualcuno da mordere.,6,9
50,Il sangue sgorga dalle ferite di %s.,4,10
51,Il sangue sgorga dalle tue ferite.,6,10
52,%s strizza l'occhio a %s.,0,11
53,%s ti strizza l'occhio.,1,11
54,Strizzi l'occhio a %s.,2,11
55,%s strizza l'occhio.,4,11
56,Strizzi l'occhio.,6,11
57,%s arrossisce davanti a %s.,0,12
58,%s arrossisce davanti a te.,1,12
59,Arrossisci davanti a %s.,2,12
60,%s arrossisce.,4,12
61,Arrossisci.,6,12
62,%s colpisce %s sulla zucca. Doh!,0,13
63,%s ti colpisce sulla zucca. Doh!,1,13
64,Colpisci %s sulla zucca. Doh!,2,13
65,%s si colpisce sulla zucca. Doh!,4,13
66,Ti colpisci sulla zucca. Doh!,6,13
67,%s si colpisce sulla zucca. Doh!,12,13
68,%s si sta annoiando terribilmente con %s.,0,14
69,%s si sta annoiando terribilmente con te.,1,14
70,Ti stai annoiando terribilmente con %s.,2,14
71,%s si sta annoiando terribilmente. Che fatica!,4,14
72,Ti stai annoiando terribilmente. Che fatica!,6,14
73,%s saltella di fronte a %s.,0,15
74,%s saltella di fronte a te.,1,15
75,Saltelli di fronte a %s.,2,15
76,%s saltella su e giù.,4,15
77,Saltelli su e giù.,6,15
78,"%s tornerà presto. Resisti, %s.",0,16
79,%s tornerà presto. Resisti.,1,16
80,Fai sapere a %s che tornerai presto.,2,16
81,%s tornerà presto.,4,16
82,Fai sapere a tutti che tornerai presto.,6,16
83,%s si inchina di fronte a %s.,0,17
84,%s si inchina di fronte a te.,1,17
85,Ti inchini di fronte a %s.,2,17
86,%s si inchina con grazia.,4,17
87,Ti inchini con grazia.,6,17
91,%s rutta sonoramente.,4,18
92,Rutti sonoramente.,6,18
93,%s dice addio a %s. Addio!,0,19
94,%s ti dice addio. Addio!,1,19
95,Dici addio a %s. Addio!,2,19
96,%s dice addio a tutti quanti. Addio!,4,19
97,Dici addio a tutti quanti. Addio!,6,19
98,%s schiamazza maniacalmente verso %s.,0,20
99,%s schiamazza maniacalmente verso di te.,1,20
100,Schiamazzi maniacalmente verso %s.,2,20
101,%s schiamazza maniacalmente per la situazione.,4,20
102,Schiamazzi maniacalmente per la situazione.,6,20
103,%s acclama %s.,0,21
104,%s ti acclama.,1,21
105,Acclami %s.,2,21
106,%s acclama tutti!,4,21
107,Acclami tutti!,6,21
108,"Sbattendo le braccia, %s saltella attorno a %s. Cooo, cooo, coccodè!",0,22
109,"Sbattendo le braccia, %s saltella attorno a te. Cooo, cooo, coccodè!",1,22
110,"Sbattendo le braccia, saltelli attorno a %s. Cooo, cooo, coccodè!",2,22
111,"Sbattendo le braccia, %s saltella in giro. Cooo, cooo, coccodè!",4,22
112,"Sbattendo le braccia, saltelli in giro. Cooo, cooo, coccodè!",6,22
113,%s ridacchia guardando %s.,0,23
114,%s ridacchia guardando te.,1,23
115,Ridacchi guardando %s.,2,23
116,%s ridacchia guardandosi attorno.,4,23
117,Ridacchi guardandoti attorno.,6,23
118,%s applaude con foga verso %s.,0,24
119,%s applaude con foga verso di te.,1,24
120,Applaudi con foga %s.,2,24
121,%s applaude con foga.,4,24
122,Applaudi con foga.,6,24
123,%s osserva %s con sguardo confuso.,0,25
124,%s ti osserva con sguardo confuso.,1,25
125,Osservi %s con sguardo confuso.,2,25
126,%s si guarda in giro con sguardo confuso.,4,25
127,Ti guardi in giro con sguardo confuso.,6,25
128,%s si congratula con %s.,0,26
129,%s si congratula con te.,1,26
130,Ti congratuli con %s.,2,26
131,%s si congratula con tutti.,4,26
132,Ti congratuli con tutti.,6,26
133,%s tossisce violentemente.,0,27
134,%s tossisce violentemente.,1,27
135,Tossisci violentemente.,2,27
136,%s tossisce violentemente.,4,27
137,Tossisci violentemente.,6,27
138,%s trema alla vista di %s.,0,28
139,%s trema alla tua vista.,1,28
140,Tremi alla vista di %s.,2,28
141,%s trema di paura.,4,28
142,Tremi di paura.,6,28
143,%s si scrocchia le dita guardando %s.,0,29
144,%s si scrocchia le dita guardandoti.,1,29
145,Ti scrocchi le dita mentre guardi %s.,2,29
146,%s si scrocchia le dita.,4,29
147,Ti scrocchi le dita.,6,29
148,%s si scrocchia le dita guardando %s.,8,29
149,%s si scrocchia le dita guardandoti.,9,29
150,%s si scrocchia le dita.,12,29
151,%s si acquatta per il terrore di fronte a %s.,0,30
152,%s si acquatta per il terrore di fronte a te.,1,30
153,Ti acquatti per il terrore di fronte a %s.,2,30
154,%s si acquatta per il terrore.,4,30
155,Ti acquatti per il terrore.,6,30
156,%s piange sulla spalla di %s.,0,31
157,%s piange sulla tua spalla.,1,31
158,Piangi sulla spalla di %s.,2,31
159,%s piange.,4,31
160,Piangi.,6,31
161,%s si chiede cosa ha in mente %s.,0,32
162,%s si chiede cosa hai in mente.,1,32
163,Ti chiedi cosa ha in mente %s.,2,32
164,%s esprime la sua curiosità a tutti quanti.,4,32
165,Esprimi la tua curiosità a tutti quanti.,6,32
166,%s esprime la sua curiosità a tutti quanti.,12,32
167,%s fa la riverenza a %s.,0,33
168,%s fa la riverenza a te.,1,33
169,Fai la riverenza a %s.,2,33
170,%s fa una riverenza.,4,33
171,Fai una riverenza.,6,33
172,%s balla con %s.,0,34
173,%s balla con te.,1,34
174,Balli con %s.,2,34
175,%s inizia a ballare.,4,34
176,Inizi a ballare.,6,34
177,%s alza un boccale in onore di %s. Salute!,0,35
178,%s alza un boccale in tuo onore. Salute!,1,35
179,Alzi un boccale in onore di %s. Salute!,2,35
180,%s alza un boccale in aria prima di berlo in un colpo solo. Salute!,4,35
181,Alzi un boccale in aria prima di berlo in un colpo solo. Salute!,6,35
182,Un fiume di bava scorre dalla bocca di %s.,0,36
183,Un fiume di bava scorre dalla bocca di %s.,1,36
