ID,Name_lang,Sex,BaseSection,UiCustomizationType,Flags,ComponentSection[0],ComponentSection[1],ComponentSection[2],RaceID
1,Pelle,3,0,0,4,-1,-1,-1,0
2,Tratti del viso,3,1,1,0,-1,-1,-1,0
3,Capelli,3,3,2,0,-1,-1,-1,0
4,Tinta,3,3,3,4,-1,-1,-1,0
5,Barba e baffi,3,2,4,0,-1,-1,-1,0
6,Tatuaggio,3,5,5,1,12,-1,-1,4
7,Corna,3,6,6,0,-1,-1,-1,0
8,Benda,3,7,7,0,-1,-1,-1,0
9,Colore,3,5,8,5,12,-1,-1,4
10,Piercing,1,2,4,0,-1,-1,-1,1
11,Piercing,1,2,4,0,-1,-1,-1,2
12,Piercing,1,2,4,0,-1,-1,-1,3
13,Marchi,1,2,4,0,-1,-1,-1,4
14,Caratteristiche,3,2,4,0,-1,-1,-1,5
15,Capelli,1,2,4,0,-1,-1,-1,6
16,Corna,3,3,2,0,-1,-1,-1,6
17,Colore corna,3,3,3,4,-1,-1,-1,6
18,Orecchini,1,2,4,0,-1,-1,-1,7
19,Zanne,3,2,4,0,-1,-1,-1,8
20,Orecchie,3,2,4,0,-1,-1,-1,9
21,Orecchini,1,2,4,0,-1,-1,-1,10
22,Orecchie,1,2,4,0,-1,-1,-1,22
23,Corna,1,2,4,0,-1,-1,-1,11
24,Corna,1,2,4,0,-1,-1,-1,30
25,Runa,3,7,7,0,-1,-1,-1,30
26,Orecchini,1,2,4,0,-1,-1,-1,24
27,Orecchini,1,2,4,0,-1,-1,-1,25
28,Orecchini,1,2,4,0,-1,-1,-1,26
29,Zanne,3,6,6,0,-1,-1,-1,31
30,Orecchini,3,7,7,0,-1,-1,-1,31
31,Accessori,1,2,4,0,-1,-1,-1,31
32,Stile tatuaggio,3,5,5,1,13,-1,-1,31
34,Tatuaggio,3,5,5,1,12,-1,-1,10
35,Colore,3,5,8,5,12,-1,-1,10
36,Tatuaggio,3,5,5,1,12,-1,-1,30
37,Tatuaggio,3,5,5,1,13,-1,-1,28
38,Capelli,1,2,4,0,-1,-1,-1,28
39,Corna,3,3,2,0,-1,-1,-1,28
40,Colore corna,3,3,3,4,-1,-1,-1,28
41,Orecchini,1,2,4,0,-1,-1,-1,29
42,Tatuaggio,3,5,5,1,13,-1,-1,27
43,Orecchini,1,2,4,0,-1,-1,-1,27
44,Orecchini,0,2,4,0,-1,-1,-1,27
46,Postura,0,7,7,0,-1,-1,-1,2
47,Tatuaggio,0,6,6,0,13,-1,-1,34
48,Tatuaggio,1,5,5,0,13,-1,-1,34
49,Postura,0,7,7,0,-1,-1,-1,36
50,Pelle,3,0,0,5,-1,-1,-1,36
52,Piercing,0,5,5,0,-1,-1,-1,34
153,Motivo,3,5,5,3,13,-1,-1,35
155,Orecchini,1,6,6,0,-1,-1,-1,32
156,Collana,1,7,7,0,-1,-1,-1,32
157,Braccia Meccaniche,3,6,6,0,0,1,-1,37
158,Gambe Meccaniche,3,7,7,0,5,6,-1,37
159,Modifiche,3,5,5,0,9,10,-1,37
160,Muso,3,6,6,0,-1,-1,-1,35
161,Orecchie,3,2,4,0,-1,-1,-1,35
162,Pelle,3,0,0,5,-1,-1,-1,35
163,Stile tatuaggio,3,5,5,0,-1,-1,-1,0
164,Barba e baffi,0,2,4,0,-1,-1,-1,6
165,Pelle,3,0,0,4,-1,-1,-1,6
166,Accessori,1,2,4,0,-1,-1,-1,36
167,Accessori,1,2,4,0,-1,-1,-1,34
168,Sopracciglia,1,2,4,0,-1,-1,-1,32
169,Pelle,3,0,0,4,-1,-1,-1,28
170,Barba e baffi,0,2,4,0,-1,-1,-1,28
171,Pelle,3,0,0,4,-1,-1,-1,24
172,Barba e baffi,0,2,4,0,-1,-1,-1,24
173,Capelli,0,3,2,0,-1,-1,-1,24
174,Capelli,3,3,4,0,-1,-1,-1,35
175,Viso,3,1,1,0,-1,-1,-1,36
176,Viso,3,1,1,0,-1,-1,-1,35
177,Viso,3,1,1,0,-1,-1,-1,6
178,Viso,3,1,1,0,-1,-1,-1,28
179,Viso,3,1,1,0,-1,-1,-1,24
180,Piercing,1,2,4,0,-1,-1,-1,23
