Name_lang,Description_lang,ID,UiTextureAtlasElementID,TraitTreeID
Yellow [DNT],[DNT] This is a UI Engineering test SubTree.,9,18688,898
Pink [DNT],[DNT] This is a UI Engineering test SubTree.,10,4076,898
Blue [DNT],[DNT] This is a UI Engineering test SubTree.,11,4073,898
Red [DNT],[DNT] This is a UI Engineering test SubTree.,12,11358,898
UI Test Subtree 1,Descrizione,16,11409,878
UI Test Subtree 2,Altra descrizione,17,0,880
Tessitore del Vuoto,"I Tessitori del Vuoto si sono dedicati allo studio delle origini della magia del Vuoto e hanno scoperto un modo per instaurare una debole connessione con tale dimensione. Si tratta di un potere incredibilmente pericoloso e instabile, capace di consumare chiunque si trovi sul suo cammino.",18,26682,795
Arconte,"Gli Arconti sono estremamente devoti e intimamente connessi alla Luce e all'Ombra. Essi, grazie all'intercessione di esseri superiori, possono entrare in uno stato di ascensione, trasformandosi in una forma più definitiva.",19,27430,795
Oracolo,Gli oracoli riescono a scrutare nel futuro per proteggere e rigenerare i propri alleati. La capacità di scrutare nel futuro conferisce agli Oracoli l'abilità di garantire benedizioni e vantaggi prima ancora che i loro alleati si rendano conto di averne bisogno.,20,26934,795
Druido dell'Unghia,"I Druidi dell'Unghia sono maestri delle forme animali. Quando mutano in orsi o felini, si trasformano in feroci combattenti e protettori della selva.",21,26675,793
Cacciaselve,"I Cacciaselve vivono tra le remote terre selvagge, cacciando per perpetuare il ciclo della vita e della morte e per annientare coloro che vorrebbero contaminare la natura. Inoltre usano i loro poteri curativi per dare nuova vita alle terre aride.",22,26677,793
Custode del Boschetto,I Custodi del Boschetto sono ispirati ai potenti figli di Cenarius che proteggono l'equilibrio della natura e il Sogno. Canalizzano il potere del Sogno per migliorare i loro incantesimi ed evocano potenti Treant per proteggere gli alleati e schiacciare i nemici.,23,26686,793
Prescelto di Elune,I Prescelti di Elune dedicano la propria vita alla Dea della Luna e possono sfruttare la sua connessione con la luna e le stelle. Le loro abilità sono infuse con potenza astrale e possono richiamare potenti magie lunari dal cielo.,24,26685,793
Assaltatori,Brann abbatte i nemici a distanza impugnando Vecchio Arnese.,29,24179,874
Guaritore,Brann sfrutta le sue scorte mediche e le reliquie raccolte per curare i personaggi feriti.,30,24186,874
San'layn,I San'layn eccellono nell'uso del sangue e della magia dell'ombra per indebolire i propri nemici e migliorare le proprie abilità.,31,26673,750
Cavaliere dell'Apocalisse,"I Cavalieri dell'Apocalisse evocano il potere dei leggendari Quattro Cavalieri. Possono chiedere aiuto ai Cavalieri e attingere ai poteri della morte, della carestia e della peste.",32,27222,750
Araldo della Morte,Diventa un emissario della morte. Prendi di mira l'anima dei tuoi nemici con attacchi alimentati dal potere delle Terretetre e ricorda loro l'inevitabile destino che li attende.,33,26672,750
Vilsfregiato,I Vilsfregiati entrano in comunione col proprio demone interiore per amplificare la potenza esplosiva della scia di fuoco che brandiscono.,34,27066,854
Razziatore Aldrachi,"I combattenti Aldrachi sono campioni nell'uso delle lame che impugnano con grazia letale, infondendole di un potere superiore per consumare anime.",35,27132,854
Comandante delle Scaglie,"I Comandanti delle Scaglie sono dei leader nati, capaci di ispirare i propri seguaci a dare il massimo. Sono i generali prescelti dai Dracthyr e sfruttano i loro incantesimi potenziati per impartire ordini di battaglia ed evocare le truppe.",36,27067,872
Plasmafiamme,"I Plasmafiamme sono in profonda sintonia con Alexstrasza e la loro specialità è la protezione degli alleati, il rinvigorimento e il rinnovo. Hanno anche la peculiare abilità di diffondere, amplificare e manipolare la fiamma draconica.",37,27223,872
Cronoguardiano,"I Cronoguardiani manipolano il tempo per scrutare nel futuro e velocizzare gli attacchi, richiamando gli echi del passato per modificare le loro azioni. La specializzazione nella magia del bronzo può causare delle instabilità a causa dei possibili futuri che i Cronoguardiani sono in grado di vedere.",38,26678,872
Furia del Sole,"Grazie all'utilizzo delle fiamme arcane i Maghi Furia del Sole sono in grado di rafforzare i propri incantesimi più devastanti, fino a invocare l'aiuto di una Fenice di Fuocoincanto.",39,27133,658
Scagliamagie,"Padroneggiare la natura intrinsecamente instabile della magia consente agli Scagliamagie di manipolare i propri incantesimi, producendo nuovi effetti estremamente potenti e instabili.",40,27429,658
Fuocogelo,"I Maghi Fuocogelo sono in grado di imbrigliare e combinare forze elementali all'apparenza incompatibili. Padroneggiando queste forze opposte, sono in grado di migliorare i propri attacchi elementali fino a combinarli per ottenere ancora più potere.",41,27017,658
