ID,FeatureDescription_lang,FeatureIcon,ParentID
1,Padroneggia la nuova classe Cacciatore di Demoni,1260827,2
2,Raggiungi il livello 110 combattendo sulle Isole Disperse,1064187,2
4,Affronta migliaia di nuove missioni!,236669,5
5,Combatti fino al livello 100 sul mondo di Draenor,1033987,5
6,Costruisci e potenzia la tua Guarnigione,1033989,5
7,Affronta migliaia di nuove missioni!,236669,4
8,Combatti fino al livello 70,236567,4
9,"Sblocca nove espansioni, inclusa Dragonflight",1064187,4
10,Recluta Razze Alleate,413576,6
11,Combatti fino al livello 120 a Kul Tiras e a Zandalar,1064187,6
12,Potenzia un personaggio al livello 110,1033988,6
116,Combatti fino al livello 60 nelle Terretetre,236567,115
117,Unisciti a una Congrega e sfrutta il suo potere,3726261,115
118,"Scala Torgast, Torre dei Dannati",3257863,115
122,Combatti fino al livello 70 sulle Isole dei Draghi,1064187,135
123,Padroneggia la nuova classe Evocatore Dracthyr,4696175,135
124,Sperimenta l'emozione del Volo Draconico,4640496,135
125,Inizia l'avventura della Saga dell'Anima del Mondo,1064187,143
126,Combatti fino al livello 80 man mano che ottieni nuovi e potenti talenti eroici,135981,143
127,Esplora le Scorribande con il tuo compagno PNG,1786405,143
131,Preacquista Midnight e continua l'epica Saga dell'Anima del Mondo,1778229,149
132,"Affronta ora The War Within con nuove Scorribande, spedizioni e incursioni",6025441,149
133,Ricevi le chiavi della tua casa e colleziona decorazioni per personalizzarla,7252953,149
