Name_lang,ID,SpecSetID,InventoryTypeMask,SpellID,ItemBonusListID,PlayerConditionID,Field_9_0_1_34972_007,UnlockItemID,CovenantID,Field_9_1_0_38549_010
Ghiaccio Scivoloso,2,22,192,327508,6823,85782,63,183281,0,0
Fronte Gelido,3,22,1114144,327284,6828,85779,60,183278,0,0
Venti Gelidi,4,22,1026,327364,6829,85780,61,183279,0,0
Frammenti Glaciali,5,22,65664,327492,6830,85781,62,183280,0,0
Potenziale Esteso,6,162,320,327489,6831,85768,49,183267,0,0
Comando Disciplinare,7,162,2560,327365,6832,85132,48,183266,0,0
Stalattite Spaventosa,8,162,14,333393,6937,85769,50,183268,0,0
Distorsione Temporale,9,162,1050656,327351,6834,85774,55,183273,0,0
Incantamento Febbrile,10,23,1090,333030,6931,85775,56,183274,0,0
Tempesta di Fuoco,11,23,2056,333097,6932,85776,58,183275,0,0
Cielo Fuso,12,23,516,333167,6933,85777,57,183276,0,0
Benedizione del Re del Sole,13,23,1536,333313,6934,85778,59,183277,0,0
Infinito Arcano,14,21,1032,332769,6926,85772,53,183271,0,0
Bombardamento Arcano,15,21,65792,332892,6927,85771,52,183270,0,0
Tempesta d'Aspirazione,16,21,1408,332928,6928,85773,54,183272,0,0
Protezione della Trinità,17,162,1048612,333373,6936,85770,51,183269,0,92618
Angoscia Collettiva,18,8,66048,337504,7041,85718,18,183213,0,0
Vilbombardamento,19,8,14,337775,7052,85128,19,183210,0,92614
Medaglione Lumenero,20,8,68,337534,7043,85717,17,183212,0,0
Ora Più Oscura,21,8,160,337539,7044,85716,16,183211,0,0
Natura Oscura,22,9,392,346264,7218,85722,21,183217,0,0
Teoria del Caos,23,9,1088,337551,7050,85719,20,183214,0,0
Vilnucleo Erratico,24,9,2304,337685,7051,85720,22,183215,0,0
Ferita Bruciante,25,9,65568,346279,7219,85721,23,183216,0,0
Spirito delle Fiamme Oscure,26,10,6,337541,7045,85726,25,183221,0,0
Profanazione di Razelikh,27,10,640,337544,7046,85725,27,183220,0,0
Fortificazione di Vilfiamma,28,10,2112,337545,7047,85723,24,183218,0,0
Anima Ardente,29,10,1536,337547,7048,85724,26,183219,0,0
Supersforzo,30,43,36,334974,6953,85703,3,182627,0,0
Morte e Disperazione,31,43,14,335177,6954,85702,2,182626,0,92612
Abbraccio della Morte,32,43,2560,334728,6947,85127,0,182617,0,0
Stretta dell'Imperituro,33,43,320,334724,6948,85701,1,182625,0,0
Vigore di Bryndaor,34,5,65792,334501,6940,85704,4,182628,0,0
Arma Runica Cremisi,35,5,1096,334525,6941,85705,5,182629,0,0
Dominio di Malacarne,36,5,384,334580,6943,85706,6,182630,0,0
Aura Vampirica,37,5,2080,334547,6942,85707,7,182631,0,0
Favore di Koltira,38,6,2056,334583,6944,85711,10,182635,0,0
Freddo Pungente,39,6,66,334678,6945,85709,8,182633,0,0
Zero Assoluto,40,6,516,334692,6946,85708,9,182632,0,0
Rabbia del Campione Ghiacciato,41,6,3584,341724,7160,85710,11,182634,0,0
Errante Rianimato,42,7,192,334836,6949,85715,15,182640,0,0
Mostruosità Frenetica,43,7,65664,334888,6950,85714,14,182638,0,0
Certezza della Morte,44,7,1030,334898,6951,85713,13,182637,0,0
Spira Letale,45,7,65568,334949,6952,85712,12,182636,0,0
Fiasca del Focus Profondo,46,48,1048612,338658,7086,85728,31,183224,0,92615
Circolo della Vita e della Morte,47,48,2050,338657,7085,85727,30,183223,0,0
Barlume Sfuggente di Lycara,48,48,320,340059,7110,85729,29,183225,0,0
Giuramento del Druido Anziano,49,48,520,338608,7084,85129,28,183222,0,0
Visione Limpida di Oneth,50,15,65792,338661,7087,85731,32,183227,0,0
Pulsazione Arcanica Primordiale,51,15,3080,338668,7088,85732,33,183228,0,0
Equilibrio di Tutte le Cose,52,15,384,339942,7107,85730,34,183226,0,0
Vincolasogni Logoro,53,15,1050656,339949,7108,85733,35,183229,0,0
Frenesia,54,16,576,340053,7109,85737,39,183233,0,0
Bramosia del Grande Predatore,55,16,72,339139,7091,85734,38,183230,0,0
Occhio della Simmetria Spaventosa,56,16,1030,339141,7090,85736,37,183232,0,0
Ninnolo Occhio Felino,57,16,2052,339144,7089,85735,36,183231,0,0
Abbraccio Infuso di Luffa,58,17,1114144,339060,7092,85738,40,183234,0,0
Volontà dell'Ordine Naturale,59,17,1538,339063,7093,85739,41,183235,0,0
Rinomata Furia di Ursoc,60,17,65664,339056,7094,85740,42,183236,0,0
Retaggio del Dormiente,61,17,320,339062,7095,85741,43,183237,0,0
Ricordo dell'Albero Madre,62,18,640,339064,7096,85744,44,183240,0,0
Lezione del Titano Oscuro,63,18,65540,338831,7097,85745,45,183241,0,0
Infusione Verdeggiante,64,18,66568,338829,7098,85742,46,183238,0,0
Visione della Crescita Eterna,65,18,386,338832,7099,85743,47,183239,0,0
Richiamo Selvaggio,66,163,2560,336742,7003,85131,147,183250,0,0
Apparato da Bracconaggio di Nesingwary,67,163,324,336743,7004,85754,146,183252,0,0
Braci della Forgia dell'Anima,68,163,2058,336745,7005,85755,145,183253,0,0
Stratagemma Vile,69,163,36,336747,7006,85753,144,183251,0,92617
Comando Feroce,70,44,2080,336819,7007,85756,151,183254,0,0
Morso del Cobra del Destafiamme,71,44,384,336822,7008,85757,150,183255,0,0
"Qa'pla, Ordine di Guerra in Eredun",72,44,1032,336830,7009,85758,148,183256,0,0
Zanne Perforanti del Predatore di Rylak,73,44,65920,336844,7010,85759,149,183257,0,0
