ID,FullName_lang,ShortName_lang,GroupFinderCategoryID,OrderIndex,GroupFinderActivityGrpID,Flags,MinGearLevelSuggestion,PlayerConditionID,MapID,DifficultyID,AreaID,MaxPlayers,DisplayType,Field_11_0_7_57361_013,Field_11_0_7_57361_014,Field_11_0_7_57361_015,Field_11_0_7_57361_016,OverrideContentTuningID,MapChallengeModeID
2,Teldrassil,Teldrassil,1,0,3,258,0,0,1,0,141,0,4,0,0,0,0,0,0
3,Marche Occidentali,Marche Occidentali,1,0,2,258,0,0,0,0,40,0,4,0,0,0,0,0,0
4,Assedio di Orgrimmar (Normale),Normale,3,0,1,35,0,0,1136,14,0,30,0,0,0,0,0,0,0
6,Arena (2v2),2v2,4,0,0,36,0,78463,0,0,0,2,2,0,0,0,0,0,0
7,Arena (3v3),3v3,4,1,0,36,0,78463,0,0,0,3,2,0,0,0,0,0,0
9,Nucleo Ardente,Nucleo Ardente,3,-1,0,34,0,0,409,9,0,40,0,0,0,0,0,0,0
14,Schermaglie in arena (2v2),2v2,7,0,0,36,0,86427,0,0,0,2,2,0,0,0,0,0,0
15,Campi di battaglia,Campi di battaglia,8,0,0,36,0,86429,0,0,0,5,1,0,0,0,0,0,0
16,PvA personalizzato,Personalizzato,6,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
17,PvP personalizzato,PvP Personalizzato,6,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Miniere della Morte (Normale),Normale,2,0,5,98,0,0,36,1,0,5,1,0,0,0,0,0,0
19,Campi di battaglia classificati,Campi di battaglia classificati,9,0,0,36,0,78463,0,0,0,0,0,0,0,0,0,0,0
21,Miniere dei Magliorosso (Normale),Normale,2,1,6,99,0,0,1175,1,0,5,1,0,0,0,0,0,0
22,Darsena di Ferro (Normale),Normale,2,1,7,99,50,87337,1195,1,0,5,1,0,0,0,0,0,0
23,Auchindoun (Normale),Normale,2,1,8,99,0,0,1182,1,0,5,1,0,0,0,0,0,0
24,Vetta dei Cieli (Normale),Normale,2,1,9,99,0,0,1209,1,0,5,1,0,0,0,0,0,0
25,Treno Frecciacupa (Normale),Normale,2,1,10,99,0,87337,1208,1,0,5,1,0,0,0,0,0,0
26,Verdeterno (Normale),Normale,2,1,11,99,0,0,1279,1,0,5,1,0,0,0,0,0,0
27,Necropoli dei Torvaluna (Normale),Normale,2,1,12,99,0,0,1176,1,0,5,1,0,0,0,0,0,0
28,Bastioni di Roccianera Superiori (Normale),Normale,2,1,13,99,0,0,1358,1,0,5,1,0,0,0,0,0,0
29,Miniere dei Magliorosso (Eroica),Eroica,2,2,6,99,0,0,1175,2,0,5,1,0,0,0,0,0,0
30,Darsena di Ferro (Eroica),Eroica,2,2,7,99,50,87337,1195,2,0,5,1,0,0,0,0,0,0
31,Auchindoun (Eroica),Eroica,2,2,8,99,0,0,1182,2,0,5,1,0,0,0,0,0,0
32,Auchindoun (Eroica),Eroica,2,2,9,99,0,0,1209,2,0,5,1,0,0,0,0,0,0
33,Treno Frecciacupa (Eroica),Eroica,2,2,10,99,0,87337,1208,2,0,5,1,0,0,0,0,0,0
34,Verdeterno (Eroica),Eroica,2,2,11,99,0,0,1279,2,0,5,1,0,0,0,0,0,0
35,Necropoli dei Torvaluna (Eroica),Eroica,2,2,12,99,0,0,1176,2,0,5,1,0,0,0,0,0,0
