Name_lang,ID,UiTextureKitID,UiNameColor,UiBarOverlayColor,UiBarBackgroundColor,ChrSpecializationID,Flags,ArtifactCategoryID,UiModelSceneID,SpellVisualKitID
Furia di Dandor,1,207,-11776,-382936,-2816,0,0,1,0,0
Brandicenere,2,207,-11776,16765504,4006400,70,0,1,28,82183
Lame Gemelle dell'Ingannatore,3,206,-2200833,16122111,8650889,577,0,1,23,82147
"Aluneth, Granbastone di Aegwynn",4,208,-1267719,6343151,8615067,62,0,1,26,82174
Scaglia del Custode della Terra,11,215,-44766,11010048,3276800,73,0,1,20,82029
Lame del Principe Caduto,12,214,-3804673,9152481,1447762,251,0,1,22,82144
"G'hanir, l'Albero Madre",13,217,-2031755,-5579161,-16291053,105,0,1,24,82149
Morso del Dannato,15,214,-3804673,-1494733,-12778752,250,0,1,22,82144
Apocalisse,16,214,-3804673,-12517523,-16761586,252,0,1,22,82144
Zanne del Divoratore,17,216,-45544,-1278118,-6935508,261,0,1,21,82029
"Grinfiartiglio, Lancia degli Dei Selvatici",34,226,-2031755,-13053570,-16760525,255,0,1,46,82153
Spadoni dei Valarjar,35,215,-44766,11010048,3276800,72,0,1,20,82029
"Strom'kar, la Spezzaguerra",36,215,-44766,11010048,3276800,71,0,1,20,82029
Teschio dei Man'ari,37,229,-4163342,-11204234,-16121829,266,2,1,32,82197
Scettro di Sargeras,38,229,-4163342,-7319653,-13500291,267,0,1,32,82197
"Ulthalesh, Mietitrice di Ventomorto",39,229,-4163342,-6665828,-11199626,265,0,1,32,82197
Pugno di Ra-Den,40,225,-9057793,-11808266,-16711616,262,0,1,31,82193
Martelfato,41,225,-9057793,-11806981,-13022058,263,2,1,31,82193
"Sharas'dal, Scettro delle Maree",42,225,-9057793,-16473972,-16753298,264,0,1,31,82193
Lame Sterminatrici di Re,43,216,-45544,-2522525,-9889768,259,0,1,21,82029
Lame dell'Oscurità,44,216,-45544,-1589760,0,260,0,1,21,82029
"T'uure, Faro dei Naaru",45,227,-8851726,-9699335,-16766881,257,0,1,29,82184
Ira della Luce,46,227,-8851726,-10424321,-16739937,256,0,1,29,82184
"Xal'atath, Lama dell'Impero Nero",47,241,-4163342,-7580513,-11986828,258,2,1,30,82190
Mano d'Argento,48,207,-11776,16765504,4006400,65,0,1,28,82183
Scudo della Verità,49,207,-11776,16765504,4006400,66,0,1,28,82183
Pugni del Cielo,50,228,-9044026,-12779585,-15226471,269,0,1,27,82181
"Sheilun, Bastone delle Nebbie",51,228,-9044026,-11733812,-16755897,270,0,1,27,82181
"Fu Zan, Compagno del Viandante",52,228,-9044026,-12452628,-16083317,268,0,1,27,82181
"Gelonero, Granbastone di Alodi",53,208,-1267719,6343151,8615067,64,0,1,26,82174
Felo'melorn,54,208,-1267719,-1065376,-6281667,63,2,1,26,82174
"Thas'dorah, Eredità dei Ventolesto",55,226,-2031755,-526230,-12430833,254,0,1,46,82153
Titanassalto,56,226,-2031755,-143103,0,253,0,1,46,82153
Artigli di Ursoc,57,217,-2031755,-5579161,-16291053,104,0,1,24,82149
Zanne di Grigiomanto,58,217,-2031755,-5579161,-16291053,103,0,1,24,82149
Falce di Elune,59,217,-2031755,-5579161,-16291053,102,0,1,24,82149
Lame da Guerra degli Aldrachi,60,206,-2200833,16122111,8650889,581,0,1,23,82147
Canna da Pesca di Sottoluce,73,227,-1,-10976565,-16772353,0,0,2,0,0
Spada del Giuramento,74,207,-11776,16765504,4006400,70,0,1,0,0
Test Artifact 2,80,207,-11776,16765504,4006400,70,0,1,18,23596
Test Artifact,81,207,-11776,16765504,4006400,65,0,1,0,0
Test Artifact 3,82,207,-11776,16765504,4006400,66,0,1,0,0
,89,0,-16777216,-1732055,0,0,0,1,0,0
Strumenti di Giustizia,194,227,-4207580,-1645248,-1890009,0,0,2,0,0
Ali di Guerra,195,227,-4207580,-1645248,-1890009,0,0,2,0,0
Sostenitori del Bastione,196,227,-4207580,-1645248,-1890009,0,0,2,0,0
Avanguardia Piederapido,197,227,-4207580,-1645248,-1890009,0,0,2,0,0
Vendetta Virtuosa,198,227,-4207580,-1645248,-1890009,0,0,2,0,0
Dottrina di Revendreth,199,214,-3804673,-1494733,-12778752,0,0,2,0,0
Dottrina di Revendreth,200,214,-3804673,-1494733,-12778752,0,0,2,0,0
Dottrina di Revendreth,201,214,-3804673,-1494733,-12778752,0,0,2,0,0
Dottrina di Revendreth,202,214,-3804673,-1494733,-12778752,0,0,2,0,0
Dottrina di Revendreth,203,214,-3804673,-1494733,-12778752,0,0,2,0,0
Sistema Talenti 1,205,214,-3804673,-1494733,0,0,0,2,0,0
Sistema Talenti 2,223,214,-3804673,-1494733,0,0,0,2,0,0
Sistema Talenti 3,225,214,-3804673,-1494733,0,0,0,2,0,0
"Strom'kar, la Spezzaguerra",234,215,-44766,11010048,3276800,71,0,1,20,82029
