Name_lang,Description_lang,ID,HouseLevelDataID,Field_12_0_0_63967_004,IconFileDataID
Collezione di stanze iniziale,Inizia a costruire la tua casa con tante forme di stanza di base. Ti diamo il benvenuto a casa!,11,35,0,4217590
Decorazioni esterne,Hai a disposizione 200 punti decorazione da collocare nel tuo cortile.,12,35,1,8164790
Armilla della Luce del Focolare,"Otterrai un'Armilla della Luce del Focolare, un congegno prodigioso in grado di controllare la luce dentro e fuori casa, sia per abbassarla che per aumentarla.|n|nPuoi acquistare copie aggiuntive dall'Ultimo Architetto nel tuo Vicinato.",23,52,0,7487068
Esterni della casa di medie dimensioni,Ora puoi utilizzare gli esterni di medie dimensioni per la tua casa.,24,53,0,7252953
Bonus al budget di posizionamento delle decorazioni e delle stanze,"Il budget di posizionamento delle stanze e il budget di posizionamento delle decorazioni per questo livello sono stati significativamente aumentati (+10 stanze, +500 decorazioni).",26,55,0,135769
Bonus al budget di posizionamento delle decorazioni e delle stanze,"Il budget di posizionamento delle stanze e il budget di posizionamento delle decorazioni per questo livello sono stati significativamente aumentati (+10 stanze, +500 decorazioni).",27,56,0,135769
Decorazioni esterne aumentate,"Ora hai a disposizione 50 punti decorazione aggiuntivi da collocare nel tuo cortile, per un totale di 250.",30,30,0,8164790
Decorazioni esterne aumentate,"Ora hai a disposizione 50 punti decorazione aggiuntivi da collocare nel tuo cortile, per un totale di 300.",38,34,0,8164790
Decorazioni esterne aumentate,"Ora hai a disposizione 50 punti decorazione aggiuntivi da collocare nel tuo cortile, per un totale di 350.",39,55,1,8164790
Tesori da terre lontane,Fai visita all'Ultimo Architetto nel tuo Vicinato una volta a settimana per ottenere una Sfera dell'Archiviazione Arcana che contiene una decorazione casuale proveniente dalla collezione dell'Ultimo Architetto.,40,66,0,7137527
Bonus al budget di posizionamento delle decorazioni e delle stanze,"Il budget di posizionamento delle stanze e il budget di posizionamento delle decorazioni per questo livello sono stati significativamente aumentati (+10 stanze, +500 decorazioni).",41,67,0,135769
Esterni della casa grandi,Ora puoi utilizzare gli esterni grandi per la tua casa.,42,68,0,7252953
