ID,Name_lang,Shortcut_lang,Flags,FactionGroup,Ruleset
1,Generale - %s,Generale,1572875,0,0
2,Commercio - %s,Commercio,1048635,0,0
22,DifesaLocale - %s,DifesaLocale,1114123,0,0
26,CercaGruppo,CercaGruppo,262152,0,0
27,CanaleMondialeGlobale,CanaleMondialeGlobale,8,0,0
28,PietraRitrovo,PietraRitrovo,8,0,0
32,Chat Novizi,ChatNovizi,14680072,0,1
33,zzOLD Shadowlands Beta Discussion,DiscussioneBetaShadowlands,2097160,0,0
34,zzOLD Shadowlands PTR Discussion,DiscussionePTRShadowlands,2097160,0,2
35,War Within Test Discussion,WarWithinTestDiscussion,6291465,0,0
36,Tempo di Cromie - Cataclysm,TempoCromie,2097160,0,2
37,Tempo di Cromie - Burning Crusade,TempoCromie,2097160,0,2
38,Tempo di Cromie - Wrath of the Lich King,TempoCromie,2097160,0,2
39,Tempo di Cromie - Mists of Pandaria,TempoCromie,2097160,0,2
40,Tempo di Cromie - Warlords of Draenor,TempoCromie,2097160,0,2
41,Tempo di Cromie - Legion,TempoCromie,2097160,0,2
42,Commercio (Servizi) - %s,Servizi,1048635,0,0
