ID,Description_lang,PendingText_lang,UiTextureKitID,GarrTypeID,GarrBuildingType,BaseCapacity,SmallDisplayInfoID,MediumDisplayInfoID,LargeDisplayInfoID,WorkingDisplayInfoID,WorkingSpellVisualID,CompleteSpellVisualID,MediumThreshold,LargeThreshold,Faction,CrossFactionID
2,,,0,2,17,1,16091,16092,16093,0,0,0,3,5,-1,0
3,,,0,2,0,2,439,7321,10344,0,0,0,3,5,-1,0
30,,È in arrivo una consegna di pesce fresco!,51,2,0,0,15020,0,0,0,0,0,5,5,-1,0
31,"Produce Catalizzatori Alchemici.

Puoi vedere i progressi nel Rapporto della Guarnigione.

Quando raggiunge il livello 2, puoi assegnare un seguace all'edificio dal Tavolo dell'Architetto per aumentarne la produzione.",Catalizzatore Alchemico,43,2,16,1,16091,16092,22545,0,0,0,14,21,1,57
32,"Produce carne, cuoio o pelliccia, a seconda della creatura catturata.

Quando raggiunge il livello 2, puoi assegnare un seguace all'edificio dal Tavolo dell'Architetto per aumentarne la produzione.",Produzione della Stalla,51,2,3,1,17819,14563,16155,0,0,0,14,21,-1,0
36,"Produce Risorse per la Guarnigione dai tronchi raccolti su Draenor.

Puoi vedere i progressi nel Rapporto della Guarnigione.

Passa a raccogliere gli oggetti una volta che saranno pronti.",Produzione della Segheria,54,2,4,1,16091,16092,19906,0,0,0,14,21,-1,0
37,"Produce Tessuti di Malastoffa.

Puoi vedere i progressi nel Rapporto della Guarnigione.

Quando raggiunge il livello 2, puoi assegnare un seguace all'edificio dal Tavolo dell'Architetto per aumentarne la produzione.",Tessuto di Malastoffa,52,2,23,1,16091,16092,22545,0,0,0,14,21,1,64
49,"Produce Lingotti di Veracciaio.

Puoi vedere i progressi nel Rapporto della Guarnigione.

Quando raggiunge il livello 2, puoi assegnare un seguace all'edificio dal Tavolo dell'Architetto per aumentarne la produzione.",Lingotto di Veracciaio,42,2,17,1,16091,16092,22545,0,0,0,14,21,1,58
50,"Produce Cuoio Brunito.

Puoi vedere i progressi nel Rapporto della Guarnigione.

Quando raggiunge il livello 2, puoi assegnare un seguace all'edificio dal Tavolo dell'Architetto per aumentarne la produzione.",Cuoio Brunito,49,2,22,1,16091,16092,22545,0,0,0,14,21,1,63
51,"Produce Cristalli di Taladite.

Puoi vedere i progressi nel Rapporto della Guarnigione.

Quando raggiunge il livello 2, puoi assegnare un seguace all'edificio dal Tavolo dell'Architetto per aumentarne la produzione.",Cristallo di Taladite,46,2,21,1,16091,16092,22545,0,0,0,14,21,1,62
