Name_lang,IconLocation[0],IconLocation[1],ID,WorldStateID,UiTextureAtlasMemberID,ScenarioID,WorldQuestID,WorldStateValue,InvasionEnabledWorldStateID,AreaTableID
Invasione della Legione - Savane Settentrionali,0.535,0.52,3,11325,5006,907,43282,1,10063,17
Invasione della Legione - Marche Occidentali,0.415,0.8,4,11331,5006,897,43245,1,10063,40
Invasione della Legione - Tanaris,0.555,0.85,5,11333,5006,806,43244,1,10063,440
Invasione della Legione - Dun Morogh,0.455,0.615,6,11326,5006,959,43284,1,10063,1
Invasione della Legione - Colletorto,0.465,0.42,7,11330,5006,916,43285,1,10063,267
Invasione della Legione - Azshara,0.61,0.39,8,11327,5006,958,43301,1,10063,16
Punto di Invasione: Aurinor,0.415,0.8,10,14061,5006,1391,48982,1,14328,9100
Punto di Invasione: Val,0.415,0.8,11,14062,5006,1406,49091,1,14328,9127
Punto di Invasione: Naigtal,0.415,0.8,12,14060,5006,1411,49096,1,14328,9102
Punto di Invasione: Sangua,0.415,0.8,13,14065,5006,1394,49097,1,14328,9128
Punto di Invasione: Cen'gar,0.415,0.8,14,14064,5006,1404,49098,1,14328,9126
Punto di Invasione: Bonich,0.415,0.8,15,14063,5006,1409,49099,1,14328,9180
Punto di Invasione Maggiore: Matrona Folnuna,0.415,0.8,16,14252,5006,1412,49199,1,14328,9295
Punto di Invasione Maggiore: Sotanathor,0.415,0.8,17,14253,5006,1418,49197,1,14328,9299
Punto di Invasione Maggiore: Inquisitore Meto,0.415,0.8,18,14248,5006,1420,49198,1,14328,9297
Punto di Invasione Maggiore: Dama Alluradel,0.415,0.8,19,14251,5006,1422,48620,1,14328,9300
Punto di Invasione Maggiore: Occularus,0.415,0.8,20,14250,5006,1419,49195,1,14328,9298
Punto di Invasione Maggiore: Signore delle Fosse Vilemus,0.415,0.8,21,14249,5006,1421,49196,1,14328,9296
Punto di Invasione: Cen'gar,0.415,0.8,22,14243,5006,1404,49098,1,14328,9126
Punto di Invasione: Aurinor,0.415,0.8,23,14246,5006,1391,48982,1,14328,9100
Punto di Invasione: Val,0.415,0.8,24,14245,5006,1406,49091,1,14328,9127
Punto di Invasione: Naigtal,0.415,0.8,25,14247,5006,1411,49096,1,14328,9102
Punto di Invasione: Sangua,0.415,0.8,26,14242,5006,1394,49097,1,14328,9128
Punto di Invasione: Bonich,0.415,0.8,27,14244,5006,1409,49099,1,14328,9180
Furia dei Cieli,0,0,130,22894,17396,2139,74378,1,23133,13992
