ID,Body_lang
83,questo è un test
84,"Grazie per la tua visita, $n. Mi riempie di gioia sapere che non siamo stati dimenticati."
85,"Grazie per la tua visita, $n. Mi riempie di gioia sapere che non siamo stati dimenticati."
86,"Questo piccolo dono non ti darà risposte, ma forse ti potrà essere utile."
87,"Salve di nuovo. Il mio nome è Gubber Blump.

Spero tu stia bene e che stia anche pescando. Adoro andare a pesca. I Blump sono una famiglia di pescatori. Prendi un ninnolo, così potrai pescare meglio. Io li uso sempre come esche. Buona fortuna, e grazie ancora per avermi aiutato a catturare quelle cernie.

Viva la pesca!

Gubber Blump"
88,"Grazie per la tua visita, $n. Mi riempie di gioia sapere che non siamo stati dimenticati."
89,"Grazie per la tua visita, $n. Mi riempie di gioia sapere che non siamo stati dimenticati."
90,"Grazie per la tua visita, $n. Mi riempie di gioia sapere che non siamo stati dimenticati."
91,"Questo piccolo dono non ti darà risposte, ma forse ti potrà essere utile."
92,"Grazie per la tua visita, $n. Mi riempie di gioia sapere che non siamo stati dimenticati."
93,"$gEgregio:Egregia; $n,$B$Bho esaminato i testi che mi hai portato e ho allegato a questa missiva il risultato della mia decodificazione. Ho selezionato solo ciò che ritenevo sarebbe stato utile. È stato piuttosto difficile raggiungere una cassetta della posta senza farmi notare, ma tutti i mesi passati a nascondermi in questo deserto mi hanno fatto diventare una vecchia volpe!$B$BSpero che siano di tuo gradimento.$B$BOrtell"
94,"Salute, $n!$B$BComincio a diventare piuttosto bravo a sgattaiolare nella Fortezza Cenariana per usare la loro cassetta della posta. Ho allegato nuovamente alcune cose che potrebbero interessarti. Spero che trovi qualcosa di utile!$B$BOrtell"
95,"Grazie per la tua visita, $n. Mi riempie di gioia sapere che non siamo stati dimenticati."
96,"Grazie per la tua visita, $n. Mi riempie di gioia sapere che non siamo stati dimenticati."
97,"Grazie per la tua visita, $n. Mi riempie di gioia sapere che non siamo stati dimenticati."
