ID,Name_lang,Tooltip_lang,Field_10_1_0_48776_002_lang,Field_8_2_0_30430_003
57,Bandiere conquistate,Quante volte hai conquistato la bandiera.,Bandiere conquistate,0
58,Mura distrutte,Quante volte hai distrutto le mura nemiche.,Mura distrutte,0
59,Edifici distrutti,Quante volte hai distrutto gli edifici nemici.,Edifici distrutti,0
60,Cancelli distrutti,Quante volte hai distrutto i cancelli nemici.,Cancelli distrutti,0
61,Cimiteri difesi,Quante volte è stata impedita la conquista del cimitero.,Cimiteri difesi,0
62,Bandiere riportate,Quante volte hai riportato alla base la bandiera.,Bandiere riportate,0
63,Torri assalite,Quante volte sono stati rimossi gli stendardi dalle torri nemiche.,Torri assalite,0
64,Obiettivi secondari,Numero di unità secondarie attivate.,Obiettivi secondari,0
65,Basi assalite,Quante volte sono stati rimossi gli stendardi della miniera nemica.,Basi assalite,0
67,Torri difese,Quante volte è stata impedita la conquista delle torri.,Torri difese,0
69,Basi difese,Quante volte è stata impedita la conquista della base.,Basi difese,0
70,Demolitori distrutti,Quante volte hai distrutto i Demolitori.,Demolitori distrutti,0
71,Cimiteri assaliti,Quante volte sono stati rimossi gli stendardi dai cimiteri nemici.,Cimiteri assaliti,0
75,Carri controllati,Numero di carri che hai aiutato a conquistare.,Carri controllati,0
78,Carrelli conquistati,Quante volte hai conquistato un carrello nemico.,Carrelli conquistati,0
79,Carrelli riportati,Quante volte hai riportato alla base un carrello.,Carrelli riportati,0
81,Miniere difese,Quante volte è stata impedita la conquista della miniera.,Miniere difese,0
87,Possessioni del Globo,Quante volte hai controllato il globo.,Possessioni del Globo,0
88,Punti Vittoria,Numero di Punti Vittoria guadagnati.,Punti Vittoria,0
89,Punteggio,Contributo verso la vittoria.,Punteggio,0
98,Manufatti recuperati,Frammenti di Manufatto totali recuperati e consegnati.,Manufatti Recuperati,0
99,Azerite raccolta,Azerite totale che hai raccolto.,Azerite raccolta,0
102,Ingredienti raccolti,Numero di ingredienti raccolti,Ingredienti raccolti,0
1092,Miniere assaltate,Quante volte sono stati rimossi gli stendardi della miniera nemica.,Miniere assaltate,0
1093,Bandiere conquistate,Quante volte hai conquistato la bandiera.,Bandiere conquistate,0
1097,Turni vinti,,Turni|nvinti,0
1100,Cristalli conquistati,Quante volte hai conquistato il cristallo,Cristalli conquistati,0
