Name_lang,Description_lang,ID,GarrTalentTreeID,Tier,UiOrder,IconFileDataID,PlayerConditionID,GarrAbilityID,Flags,TalentType,PrerequisiteTalentID,ResearchCostSource,ActiveDurationSecs,GarrTalentSocketPropertiesID
Brama di Sangue,"Sblocca l'abilità Bagno di Sangue, che aumenta la probabilità di successo nella prima missione di ogni giorno del ${$a701}%.",39,31,0,1,136012,41962,578,0,0,0,0,0,0
Reincarnazione,"Sblocca l'abilità Reincarnazione per tutte le missioni, fornendo una probabilità del ${$a772}% in caso di successo della missione di riportare in vita una truppa caduta con $m772 vitalità.",40,31,1,1,451167,41955,646,0,0,0,0,0,0
Dono Ancestrale,"In caso di successo della missione, fornisce una possibilità ai tuoi campioni di recuperare degli Armamenti o Equipaggiamenti da Campione.",41,31,2,1,237574,41958,788,0,0,0,0,0,0
Leggende Ancestrali,Aumenta il numero massimo di oggetti leggendari che puoi equipaggiare di ${$a898}.,42,31,5,0,237571,41961,0,0,0,0,0,0,0
Conoscenza Elementale,"Gli Elementali Minori appena reclutati diventano Elementali Superiori, aumentando la probabilità di successo della missione del ${$a638-$a637}%.",43,31,3,0,893777,41959,0,0,0,0,0,0,0
Sussurri della Terra,"I Circoli di Invocatori della Terra appena reclutati diventano Geomanti del Circolo della Terra, ottenendo:

|TInterface\ICONS\ABILITY_RHYOLITH_MAGMAFLOW_WAVE.BLP:20:20:0:0|t |CffffffffTempesta di Magma|R
$@garrabdesc583",44,31,3,1,451165,41959,0,0,0,0,0,0,0
Sorgete!,"Permette di reclutare Ascesi.

Gli Ascesi aumentano la probabilità di successo del ${$a650}% nelle missioni con |C00b3ffffpericoli|R, |C00b3ffffincantesimi|R o |C00b3ffffservitori|R (scelta casuale) e ottengono:

|TInterface\ICONS\ABILITY_DUALWIELDSPECIALIZATION.BLP:20:20:0:0|t |CffffffffFuria dell'Asceso|R
$@garrabdesc531",46,31,4,1,132148,41960,0,0,0,0,0,0,0
Movimento Spirituale,"In cambio di Risorse per l'Enclave, permette di assegnare un incarico di lavoro per uno dei tuoi tre Sigilli del Destino Infranto settimanali.",49,31,4,0,636335,41960,0,0,0,0,0,0,0
Cortile d'Addestramento,"Aumenta il numero massimo di Elementali Minori, Elementali Superiori, Invocatori della Terra e Geomanti che puoi reclutare di ${$a702}.",52,31,2,0,135776,41958,579,0,0,0,0,0,0
Vincolo Elementale,"Permette l'accesso ai Signori del Fuoco, della Terra, del Vento e dell'Acqua. Ogni giorno, un Signore Elementale casuale apparirà nella tua Enclave di Classe, fornendoti un potente bonus al combattimento.",53,31,1,0,135988,41955,0,0,0,0,0,0,0
Chiamata dello Spirito,Aumenta la probabilità di ottenere un Potenziamento Bonus raro o epico come ricompensa dalle missioni non ripetibili.,54,31,0,0,136014,41962,0,0,0,0,0,0,0
Fortuna Propizia,Aumenta la probabilità di ottenere un Potenziamento Bonus raro o epico come ricompensa dalle missioni non ripetibili.,248,4,0,0,636335,41962,0,0,0,0,0,0,0
Illuminazione,"Le truppe appena reclutate hanno una probabilità di essere promosse, diventando più potenti.

Gli Iniziati hanno una probabilità di diventare Adepti, e gli Adepti di diventare Maestri.",249,4,1,1,648628,41955,0,0,0,0,0,0,0
Sentiero dello Yak,"Gli Iniziati dello Yak appena reclutati diventano Adepti dello Yak, aumentando la probabilità di successo della missione del ${$a897-$a695}%.",250,4,3,0,620829,41959,0,0,0,0,0,0,0
Sentiero della Tigre,"Gli Iniziati della Tigre appena reclutati diventano Adepti della Tigre, ottenendo:

|TInterface\ICONS\ABILITY_MONK_CRANEKICK_NEW.BLP:20:20:0:0|t |CffffffffCalcio Rotante della Gru|R
$@garrabdesc576",251,4,3,1,611420,41959,0,0,0,0,0,0,0
Dormitori,"Aumenta il numero massimo di Iniziati dello Yak, Adepti dello Yak, Iniziati della Tigre e Adepti della Tigre che puoi reclutare di ${$a694}.",252,4,2,0,651489,41958,571,0,0,0,0,0,0
Busta Fortunata,"Sblocca l'abilità Busta Fortunata, che aumenta la probabilità di successo nella prima missione di ogni giorno del ${$a693}%.",253,4,0,1,134268,41962,570,0,0,0,0,0,0
Birrificio,"Permette l'accesso al Barile Ribollente all'interno della Locanda di Triplo Malto una volta al giorno.

Usare il Barile Ribollente fornisce importanti bonus mentre svolgi le missioni sulle Isole Disperse.",254,4,1,0,651573,41955,0,0,0,0,0,0,0
Pellegrinaggio,"In caso di successo della missione, fornisce una possibilità ai tuoi campioni di recuperare degli Armamenti o Equipaggiamenti da Campione.",255,4,2,1,775462,41958,785,0,0,0,0,0,0
Tutt'Uno col Destino,"In cambio di Risorse per l'Enclave, permette di assegnare un incarico di lavoro per uno dei tuoi tre Sigilli del Destino Infranto settimanali.",256,4,4,0,656322,41960,0,0,0,0,0,0,0
Favore Celestiale,"Permette di reclutare i Celestiali.

I Celestiali possiedono una specializzazione casuale del Monaco, possono contrastare un |C00b3ffffboss|R e ottengono:

|TInterface\ICONS\INV_CELESTIALSERPENTMOUNT.BLP:20:20:0:0|t |CffffffffEco del Celestiale|R
$@garrabdesc749",257,4,4,1,656166,41960,0,0,0,0,0,0,0
Pugni Leggendari,Aumenta il numero massimo di oggetti leggendari che puoi equipaggiare di ${$a898}.,258,4,5,0,606548,41961,0,0,0,0,0,0,0
Favore di Elune,Aumenta la probabilità di ottenere un Potenziamento Bonus raro o epico come ricompensa dalle missioni non ripetibili.,347,107,0,0,236151,41962,0,0,0,0,0,0,0
Purificazione,"In caso di successo della missione, fornisce una possibilità ai tuoi campioni di recuperare degli Armamenti o Equipaggiamenti da Campione.",348,107,2,1,1033478,41958,787,0,0,0,0,0,0
Forma Celere,"Sblocca l'abilità Forma Celere per tutte le missioni, che ne riduce la durata del ${100-$a715*100}%.",349,107,1,1,132144,41955,592,0,0,0,0,0,0
Ibernazione,"Aumenta il numero massimo di Treant del Bosco dei Sogni, Figlie di Cenarius, Druidi dell'Unghia e Custodi del Boschetto che puoi reclutare di ${$a900}.",350,107,2,0,132136,41958,753,0,0,0,0,0,0
Sorelle Ridenti,"I Treant del Bosco dei Sogni appena reclutati diventano Figlie di Cenarius, aumentando la probabilità di successo della missione del ${$a679-$a678}%.",351,107,3,0,136021,41959,0,0,0,0,0,0,0
Forza della Foresta,"I Druidi dell'Unghia appena reclutati diventano Custodi del Boschetto, ottenendo:

|TInterface\ICONS\ABILITY_DRUID_FLOURISH.BLP:20:20:0:0|t |CffffffffCrescita Rigogliosa|R
$@garrabdesc558",352,107,3,1,132113,41959,0,0,0,0,0,0,0
Radici,"Sblocca l'abilità Radici, che aumenta la probabilità di successo nella prima missione di ogni giorno del ${$a714}% se la missione ha dei |C00b3ffffservitori|R.",353,107,0,1,134412,41962,591,0,0,0,0,0,0
Sempreverde,"Sblocca l'accesso a due lotti di suolo fertile, permettendo di coltivare piante che forniscono oggetti utili una volta ogni tre giorni e utilizzabili sulle Isole Disperse.",354,107,1,0,612099,41955,0,0,0,0,0,0,0
Prescelto di Elune,"In cambio di Risorse per l'Enclave, permette di assegnare un incarico di lavoro per uno dei tuoi tre Sigilli del Destino Infranto settimanali.",355,107,4,0,611423,41960,0,0,0,0,0,0,0
