ID,Prefix_lang,Middle_lang,Suffix_lang,NeighborhoodMapID
1,Furente,Lacrima,Riposo,2
2,Ardente,Deserto,Isola,2
3,Di Ferro,Tomba,Baratro,2
4,Inferiore,Pozza,Collina,2
5,Dell'Oscurità,Draga,Gola,2
6,Di Pietra,Fiamma,Forra,2
19,Felice,Flusso,Valle,1
55,Irreale,Prova,Terreno,4
61,Dormiente,Focolare,Vigna,1
62,Consacrante,Leone,Isola,1
63,Azzurreggiante,Onde,Isola,1
64,Affascinante,Nebbia,Approdo,1
65,Silente,Vento,Rifugio,1
66,D'Oro,Luce,Santuario,1
67,Acquietante,Oceano,Punto,1
68,Entusiasmante,Mare,Riposo,1
69,Estenuante,Navigazione,Villaggio,1
70,Di Sale,Raccolto,Collina,1
71,Principale,Bandiera,Arrivo,1
72,Di Smeraldo,Benedizione,Enclave,1
73,Senile,Quercia,Porto,1
74,Innovante,Viaggio,Avamposto,1
75,Incupente,Tenebre,Borgo,1
76,Promettente,Ancora,Approdo,1
77,Schiarente,Cielo,Contea,1
78,Sbiadente,Sabbia,Sponda,1
81,Inaridente,Fioritura,Baia,2
82,Misticizzante,Montagna,Isola,2
83,Bruciante,Sabbia,Rifugio,2
84,Luminescente,Sole,Bastione,2
86,Incrinante,Roccia,Guglia,2
87,Rosseggiante,Cinghiale,Cresta,2
88,Innalzante,Estate,Giardino,2
89,Terrestre,Costa,Cornucopia,2
90,Celere,Pellegrino,Rifugio,2
91,Liberante,Destino,Comune,2
92,Labile,Zanna,Oasi,2
93,Funebre,Esilio,Rupe,2
94,Tagliente,Ghiaia,Insediamento,2
