ID,Description_lang,Color
2,Ora con nuove descrizioni,16777215
20,Stagione 10,-16711936
226,Stagione 10 Élite,-16711936
525,Stagione 9 Élite,-16711936
653,Stagione 9,-16711936
1013,Stagione 11,-16711936
1208,Stagione 11 Élite,-16711936
1591,Stagione 19,-16711936
1593,Questo colore fa male agli occhi,-65536
1641,Ricerca delle Incursioni,-16711936
2015,Eroico,65280
2023,Stagione 10 Élite,-1
2255,Stagione 12,65280
2667,Stagione 12 Élite,65280
3564,,65280
3759,Materiale d'Artigianato,-10044417
3765,Sacca da 100 Scomparti,-1
3845,Eroico Élite,65280
3859,Élite,65280
3933,Stagione 13,65280
3934,Stagione 13 Élite,65280
4918,Grado 1,-16711681
4949,Grado 2,-16711681
4953,Grado 3,-16711681
4957,Grado 4,-16711681
4961,Grado 5,-16711681
4965,Grado 7,-16711681
4969,Grado 8,-16711681
4970,Grado 6,-16711681
5213,Oggetto di Scenario,-1
5616,Tuonoforgiato,65280
6360,Eroico Tuonoforgiato,65280
6798,Grado 9,-16711681
6842,Grado ??,-16711681
6843,Stagione 8,65280
6894,Stagione 8 Élite,65280
7052,Stagione 7,65280
7225,Stagione 7 Élite,65280
7261,Stagione 6,65280
7434,Stagione 6 Élite,65280
7463,Stagione 5,65280
7636,Stagione 4,65280
7775,Stagione 3,65280
7906,Stagione 2,65280
8027,Stagione 1,65280
8869,Dinamico,65280
9059,Stagione 14,65280
9459,Stagione 14 Élite,65280
10066,Eroico Tuonoforgiato,16711680
10126,Stagione 15,65280
10520,Stagione 15 Élite,65280
11080,Senza Tempo,65280
11179,Eroico Guerraforgiato,65280
11428,Guerraforgiato,65280
12743,Trofeo,-10044417
12790,Primevo,-16711936
12934,Materiale d'Alchimia,-10044417
13021,Materiale d'Artigianato,-7820545
13111,del Potere,0
13145,Mitico,-16711936
13149,Materiale di Ingegneria,-10044417
13150,della Folgore,0
13151,dell'Impareggiabile,0
13152,della Lama Veloce,0
13153,del Selvaggio,0
13154,del Fanatico,0
13155,dello Scaltro,0
13156,della Bramosia,0
13157,dell'Aurora,0
13158,dell'Abile,0
13159,dello Zelota,0
13160,del Plasmaventi,0
13161,dell'Armonia,0
13162,dello Spietato,0
13163,del Divinatore,0
13164,del Nobile,0
13165,dello Stratega,0
13166,dell'Apostolo,0
13167,del Sostenitore,0
13168,dell'Araldo,0
13169,del Solcatempeste,0
13170,dell'Impaziente,0
13171,dell'Erudito,0
13172,del Flessibile,0
13173,dell'Implacabile,0
13174,del Pio,0
13175,dell'Indistruttibile,0
13176,del Decimatore,0
13178,Torneo di Draenor,65280
13181,Ingrediente di Cucina,-10044417
13184,Reagente d'artigianato,-10044417
13185,Fase 2 di 6,65280
13186,Fase 3 di 6,65280
13187,Fase 1 di 6,65280
13188,Mitico Guerraforgiato,-16711936
13190,Equipaggiamento seguace,-9316865
13191,Risorsa per la Guarnigione,-10044417
13192,Merce dell'Emporio,-16724737
13193,Normale,65280
13194,Modulo dell'Emporio,-16724737
13195,Primevo,-10044417
13196,"Draenor, Stagione 1",65280
13197,Emblema Razziale PvP,-7820545
13198,"Draenor, Stagione 1 Élite",65280
13201,Grado 0,65280
13202,Grado 1 - Sacra,65280
13203,Grado 1 - Infuocata,65280
13204,Grado 1 - Corrotta,65280
13205,Grado 2 - Sacra,65280
13206,Grado 2 - Infuocata,65280
13207,Grado 2 - Corrotta,65280
13208,Fase 4 di 6,65280
13209,Progetto della Guarnigione,-10044417
13210,Viaggi nel Tempo,-1651584
13211,"Draenor, Stagione 2",65280
13212,"Draenor, Stagione 2 Élite",65280
13213,"Draenor, Stagione 3",65280
13214,"Draenor, Stagione 3 Élite",65280
13215,Borseggio,-16724737
13216,Fuoritempo,-16711936
13217,Fase 5 di 6,65280
13218,Fase 6 di 6,65280
13219,Potere Artefatto,-1651584
13220,Fuoritempo Guerraforgiato,-16711936
13222,Potenziato,65280
13223,Mana Antico,-10044417
13224,Potenziamento navale,65280
13225,Bieco,-16711936
13226,"Legion, Stagione 1",65280
13227,"Legion, Stagione 1 Élite",65280
13228,Equipaggiamento campione,-12288
13230,Fase 1 di 9,65280
13231,Fase 2 di 9,65280
13232,Fase 3 di 9,65280
13233,Fase 4 di 9,65280
13234,Fase 5 di 9,65280
13235,Fase 6 di 9,65280
13236,Fase 7 di 9,65280
13237,Fase 8 di 9,65280
13238,Fase 9 di 9,65280
13239,Titanforgiato,65280
13241,Furia di Odyn,-1651584
13242,Ira di Helya,-1651584
13243,Mietigelo,-1651584
13244,Brandigelo,-1651584
13245,Verus,-1651584
13246,Muramas,-1651584
13247,Al'burq,-1651584
13248,Alra'ed,-1651584
13249,Tormento,-1651584
13250,Sventura,-1651584
13251,Fato,-1651584
13252,Destino,-1651584
13253,Zannabieca,-1651584
13254,Volontà di Akaari,-1651584
13256,Obliterum: 0/10,65280
13257,Obliterum: 1/10,65280
13258,Obliterum: 2/10,65280
13259,Obliterum: 3/10,65280
13260,Obliterum: 4/10,65280
13261,Obliterum: 5/10,65280
13262,Obliterum: 6/10,65280
13263,Obliterum: 7/10,65280
13264,Disintegrabile,-7820545
13265,Mitico 2,-16711936
13266,Mitico 3,-16711936
13267,Mitico 4,-16711936
13268,Mitico 5,-16711936
13269,Mitico 6,-16711936
13270,Mitico 7,-16711936
13271,Mitico 8,-16711936
13272,Mitico 9,-16711936
13273,Mitico 10,-16711936
13274,Mitico 2 Perfetto,-16711936
13275,Mitico 3 Perfetto,-16711936
13276,Mitico 4 Perfetto,-16711936
13277,Mitico 5 Perfetto,-16711936
13278,Mitico 6 Perfetto,-16711936
13279,Mitico 7 Perfetto,-16711936
13280,Mitico 8 Perfetto,-16711936
13281,Mitico 9 Perfetto,-16711936
13282,Obliterum: 8/10,65280
13284,Veterano,-16711936
13285,Obliterum: 9/10,65280
13286,Obliterum: 10/10,65280
13287,"Legion, Stagione 2",65280
13288,"Legion, Stagione 2 Élite",65280
13289,Mitico 11,-16711936
13290,Mitico 12,-16711936
13291,25 giocatori (Normale),0
13292,25 giocatori (Eroica),0
13293,10 giocatori (Normale),65280
13294,Grado 8,-16711681
13295,"Legion, Stagione 3",65280
13296,"Legion, Stagione 3 Élite",65280
13297,"Legion, Stagione 4",65280
13298,"Legion, Stagione 4 Élite",65280
13299,"Legion, Stagione 5",65280
13300,"Legion, Stagione 5 Élite",65280
13301,Gladiatore,-16711936
13302,Combattente I,-16711936
13303,Pretendente,-16711936
13304,Onore,-16711936
13305,Pozzo Solare,-16711936
13306,PvP Raro,65280
13307,PvP Epico,65280
13308,Mitico 13,-16711936
13309,Mitico 14,-16711936
13310,Mitico 15,-16711936
13311,"Legion, Stagione 6",65280
13312,"Legion, Stagione 7",65280
13313,"Legion, Stagione 6 Élite",65280
13314,"Legion, Stagione 7 Élite",65280
13315,"Legion, Stagione 1 e 2",65280
13316,"Legion, Stagione 1 e 2 Élite",65280
