Name_lang,Filename,Name_male_lang,Name_female_lang,PetNameToken,Description_lang,RoleInfoString_lang,DisabledString_lang,Hyphenated_name_male_lang,Hyphenated_name_female_lang,CreateScreenFileDataID,SelectScreenFileDataID,IconFileDataID,LowResScreenFileDataID,Flags,StartingLevel,SpellTextureBlobFileDataID,ArmorTypeMask,Field_9_0_1_34490_018,MaleCharacterCreationVisualFallback,MaleCharacterCreationIdleVisualFallback,FemaleCharacterCreationVisualFallback,FemaleCharacterCreationIdleVisualFallback,CharacterCreationIdleGroundVisualFallback,CharacterCreationGroundVisualFallback,AlteredFormCharacterCreationIdleVisualFallback,CharacterCreationAnimLoopWaitTimeMsFallback,CinematicSequenceID,DefaultSpec,ID,HasStrengthAttackBonus,PrimaryStatPriority,DisplayPower,RangedAttackPowerPerAgility,AttackPowerPerAgility,AttackPowerPerStrength,SpellClassSet,ClassColorR,ClassColorG,ClassColorB,RolesMask,DamageBonusStat,HasRelicSlot
Guerriero,WARRIOR,Guerriero,Guerriera,PET,"I Guerrieri sono combattenti protetti da armature a piastre che aspirano alla perfezione nell'arte bellica. Quando un Guerriero infligge danni genera rabbia, risorsa che gli permette di eseguire attacchi speciali.",Ruoli: |cffffffffDifensore o assaltatore in mischia|r,"Devi scegliere una razza diversa
per giocare questa classe.",Guerriero,Guerriera,0,0,626008,0,169010,1,791568,113,20774,128667,132581,0,0,0,0,133297,15000,0,71,1,1,5,1,0,0,1,4,198,155,109,10,0,0
Paladino,PALADIN,Paladino,Paladina,PET,"I Paladini sono combattenti e difensori pesantemente corazzati che usano la magia sacra per curare ferite e sconfiggere il male. Possono specializzarsi nelle armi a due mani, negli scudi o nelle cure.","Ruoli: |cffffffffDifensore, guaritore o assaltatore in mischia|r","Devi scegliere una razza diversa
per giocare questa classe.",Paladino,Paladina,0,0,626003,0,135226,1,791563,2289,20774,128833,132580,0,0,0,0,0,15000,0,70,2,1,4,0,0,0,1,10,244,140,186,14,0,1
Cacciatore,HUNTER,Cacciatore,Cacciatrice,PET,I Cacciatori sono a loro agio nelle terre selvagge e hanno un'affinità particolare con le bestie. Infliggono danni utilizzando le armi e i propri famigli.,Ruoli: |cffffffffAssaltatore a distanza o assaltatore in mischia|r,"Devi scegliere una razza diversa
per giocare questa classe.",Cacciatore,Cacciatrice,0,0,626000,0,33174,1,791560,41,20771,128903,132586,0,0,0,133832,133292,15000,0,253,3,1,2,2,1,1,0,9,170,211,114,8,1,0
Ladro,ROGUE,Ladro,Ladra,PET,"I Ladri sono spesso impiegati come assassini o esploratori, anche se in genere sono tipi piuttosto solitari. Possono aggirare silenziosamente i propri nemici o attaccarli alle spalle, cercando di ucciderli rapidamente.",Ruolo: |cffffffffAssaltatore in mischia|r,"Devi scegliere una razza diversa
per giocare questa classe.",Ladro,Ladra,0,0,626005,0,167938,1,791565,37,20776,129018,132578,0,0,0,133289,133293,15000,0,259,4,1,3,3,1,1,0,8,255,244,104,8,1,0
Sacerdote,PRIEST,Sacerdote,Sacerdotessa,PET,"I Sacerdoti sono guaritori sacri molto versatili, capaci però di abbandonare questo ruolo e dedicarsi alla magia dell'ombra per infliggere danni ai nemici.",Ruoli: |cffffffffGuaritore o assaltatore a distanza|r,"Devi scegliere una razza diversa
per giocare questa classe.",Sacerdote,Sacerdo-|ntessa,0,0,626004,0,2,1,791564,35,20775,129129,132579,0,0,0,134409,133296,15000,0,256,5,0,0,0,0,0,0,6,255,255,255,12,0,0
Cavaliere della Morte,DEATHKNIGHT,Cavaliere della Morte,Cavaliere della Morte,PET,"I Cavalieri della Morte sono una classe eroica, perciò iniziano da un livello più alto. Infliggono danni principalmente attraverso malattie e magia oscura.",Ruoli: |cffffffffDifensore o assaltatore in mischia|r,Per creare un Cavaliere della Morte con la razza selezionata è necessario acquistare Shadowlands.,Cavaliere della Morte,Cavaliera della Morte,236082,236082,135771,1560617,189562,8,791558,3121,20769,128790,132590,0,0,0,131787,133291,20000,165,251,6,1,5,6,0,0,1,15,196,30,58,10,9,0
Sciamano,SHAMAN,Sciamano,Sciamana,PET,"Gli Sciamani utilizzano il potere degli elementi per potenziare i danni delle loro armi e i loro incantesimi. Possono evocare dei totem, piccoli oggetti che inabilitano i nemici, infliggono danni o conferiscono benefici e cure.","Ruoli: |cffffffffGuaritore, assaltatore a distanza o assaltatore in mischia|r","Devi scegliere una razza diversa
per giocare questa classe.",Sciamano,Sciamana,0,0,626006,0,294938,1,791566,2665,20777,128753,132575,0,0,0,0,0,25000,0,262,7,1,0,0,0,1,0,11,0,112,221,12,1,1
Mago,MAGE,Mago,Maga,PET,I Maghi sono i classici fruitori della magia di Azeroth e raggiungono la perfezione nella loro arte grazie a un intenso percorso di studio e ricerca. Compensano la loro armatura leggera con potenti incantesimi offensivi e difensivi.,Ruolo: |cffffffffAssaltatore a distanza|r,"Devi scegliere una razza diversa
per giocare questa classe.",Mago,Maga,0,0,626001,0,4098,1,791561,35,20772,128789,132585,0,0,0,133322,133295,15000,0,62,8,0,0,0,0,0,0,3,63,199,235,8,0,0
Stregone,WARLOCK,Stregone,Strega,DEMON,"Gli Stregoni infliggono danni utilizzando la magia del fuoco e dell'ombra, possono maledire i nemici, risucchiare le anime delle loro vittime ed evocare servitori demoniaci.",Ruolo: |cffffffffAssaltatore a distanza|r,"Devi scegliere una razza diversa
per giocare questa classe.",Stregone,Strega,0,0,626007,0,134,1,791567,35,20778,129054,132568,0,0,0,133661,133290,15000,0,265,9,0,0,0,0,0,0,5,135,136,238,8,0,0
Monaco,MONK,Monaco,Monaca,PET,"I Monaci sono noti per la loro abilità nel combattimento a mani nude, sfruttando pugni e calci come armi letali. Possono specializzarsi anche nei poteri curativi per aiutare gli alleati.","Ruoli: |cffffffffDifensore, guaritore o assaltatore in mischia|r",Richiede Mists of Pandaria,Monaco,Monaca,0,0,626002,0,165378,1,791562,37,20773,129344,132583,0,0,0,0,0,15000,0,268,10,1,2,3,0,1,0,53,0,255,152,14,0,0
