ID,EffectDescription_lang,AuraDescription_lang,SpellEffectType,AuraEffectType,PointsSign,TargetType,SchoolMask,EffectOrderIndex,AuraOrderIndex
1,Infligge $s@effectindex danni fisici a un nemico.,,2,0,1,3,1,50,50
2,Infligge $s@effectindex danni da sacro a un nemico.,,2,0,1,3,2,50,50
3,Infligge $s@effectindex danni da fuoco a un nemico.,,2,0,1,3,4,50,50
4,Infligge $s@effectindex danni da natura a un nemico.,,2,0,1,3,8,50,50
5,Infligge $s@effectindex danni da gelo a un nemico.,,2,0,1,3,16,50,50
6,Infligge $s@effectindex danni da ombra a un nemico.,,2,0,1,3,32,50,50
7,Infligge $s@effectindex danni da arcano a un nemico.,,2,0,1,3,64,50,50
8,Infligge $s@effectindex danni da caos a un nemico.,,2,0,1,3,127,50,50
9,Infligge $s@effectindex danni fisici ai nemici entro $A@effectindex m dal punto d'impatto.,,2,0,1,5,1,50,50
10,Infligge $s@effectindex danni da sacro ai nemici entro $A@effectindex m dal punto d'impatto.,,2,0,1,5,2,50,50
11,Infligge $s@effectindex danni da fuoco ai nemici entro $A@effectindex m dal punto d'impatto.,,2,0,1,5,4,50,50
12,Infligge $s@effectindex danni da natura ai nemici entro $A@effectindex m dal punto d'impatto.,,2,0,1,5,8,50,50
13,Infligge $s@effectindex danni da gelo ai nemici entro $A@effectindex m dal punto d'impatto.,,2,0,1,5,16,50,50
14,Infligge $s@effectindex danni da ombra ai nemici entro $A@effectindex m dal punto d'impatto.,,2,0,1,5,32,50,50
15,Infligge $s@effectindex danni da arcano ai nemici entro $A@effectindex m dal punto d'impatto.,,2,0,1,5,64,50,50
16,Infligge $s@effectindex danni da caos ai nemici entro $A@effectindex m dal punto d'impatto.,,2,0,1,5,127,50,50
17,Infligge $s@effectindex danni fisici ai nemici entro $A@effectindex m.,,2,0,1,7,1,50,50
18,Infligge $s@effectindex danni da sacro ai nemici entro $A@effectindex m.,,2,0,1,7,2,50,50
19,Infligge $s@effectindex danni da fuoco ai nemici entro $A@effectindex m.,,2,0,1,7,4,50,50
20,Infligge $s@effectindex danni da natura ai nemici entro $A@effectindex m.,,2,0,1,7,8,50,50
21,Infligge $s@effectindex danni da gelo ai nemici entro $A@effectindex m.,,2,0,1,7,16,50,50
22,Infligge $s@effectindex danni da ombra ai nemici entro $A@effectindex m.,,2,0,1,7,32,50,50
23,Infligge $s@effectindex danni da arcano ai nemici entro $A@effectindex m.,,2,0,1,7,64,50,50
24,Infligge $s@effectindex danni da caos ai nemici entro $A@effectindex m.,,2,0,1,7,127,50,50
25,Infligge $s@effectindex danni fisici a un nemico ogni $t@effectindex s per $d.,$s@effectindex danni fisici subiti ogni $t@effectindex s.,6,3,1,3,1,50,50
26,Infligge $s@effectindex danni da sacro a un nemico ogni $t@effectindex s per $d.,$s@effectindex danni da sacro subiti ogni $t@effectindex s.,6,3,1,3,2,50,50
27,Infligge $s@effectindex danni da fuoco a un nemico ogni $t@effectindex s per $d.,$s@effectindex danni da fuoco subiti ogni $t@effectindex s.,6,3,1,3,4,50,50
28,Infligge $s@effectindex danni da natura a un nemico ogni $t@effectindex s per $d.,$s@effectindex danni da natura subiti ogni $t@effectindex s.,6,3,1,3,8,50,50
29,Infligge $s@effectindex danni da gelo a un nemico ogni $t@effectindex s per $d.,$s@effectindex danni da gelo subiti ogni $t@effectindex s.,6,3,1,3,16,50,50
30,Infligge $s@effectindex danni da ombra a un nemico ogni $t@effectindex s per $d.,$s@effectindex danni da ombra subiti ogni $t@effectindex s.,6,3,1,3,32,50,50
31,Infligge $s@effectindex danni da arcano a un nemico ogni $t@effectindex s per $d.,$s@effectindex danni da arcano subiti ogni $t@effectindex s.,6,3,1,3,64,50,50
32,Infligge $s@effectindex danni da caos a un nemico ogni $t@effectindex s per $d.,$s@effectindex danni da caos subiti ogni $t@effectindex s.,6,3,1,3,127,50,50
33,"Stordisce un nemico, impedendogli di muoversi e attaccare per $d.",Stordito.,6,12,0,3,0,0,0
34,Aumenta la velocità d'attacco e di lancio d'incantesimi di tutti gli alleati entro $A@effectindex m dal punto d'impatto del $s@effectindex% per $d.,Velocità d'attacco e di lancio d'incantesimi aumentate del $s@effectindex%.,6,193,1,6,0,0,0
35,"Stordisce tutti i nemici entro $A@effectindex m, impedendo loro di muoversi o attaccare per $d.",Stordito.,6,12,0,7,0,0,0
36,"Stordisce tutti i nemici entro $A@effectindex m dal punto d'impatto, impedendo loro di muoversi o attaccare per $d.",Stordito.,6,12,0,5,0,0,0
37,Cura un alleato del $s@effectindex% della sua salute massima.,,136,0,1,2,0,0,0
38,Immobilizza un nemico per un massimo di $d.,Immobilizzato.,6,26,0,3,0,20,0
