ID,Question_lang
28,Il GM ti ha fornito una risposta o una soluzione appropriata alla tua domanda o al tuo problema?
29,Quanto è stato facile comprendere e/o seguire le informazioni fornite?
30,"Il GM si è dimostrato ben informato, rispettoso e sensibile durante la vostra interazione?"
31,Come giudichi i tempi di risposta alla tua segnalazione?
32,Come giudichi globalmente l'esperienza con il GM che ti ha assistito nella tua segnalazione?
33,"Basandoti sulla tua esperienza col supporto di gioco, raccomanderesti WoW ad altre persone?"
35,"Basandoti sulla tua esperienza con l'Assistenza Clienti, raccomanderesti i prodotti Blizzard a un tuo amico?"
36,Il tuo problema è stato risolto?
37,La mia esperienza globale con l'Assistenza Clienti di Blizzard è stata:
38,Il tempo d'attesa per l'Assistenza Clienti di Blizzard è stato:
39,La professionalità del rappresentante Blizzard è stata:
40,Le capacità di comunicazione del rappresentante Blizzard sono state:
41,Il giudizio globale sul servizio offerto dal rappresentante Blizzard è stato:
42,Quanto sei soddisfatto globalmente di World of Warcraft?
43,Credi che continuerai a giocare a World of Warcraft nel futuro?
44,Consiglieresti World of Warcraft a un tuo amico?
45,"Considerando il più recente contatto con Blizzard, quanto sei soddisfatto del servizio fornito dal rappresentante?"
46,Il rappresentante ha chiaramente capito le ragioni che mi hanno spinto a contattare Blizzard.
47,Mi sono sentito valorizzato in quanto cliente.
48,Il rappresentante ha fornito informazioni chiare e accurate.
49,Il rappresentante mi ha spiegato come il mio problema sarebbe stato gestito.
50,Il tuo problema è stato risolto?
51,Sei soddisfatto dei tempi d'attesa necessari per essere contattato dal rappresentante?
52,Quante volte hai contattato Blizzard prima che il problema fosse risolto?
53,Il rappresentante era molto competente.
