Name_lang,Description_lang,Map[0],Map[1],ID,JournalInstanceID,DungeonEncounterID,OrderIndex,FirstSectionID,UiMapID,MapDisplayConditionID,Flags,DifficultyMask
Glubtok,"In un eccesso d'ira, Glubtok scatenò tutte le sue potenti abilità magiche e ridusse il suo tumulo in cenere. Voci di questo talento distruttivo giunsero ai Defias, che assunsero il massiccio Mago Ogre come supervisore dei lavoratori delle Miniere della Morte.",0.3652697,0.6122755,89,63,2976,1,2010,291,54460,2,1
Helix Spaccaferro,"Un tempo artigiano del Cartello degli Acqualorda, a Helix fu offerta una somma immensa per lavorare per la Fratellanza dei Defias, una cifra impossibile da guadagnare come semplice ingegnere dell'Orda. Accettò subito il lavoro, dimenticandosi della lealtà giurata ai vecchi compagni... atteggiamento tipico di ogni Goblin intraprendente.",0.50199604,0.8682636,90,63,2977,2,2020,291,54460,2,1
Mietinemici 5000,"Gli ingegneri dei Defias hanno passato intere giornate a perfezionare un nuovo modello di falciatore basato sull'unità Mietinemici 4000. Una volta completato, la fratellanza è certa che questo terrore meccanizzato sia in grado di fare a pezzi l'esercito di Roccavento, proprio come una falce miete il frumento.",0.12475067,0.75898206,91,63,2975,3,3448,292,54460,2,1
Ammiraglio Ghignotruce,"Quando James Harrington fu infettato dalla maledizione dei Worgen, in una sola notte la sua sete di sangue distrusse la sua amata famiglia e rovinò la sua carriera. Cambiatosi il nome in Ghignotruce, fuggì nelle Marche Occidentali e in seguito accettò di mettersi al comando della gigantesca nave della Fratellanza dei Defias.",0.60479087,0.38772452,92,63,2974,4,2044,292,54460,2,1
"""Capitan"" Dolcetto","Dolcetto si proclamò il nuovo capitano della Fratellanza dei Defias dopo la morte del precedente comandante, mantenendo comunque i propri impegni ufficiali come capo cuoco. Chiunque osi mettere in dubbio la legittimità del suo titolo rischia gravi intossicazioni alimentari.",0.60479087,0.4550898,93,63,2973,5,2055,292,54460,2,1
Vanessa VanCleef,"Da bambina, Vanessa fu testimone della cruenta morte del padre Edwin VanCleef, ex capo della Fratellanza dei Defias. Da allora ha raccolto lo scettro del comando e ha organizzato la vendetta su Roccavento dagli oscuri corridoi delle Miniere della Morte.",0.6546913,0.40269458,95,63,1081,6,2060,292,54460,2,2
Barone Cinereus,"Ucciso dai Worgen e rianimato nella non morte dai Reietti, il traditore Barone Cinereus gioca con i propri nemici, tenendoli vivi per infliggere loro il massimo della sofferenza e del dolore.",0.66467136,0.732036,96,64,1069,1,2107,310,0,0,-1
Barone Argenius,"Il Barone Argenius era il padrone del forte prima che fosse preso dai Worgen di Arugal. Ora il suo spirito maledetto ha richiesto l'aiuto delle bestie lupo che l'avevano massacrato, per punire chiunque si addentri nella sua dimora.",0.30439156,0.7739521,97,64,1070,2,2118,311,0,0,-1
Comandante Primavalle,"Soldato fedele, il fantasma del Comandante Primavalle tormenta la sala del concilio; utilizza i suoi empi attacchi per vendicare il suo signore, il Barone Argenius.",0.2804395,0.5973054,98,64,1071,3,2137,310,0,0,-1
Ser Walden,"Braccio destro di Ser Godfrey, l'arrogante Ser Walden giurò solennemente di servire il suo compatriota fin oltre alla morte. Fedele alla parola data, Walden è ora un non morto e attacca gli avversari con ghiaccio e veleno.",0.5449104,0.53742516,99,64,1073,4,2156,313,0,0,-1
Ser Godfrey,"Grazie al suo passato di nobile gilneano e agente dei Reietti, Ser Godfrey è temuto per la scaltrezza e per la velocità delle sue doppie pistole, oltre che per i Ghoul carnivori e implacabili di cui è al comando.",0.6846315,0.3353293,100,64,1072,5,2164,315,0,0,-1
