Name_lang,ID,MapID,Flags,ExpansionLevel,RequiredWorldStateID,CriteriaCount[0],CriteriaCount[1],CriteriaCount[2],FirstRewardQuestID[0],FirstRewardQuestID[1],FirstRewardQuestID[2],FirstRewardQuestID[3],FirstRewardQuestID[4],FirstRewardQuestID[5],RewardQuestID[0],RewardQuestID[1],RewardQuestID[2],RewardQuestID[3],RewardQuestID[4],RewardQuestID[5]
Tempio della Serpe di Giada,2,960,2,4,21775,1800,1440,1080,31498,31499,31500,31501,0,0,31498,31499,31500,31501,0,0
Birrificio Triplo Malto,56,961,2,0,21783,2700,1260,720,31620,31621,31622,31623,0,0,31620,31621,31622,31623,0,0
Porta del Sole Calante,57,962,2,0,21776,2700,1320,780,31624,31631,31638,31645,0,0,31624,31631,31638,31645,0,0
Monastero degli Shandaren,58,959,2,0,21781,3600,2100,1260,31625,31632,31639,31646,0,0,31625,31632,31639,31646,0,0
Assedio al Tempio di Niuzao,59,1011,2,0,21782,3000,1800,1050,31626,31633,31640,31647,0,0,31626,31633,31640,31647,0,0
Palazzo Mogu'shan,60,994,2,0,21777,2700,1440,720,31627,31634,31641,31648,0,0,31627,31634,31641,31648,0,0
Scholomance,76,1007,2,0,21780,3300,1980,1140,31628,31635,31642,31649,0,0,31628,31635,31642,31649,0,0
Sale Scarlatte,77,1001,2,0,21778,2700,1320,780,31630,31636,31643,31650,0,0,31630,31636,31643,31650,0,0
Monastero Scarlatto,78,1004,2,0,21779,2700,1320,780,31629,31637,31644,31651,0,0,31629,31637,31644,31651,0,0
Vetta dei Cieli,161,1209,2,0,21789,3400,1700,1020,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
Miniere dei Magliorosso,163,1175,2,5,21785,1800,1440,1080,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
Auchindoun,164,1182,2,0,21784,3300,1920,1140,37502,34539,34540,34541,0,0,34527,34539,34540,34541,0,0
Necropoli dei Torvaluna,165,1176,2,5,21788,1980,1584,1188,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
Treno Frecciacupa,166,1208,2,5,21786,1800,1440,1080,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
Bastioni di Roccianera Superiori,167,1358,2,0,21791,5100,2580,1500,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
Verdeterno,168,1279,2,5,21790,1980,1584,1188,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
Darsena di Ferro,169,1195,2,5,21787,1800,1440,1080,37502,37501,37504,37503,0,0,34527,34539,34540,34541,0,0
Occhio di Azshara,197,1456,70,0,21796,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0
Boschetto Cuortetro,198,1466,70,0,21795,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0
Forte Corvonero,199,1501,70,0,21793,2160,1728,1296,0,0,0,0,0,0,0,0,0,0,0,0
Sale del Valore,200,1477,70,0,21797,2280,1824,1368,0,0,0,0,0,0,0,0,0,0,0,0
Antro di Neltharion,206,1458,70,6,21799,1980,1584,1188,0,0,0,0,0,0,0,0,0,0,0,0
Segrete delle Custodi,207,1493,70,0,21800,1980,1584,1188,0,0,0,0,0,0,0,0,0,0,0,0
Fauci delle Anime,208,1492,70,0,21798,1440,1152,864,0,0,0,0,0,0,0,0,0,0,0,0
Arcavia,209,1516,70,0,21792,2700,2160,1620,0,0,0,0,0,0,0,0,0,0,0,0
Corte delle Stelle,210,1571,70,0,21794,1800,1440,1080,0,0,0,0,0,0,0,0,0,0,0,0
Ritorno a Karazhan Inferiore,227,1651,70,0,21801,2520,2016,1512,0,0,0,0,0,0,0,0,0,0,0,0
Cattedrale della Notte Eterna,233,1677,70,0,21803,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0
Ritorno a Karazhan Superiore,234,1651,66,0,21802,2100,1680,1260,0,0,0,0,0,0,0,0,0,0,0,0
